ebin, xs
1.0000e-05, 2.8798e+01
1.0625e-05, 2.7938e+01
1.1250e-05, 2.7151e+01
1.1875e-05, 2.6426e+01
1.2500e-05, 2.5757e+01
1.3750e-05, 2.4559e+01
1.5000e-05, 2.3513e+01
1.6250e-05, 2.2591e+01
1.7500e-05, 2.1769e+01
1.8750e-05, 2.1031e+01
2.0000e-05, 2.0363e+01
2.1875e-05, 1.9471e+01
2.3750e-05, 1.8686e+01
2.5625e-05, 1.7990e+01
2.7500e-05, 1.7366e+01
2.9375e-05, 1.6802e+01
3.1250e-05, 1.6290e+01
3.3125e-05, 1.5823e+01
3.5000e-05, 1.5393e+01
3.8750e-05, 1.4629e+01
4.2500e-05, 1.3969e+01
4.6250e-05, 1.3391e+01
5.0000e-05, 1.2879e+01
5.3125e-05, 1.2494e+01
5.6250e-05, 1.2142e+01
5.9375e-05, 1.1818e+01
6.2500e-05, 1.1519e+01
6.8750e-05, 1.0983e+01
7.5000e-05, 1.0515e+01
8.1250e-05, 1.0103e+01
8.7500e-05, 9.7353e+00
9.3750e-05, 9.4052e+00
1.0000e-04, 9.1066e+00
1.0625e-04, 8.8347e+00
1.1250e-04, 8.5858e+00
1.1875e-04, 8.3568e+00
1.2500e-04, 8.1452e+00
1.3750e-04, 7.7661e+00
1.5000e-04, 7.4355e+00
1.6250e-04, 7.1438e+00
1.7500e-04, 6.8839e+00
1.8750e-04, 6.6505e+00
2.0000e-04, 6.4393e+00
2.1875e-04, 6.1572e+00
2.3750e-04, 5.9091e+00
2.5625e-04, 5.6888e+00
2.7500e-04, 5.4914e+00
2.9375e-04, 5.3133e+00
3.1250e-04, 5.1514e+00
3.3125e-04, 5.0035e+00
3.5000e-04, 4.8676e+00
3.8750e-04, 4.6261e+00
4.2500e-04, 4.4173e+00
4.6250e-04, 4.2344e+00
5.0000e-04, 4.0726e+00
5.3125e-04, 3.9510e+00
5.6250e-04, 3.8396e+00
5.9375e-04, 3.7372e+00
6.2500e-04, 3.6426e+00
6.8750e-04, 3.4731e+00
7.5000e-04, 3.3253e+00
8.1250e-04, 3.1948e+00
8.7500e-04, 3.0786e+00
9.3750e-04, 2.9742e+00
1.0000e-03, 2.8798e+00
1.0625e-03, 2.7938e+00
1.1250e-03, 2.7151e+00
1.1875e-03, 2.6427e+00
1.2500e-03, 2.5758e+00
1.3750e-03, 2.4559e+00
1.5000e-03, 2.3513e+00
1.6250e-03, 2.2591e+00
1.7500e-03, 2.1769e+00
1.8750e-03, 2.1031e+00
2.0000e-03, 2.0363e+00
2.1875e-03, 1.9471e+00
2.3750e-03, 1.8686e+00
2.5625e-03, 1.7989e+00
2.7500e-03, 1.7365e+00
2.9375e-03, 1.6802e+00
3.1250e-03, 1.6290e+00
3.3125e-03, 1.5822e+00
3.5000e-03, 1.5393e+00
3.8750e-03, 1.4629e+00
4.2500e-03, 1.3969e+00
4.6250e-03, 1.3390e+00
5.0000e-03, 1.2878e+00
5.3125e-03, 1.2494e+00
5.6250e-03, 1.2142e+00
5.9375e-03, 1.1818e+00
6.2500e-03, 1.1519e+00
6.8750e-03, 1.0982e+00
7.5000e-03, 1.0515e+00
8.1250e-03, 1.0102e+00
8.7500e-03, 9.7345e-01
9.3750e-03, 9.4044e-01
1.0000e-02, 9.1057e-01
1.0625e-02, 8.8338e-01
1.1250e-02, 8.5850e-01
1.1875e-02, 8.3561e-01
1.2500e-02, 8.1446e-01
1.3750e-02, 7.7657e-01
1.5000e-02, 7.4351e-01
1.6250e-02, 7.1433e-01
1.7500e-02, 6.8833e-01
