ebin, xs
1.0000e-05, 8.6603e+01
1.0625e-05, 8.4017e+01
1.1250e-05, 8.1650e+01
1.1875e-05, 7.9472e+01
1.2500e-05, 7.7460e+01
1.3750e-05, 7.3855e+01
1.5000e-05, 7.0711e+01
1.6250e-05, 6.7937e+01
1.7500e-05, 6.5466e+01
1.8750e-05, 6.3246e+01
2.0000e-05, 6.1238e+01
2.1875e-05, 5.8554e+01
2.3750e-05, 5.6195e+01
2.5625e-05, 5.4100e+01
2.7500e-05, 5.2223e+01
2.9375e-05, 5.0529e+01
3.1250e-05, 4.8990e+01
3.3125e-05, 4.7583e+01
3.5000e-05, 4.6291e+01
3.8750e-05, 4.3994e+01
4.2500e-05, 4.2008e+01
4.6250e-05, 4.0269e+01
5.0000e-05, 3.8730e+01
5.3125e-05, 3.7573e+01
5.6250e-05, 3.6515e+01
5.9375e-05, 3.5541e+01
6.2500e-05, 3.4641e+01
6.8750e-05, 3.3029e+01
7.5000e-05, 3.1623e+01
8.1250e-05, 3.0382e+01
8.7500e-05, 2.9277e+01
9.3750e-05, 2.8284e+01
1.0000e-04, 2.7386e+01
1.0625e-04, 2.6568e+01
1.1250e-04, 2.5820e+01
1.1875e-04, 2.5131e+01
1.2500e-04, 2.4495e+01
1.3750e-04, 2.3355e+01
1.5000e-04, 2.2360e+01
1.6250e-04, 2.1483e+01
1.7500e-04, 2.0701e+01
1.8750e-04, 1.9999e+01
2.0000e-04, 1.9364e+01
2.1875e-04, 1.8516e+01
2.3750e-04, 1.7770e+01
2.5625e-04, 1.7107e+01
2.7500e-04, 1.6514e+01
2.9375e-04, 1.5978e+01
3.1250e-04, 1.5491e+01
3.3125e-04, 1.5046e+01
3.5000e-04, 1.4637e+01
3.8750e-04, 1.3911e+01
4.2500e-04, 1.3283e+01
4.6250e-04, 1.2733e+01
5.0000e-04, 1.2246e+01
5.3125e-04, 1.1880e+01
5.6250e-04, 1.1545e+01
5.9375e-04, 1.1237e+01
6.2500e-04, 1.0953e+01
6.8750e-04, 1.0443e+01
7.5000e-04, 9.9981e+00
8.1250e-04, 9.6057e+00
8.7500e-04, 9.2561e+00
9.3750e-04, 8.9421e+00
1.0000e-03, 8.6580e+00
1.0625e-03, 8.3994e+00
1.1250e-03, 8.1626e+00
1.1875e-03, 7.9448e+00
1.2500e-03, 7.7435e+00
1.3750e-03, 7.3829e+00
1.5000e-03, 7.0684e+00
1.6250e-03, 6.7909e+00
1.7500e-03, 6.5436e+00
1.8750e-03, 6.3215e+00
2.0000e-03, 6.1206e+00
2.1875e-03, 5.8521e+00
2.3750e-03, 5.6160e+00
2.5625e-03, 5.4064e+00
2.7500e-03, 5.2186e+00
2.9375e-03, 5.0491e+00
3.1250e-03, 4.8951e+00
3.3125e-03, 4.7543e+00
3.5000e-03, 4.6250e+00
3.8750e-03, 4.3951e+00
4.2500e-03, 4.1963e+00
4.6250e-03, 4.0221e+00
5.0000e-03, 3.8679e+00
5.3125e-03, 3.7521e+00
5.6250e-03, 3.6461e+00
5.9375e-03, 3.5485e+00
6.2500e-03, 3.4584e+00
6.8750e-03, 3.2970e+00
7.5000e-03, 3.1561e+00
8.1250e-03, 3.0317e+00
8.7500e-03, 2.9208e+00
9.3750e-03, 2.8213e+00
1.0000e-02, 2.7312e+00
1.0625e-02, 2.6492e+00
1.1250e-02, 2.5742e+00
1.1875e-02, 2.5052e+00
1.2500e-02, 2.4414e+00
1.3750e-02, 2.3272e+00
1.5000e-02, 2.2273e+00
1.6250e-02, 2.1392e+00
1.7500e-02, 2.0606e+00
1.8750e-02, 1.9900e+00
2.0000e-02, 1.9261e+00
2.1325e-02, 1.8646e+00
2.2650e-02, 1.8086e+00
2.3975e-02, 1.7573e+00
2.5300e-02, 1.7100e+00
2.6844e-02, 1.6595e+00
2.8387e-02, 1.6131e+00
2.9931e-02, 1.5704e+00
3.1475e-02, 1.5309e+00
3.4563e-02, 1.4599e+00
3.7650e-02, 1.3975e+00
4.0738e-02, 1.3424e+00
4.3825e-02, 1.2931e+00
4.6913e-02, 1.2488e+00
5.0000e-02, 1.2086e+00
5.3125e-02, 1.1715e+00
5.6250e-02, 1.1376e+00
5.9375e-02, 1.1064e+00
6.2500e-02, 1.0776e+00
6.8750e-02, 1.0259e+00
7.5000e-02, 9.8061e-01
8.1250e-02, 9.4056e-01
8.7500e-02, 9.0484e-01
9.3750e-02, 8.7271e-01
1.0000e-01, 8.4361e-01
1.0625e-01, 8.1709e-01
1.1250e-01, 7.9278e-01
1.1875e-01, 7.7042e-01
1.2500e-01, 7.4984e-01
1.3750e-01, 7.1279e-01
1.5000e-01, 6.8023e-01
1.6250e-01, 6.5145e-01
1.7500e-01, 6.2576e-01
1.8750e-01, 6.0263e-01
2.0000e-01, 5.8174e-01
2.1875e-01, 5.5373e-01
2.3750e-01, 5.2895e-01
2.5625e-01, 5.0688e-01
2.7500e-01, 4.8706e-01
2.9375e-01, 4.6913e-01
3.1250e-01, 4.5279e-01
3.3125e-01, 4.3783e-01
3.5000e-01, 4.2406e-01
3.6875e-01, 4.1133e-01
3.8750e-01, 3.9958e-01
4.2500e-01, 3.7834e-01
5.0000e-01, 3.4304e-01
5.6250e-01, 3.1910e-01
6.2500e-01, 2.9875e-01
7.5000e-01, 2.6594e-01
8.7500e-01, 2.4056e-01
1.0000e+00, 2.2027e-01
1.1250e+00, 2.0364e-01
1.2500e+00, 1.8986e-01
1.3750e+00, 1.7834e-01
1.5000e+00, 1.6868e-01
1.7500e+00, 1.5395e-01
2.0000e+00, 1.4439e-01
2.1866e+00, 1.4072e-01
2.3731e+00, 1.3939e-01
2.5286e+00, 1.4151e-01
2.6841e+00, 1.4712e-01
2.7618e+00, 1.5152e-01
2.8395e+00, 1.5762e-01
2.9173e+00, 1.6579e-01
2.9950e+00, 1.7583e-01
3.0572e+00, 1.8639e-01
3.1194e+00, 1.9981e-01
3.1816e+00, 2.1679e-01
3.2437e+00, 2.3853e-01
3.3059e+00, 2.6678e-01
3.3681e+00, 3.0378e-01
3.3992e+00, 3.2678e-01
3.4303e+00, 3.5401e-01
3.4614e+00, 3.8629e-01
3.4925e+00, 4.2483e-01
3.5314e+00, 4.8447e-01
3.5702e+00, 5.6143e-01
3.5897e+00, 6.0853e-01
3.6091e+00, 6.6290e-01
3.6285e+00, 7.2602e-01
3.6480e+00, 7.9992e-01
3.6635e+00, 8.6875e-01
3.6839e+00, 9.7567e-01
3.7043e+00, 1.1066e+00
3.7247e+00, 1.2691e+00
3.7451e+00, 1.4744e+00
3.7553e+00, 1.5979e+00
3.7655e+00, 1.7388e+00
3.7757e+00, 1.9008e+00
3.7859e+00, 2.0881e+00
3.7961e+00, 2.3066e+00
3.8063e+00, 2.5639e+00
3.8165e+00, 2.8704e+00
3.8267e+00, 3.2401e+00
3.8369e+00, 3.6931e+00
3.8471e+00, 4.2588e+00
3.8522e+00, 4.5970e+00
3.8573e+00, 4.9820e+00
3.8625e+00, 5.4240e+00
3.8676e+00, 5.9367e+00
3.8727e+00, 6.5385e+00
3.8778e+00, 7.2542e+00
3.8829e+00, 8.1189e+00
3.8880e+00, 9.1807e+00
3.8931e+00, 1.0507e+01
3.8982e+00, 1.2190e+01
3.9007e+00, 1.3202e+01
3.9033e+00, 1.4353e+01
3.9058e+00, 1.5665e+01
3.9084e+00, 1.7162e+01
3.9110e+00, 1.8959e+01
3.9137e+00, 2.1027e+01
3.9164e+00, 2.3405e+01
3.9190e+00, 2.6136e+01
3.9217e+00, 2.9266e+01
3.9244e+00, 3.2845e+01
3.9271e+00, 3.6924e+01
3.9297e+00, 4.1554e+01
3.9324e+00, 4.6786e+01
3.9351e+00, 5.2669e+01
3.9378e+00, 5.9245e+01
3.9404e+00, 6.6552e+01
3.9431e+00, 7.4617e+01
3.9458e+00, 8.3454e+01
3.9511e+00, 1.0343e+02
3.9569e+00, 1.2846e+02
3.9628e+00, 1.5614e+02
3.9744e+00, 2.1389e+02
3.9812e+00, 2.4415e+02
3.9880e+00, 2.6773e+02
3.9940e+00, 2.8062e+02
4.0000e+00, 2.8478e+02
4.0044e+00, 2.8202e+02
4.0088e+00, 2.7449e+02
4.0129e+00, 2.6325e+02
4.0171e+00, 2.4862e+02
4.0255e+00, 2.1201e+02
4.0371e+00, 1.5483e+02
4.0429e+00, 1.2757e+02
4.0487e+00, 1.0294e+02
4.0540e+00, 8.3264e+01
4.0567e+00, 7.4549e+01
4.0593e+00, 6.6589e+01
4.0620e+00, 5.9363e+01
4.0646e+00, 5.2850e+01
4.0673e+00, 4.7011e+01
4.0700e+00, 4.1807e+01
4.0726e+00, 3.7189e+01
4.0753e+00, 3.3111e+01
4.0779e+00, 2.9523e+01
4.0806e+00, 2.6377e+01
4.0833e+00, 2.3625e+01
4.0859e+00, 2.1223e+01
4.0886e+00, 1.9128e+01
4.0912e+00, 1.7303e+01
4.0938e+00, 1.5780e+01
4.0963e+00, 1.4443e+01
4.0988e+00, 1.3268e+01
4.1014e+00, 1.2234e+01
4.1065e+00, 1.0513e+01
4.1115e+00, 9.1575e+00
4.1166e+00, 8.0728e+00
4.1217e+00, 7.1916e+00
4.1268e+00, 6.4640e+00
4.1318e+00, 5.8542e+00
4.1369e+00, 5.3361e+00
4.1420e+00, 4.8905e+00
4.1471e+00, 4.5034e+00
4.1521e+00, 4.1641e+00
4.1623e+00, 3.5979e+00
4.1724e+00, 3.1456e+00
4.1816e+00, 2.8094e+00
4.1908e+00, 2.5267e+00
4.2000e+00, 2.2862e+00
4.2092e+00, 2.0799e+00
4.2184e+00, 1.9012e+00
4.2275e+00, 1.7454e+00
4.2459e+00, 1.4877e+00
4.2643e+00, 1.2848e+00
4.2827e+00, 1.1220e+00
4.3010e+00, 9.8948e-01
4.3194e+00, 8.8008e-01
4.3349e+00, 8.0211e-01
4.3581e+00, 7.0431e-01
4.3813e+00, 6.2449e-01
4.4045e+00, 5.5835e-01
4.4277e+00, 5.0277e-01
4.4509e+00, 4.5559e-01
4.4741e+00, 4.1526e-01
4.5011e+00, 3.7522e-01
4.5282e+00, 3.4128e-01
4.5553e+00, 3.1225e-01
4.5824e+00, 2.8722e-01
4.6094e+00, 2.6549e-01
4.6365e+00, 2.4651e-01
4.6906e+00, 2.1525e-01
4.7525e+00, 1.8744e-01
4.8144e+00, 1.6550e-01
4.8763e+00, 1.4802e-01
4.9381e+00, 1.3386e-01
5.0000e+00, 1.2223e-01
5.0586e+00, 1.1302e-01
5.1172e+00, 1.0514e-01
5.2344e+00, 9.2481e-02
5.3516e+00, 8.2837e-02
5.4688e+00, 7.5317e-02
5.6250e+00, 6.7511e-02
5.7812e+00, 6.1433e-02
5.9375e+00, 5.6603e-02
6.0938e+00, 5.2669e-02
6.2500e+00, 4.9416e-02
6.5625e+00, 4.4284e-02
6.8750e+00, 4.0387e-02
7.1875e+00, 3.7321e-02
7.5000e+00, 3.4839e-02
8.1250e+00, 3.1018e-02
8.7500e+00, 2.8195e-02
9.3750e+00, 2.6028e-02
1.0000e+01, 2.4324e-02
1.0625e+01, 2.2962e-02
1.1250e+01, 2.1869e-02
1.2500e+01, 2.0286e-02
1.3750e+01, 1.9315e-02
1.5000e+01, 1.8830e-02
1.6250e+01, 1.8775e-02
1.7500e+01, 1.9149e-02
1.8750e+01, 2.0005e-02
2.0000e+01, 2.1465e-02
2.0710e+01, 2.2650e-02
2.1420e+01, 2.4184e-02
2.2129e+01, 2.6166e-02
2.2839e+01, 2.8752e-02
2.3549e+01, 3.2175e-02
2.3904e+01, 3.4240e-02
2.4259e+01, 3.6659e-02
2.4614e+01, 3.9563e-02
2.4969e+01, 4.3016e-02
2.5324e+01, 4.7168e-02
2.5678e+01, 5.2220e-02
2.5992e+01, 5.7645e-02
2.6305e+01, 6.4257e-02
2.6618e+01, 7.2436e-02
