ebin, xs
1.0000e-05, 6.0381e+02
1.0625e-05, 5.8578e+02
1.1250e-05, 5.6928e+02
1.1875e-05, 5.5410e+02
1.2500e-05, 5.4007e+02
1.3750e-05, 5.1493e+02
1.5000e-05, 4.9301e+02
1.6250e-05, 4.7367e+02
1.7500e-05, 4.5644e+02
1.8750e-05, 4.4096e+02
2.0000e-05, 4.2696e+02
2.1875e-05, 4.0825e+02
2.3750e-05, 3.9181e+02
2.5625e-05, 3.7720e+02
2.7500e-05, 3.6411e+02
2.9375e-05, 3.5230e+02
3.1250e-05, 3.4157e+02
3.3125e-05, 3.3176e+02
3.5000e-05, 3.2275e+02
3.8750e-05, 3.0674e+02
4.2500e-05, 2.9289e+02
4.6250e-05, 2.8077e+02
5.0000e-05, 2.7003e+02
5.3125e-05, 2.6197e+02
5.6250e-05, 2.5459e+02
5.9375e-05, 2.4780e+02
6.2500e-05, 2.4153e+02
6.8750e-05, 2.3029e+02
7.5000e-05, 2.2048e+02
8.1250e-05, 2.1183e+02
8.7500e-05, 2.0413e+02
9.3750e-05, 1.9721e+02
1.0000e-04, 1.9094e+02
1.0625e-04, 1.8524e+02
1.1250e-04, 1.8002e+02
1.1875e-04, 1.7522e+02
1.2500e-04, 1.7078e+02
1.3750e-04, 1.6284e+02
1.5000e-04, 1.5590e+02
1.6250e-04, 1.4979e+02
1.7500e-04, 1.4434e+02
1.8750e-04, 1.3945e+02
2.0000e-04, 1.3502e+02
2.1875e-04, 1.2910e+02
2.3750e-04, 1.2390e+02
2.5625e-04, 1.1928e+02
2.7500e-04, 1.1514e+02
2.9375e-04, 1.1141e+02
3.1250e-04, 1.0801e+02
3.3125e-04, 1.0491e+02
3.5000e-04, 1.0206e+02
3.8750e-04, 9.6999e+01
4.2500e-04, 9.2621e+01
4.6250e-04, 8.8786e+01
5.0000e-04, 8.5392e+01
5.3125e-04, 8.2842e+01
5.6250e-04, 8.0508e+01
5.9375e-04, 7.8361e+01
6.2500e-04, 7.6376e+01
6.8750e-04, 7.2822e+01
7.5000e-04, 6.9722e+01
8.1250e-04, 6.6986e+01
8.7500e-04, 6.4550e+01
9.3750e-04, 6.2361e+01
1.0000e-03, 6.0381e+01
1.0625e-03, 5.8578e+01
1.1250e-03, 5.6928e+01
1.1875e-03, 5.5409e+01
1.2500e-03, 5.4006e+01
1.3750e-03, 5.1493e+01
1.5000e-03, 4.9301e+01
1.6250e-03, 4.7367e+01
1.7500e-03, 4.5644e+01
1.8750e-03, 4.4096e+01
2.0000e-03, 4.2696e+01
2.1875e-03, 4.0825e+01
2.3750e-03, 3.9180e+01
2.5625e-03, 3.7720e+01
2.7500e-03, 3.6411e+01
2.9375e-03, 3.5230e+01
3.1250e-03, 3.4157e+01
3.3125e-03, 3.3177e+01
3.5000e-03, 3.2276e+01
3.8750e-03, 3.0675e+01
4.2500e-03, 2.9290e+01
4.6250e-03, 2.8077e+01
5.0000e-03, 2.7003e+01
5.3125e-03, 2.6197e+01
5.6250e-03, 2.5459e+01
5.9375e-03, 2.4780e+01
6.2500e-03, 2.4153e+01
6.8750e-03, 2.3029e+01
7.5000e-03, 2.2048e+01
8.1250e-03, 2.1183e+01
8.7500e-03, 2.0412e+01
9.3750e-03, 1.9719e+01
1.0000e-02, 1.9093e+01
1.0625e-02, 1.8522e+01
1.1250e-02, 1.8001e+01
1.1875e-02, 1.7521e+01
1.2500e-02, 1.7078e+01
1.3750e-02, 1.6284e+01
1.5000e-02, 1.5591e+01
1.6250e-02, 1.4979e+01
1.7500e-02, 1.4433e+01
1.8750e-02, 1.3943e+01
2.0000e-02, 1.3500e+01
2.1325e-02, 1.3074e+01
2.2650e-02, 1.2685e+01
2.3975e-02, 1.2330e+01
2.5300e-02, 1.2003e+01
2.6844e-02, 1.1654e+01
2.8387e-02, 1.1333e+01
3.1475e-02, 1.0764e+01
3.4563e-02, 1.0272e+01
3.7650e-02, 9.8410e+00
4.0738e-02, 9.4602e+00
4.3825e-02, 9.1204e+00
4.6913e-02, 8.8148e+00
5.0000e-02, 8.5380e+00
5.3125e-02, 8.2829e+00
5.6250e-02, 8.0494e+00
5.9375e-02, 7.8351e+00
6.2500e-02, 7.6376e+00
6.8750e-02, 7.2831e+00
7.5000e-02, 6.9726e+00
8.1250e-02, 6.6986e+00
8.7500e-02, 6.4546e+00
9.3750e-02, 6.2355e+00
1.0000e-01, 6.0372e+00
1.0625e-01, 5.8568e+00
1.1250e-01, 5.6917e+00
1.1875e-01, 5.5400e+00
1.2500e-01, 5.4005e+00
1.3750e-01, 5.1499e+00
1.5000e-01, 4.9303e+00
1.6250e-01, 4.7365e+00
1.7500e-01, 4.5640e+00
1.8750e-01, 4.4091e+00
2.0000e-01, 4.2695e+00
2.1875e-01, 4.0827e+00
2.3750e-01, 3.9179e+00
2.5625e-01, 3.7717e+00
2.7500e-01, 3.6407e+00
2.9375e-01, 3.5224e+00
3.1250e-01, 3.4150e+00
3.3125e-01, 3.3169e+00
3.5000e-01, 3.2273e+00
3.8750e-01, 3.0676e+00
4.2500e-01, 2.9289e+00
5.0000e-01, 2.7004e+00
6.2500e-01, 2.4153e+00
7.5000e-01, 2.2046e+00
8.7500e-01, 2.0412e+00
1.0000e+00, 1.9095e+00
1.2500e+00, 1.7077e+00
1.5000e+00, 1.5588e+00
1.7500e+00, 1.4432e+00
2.0000e+00, 1.3500e+00
2.3750e+00, 1.2388e+00
2.7500e+00, 1.1513e+00
3.1250e+00, 1.0800e+00
3.5000e+00, 1.0204e+00
4.2500e+00, 9.2595e-01
5.0000e+00, 8.5368e-01
6.2500e+00, 7.6355e-01
7.5000e+00, 6.9699e-01
8.7500e+00, 6.4530e-01
1.0000e+01, 6.0363e-01
1.2500e+01, 5.3988e-01
1.5000e+01, 4.9282e-01
1.7500e+01, 4.5627e-01
2.0000e+01, 4.2681e-01
2.3125e+01, 3.9692e-01
2.6250e+01, 3.7254e-01
3.2500e+01, 3.3480e-01
3.8750e+01, 3.0661e-01
4.1875e+01, 2.9554e-01
4.3438e+01, 2.9002e-01
4.4219e+01, 2.8726e-01
4.4609e+01, 2.8704e-01
