ebin, xs
1.0000e-05, 2.4827e+01
1.0625e-05, 2.4086e+01
1.1250e-05, 2.3407e+01
1.1875e-05, 2.2783e+01
1.2500e-05, 2.2206e+01
1.3750e-05, 2.1173e+01
1.5000e-05, 2.0271e+01
1.6250e-05, 1.9476e+01
1.7500e-05, 1.8768e+01
1.8750e-05, 1.8131e+01
2.0000e-05, 1.7555e+01
2.1875e-05, 1.6786e+01
2.3750e-05, 1.6110e+01
2.5625e-05, 1.5509e+01
2.7500e-05, 1.4971e+01
2.9375e-05, 1.4486e+01
3.1250e-05, 1.4044e+01
3.3125e-05, 1.3641e+01
3.5000e-05, 1.3271e+01
3.8750e-05, 1.2612e+01
4.2500e-05, 1.2043e+01
4.6250e-05, 1.1544e+01
5.0000e-05, 1.1103e+01
5.3125e-05, 1.0772e+01
5.6250e-05, 1.0468e+01
5.9375e-05, 1.0189e+01
6.2500e-05, 9.9309e+00
6.8750e-05, 9.4687e+00
7.5000e-05, 9.0656e+00
8.1250e-05, 8.7099e+00
8.7500e-05, 8.3931e+00
9.3750e-05, 8.1085e+00
1.0000e-04, 7.8510e+00
1.0625e-04, 7.6166e+00
1.1250e-04, 7.4020e+00
1.1875e-04, 7.2046e+00
1.2500e-04, 7.0222e+00
1.3750e-04, 6.6954e+00
1.5000e-04, 6.4103e+00
1.6250e-04, 6.1589e+00
1.7500e-04, 5.9348e+00
1.8750e-04, 5.7336e+00
2.0000e-04, 5.5515e+00
2.1875e-04, 5.3083e+00
2.3750e-04, 5.0944e+00
2.5625e-04, 4.9045e+00
2.7500e-04, 4.7343e+00
2.9375e-04, 4.5808e+00
3.1250e-04, 4.4412e+00
3.3125e-04, 4.3137e+00
3.5000e-04, 4.1965e+00
3.8750e-04, 3.9883e+00
4.2500e-04, 3.8083e+00
4.6250e-04, 3.6506e+00
5.0000e-04, 3.5111e+00
5.3125e-04, 3.4062e+00
5.6250e-04, 3.3103e+00
5.9375e-04, 3.2220e+00
6.2500e-04, 3.1404e+00
6.8750e-04, 2.9943e+00
7.5000e-04, 2.8668e+00
8.1250e-04, 2.7543e+00
8.7500e-04, 2.6541e+00
9.3750e-04, 2.5641e+00
1.0000e-03, 2.4827e+00
1.0625e-03, 2.4086e+00
1.1250e-03, 2.3407e+00
1.1875e-03, 2.2783e+00
1.2500e-03, 2.2206e+00
1.3750e-03, 2.1173e+00
1.5000e-03, 2.0271e+00
1.6250e-03, 1.9476e+00
1.7500e-03, 1.8768e+00
1.8750e-03, 1.8131e+00
2.0000e-03, 1.7556e+00
2.1875e-03, 1.6786e+00
2.3750e-03, 1.6110e+00
2.5625e-03, 1.5510e+00
2.7500e-03, 1.4972e+00
2.9375e-03, 1.4486e+00
3.1250e-03, 1.4045e+00
3.3125e-03, 1.3641e+00
3.5000e-03, 1.3271e+00
3.8750e-03, 1.2612e+00
4.2500e-03, 1.2043e+00
4.6250e-03, 1.1545e+00
5.0000e-03, 1.1103e+00
5.3125e-03, 1.0772e+00
5.6250e-03, 1.0468e+00
5.9375e-03, 1.0189e+00
6.2500e-03, 9.9309e-01
6.8750e-03, 9.4687e-01
7.5000e-03, 9.0655e-01
8.1250e-03, 8.7098e-01
8.7500e-03, 8.3929e-01
9.3750e-03, 8.1083e-01
1.0000e-02, 7.8508e-01
1.0625e-02, 7.6164e-01
1.1250e-02, 7.4019e-01
1.1875e-02, 7.2046e-01
1.2500e-02, 7.0222e-01
1.3750e-02, 6.6955e-01
1.5000e-02, 6.4105e-01
1.6250e-02, 6.1589e-01
1.7500e-02, 5.9347e-01
1.8750e-02, 5.7333e-01
2.0000e-02, 5.5512e-01
2.1325e-02, 5.3759e-01
2.2650e-02, 5.2163e-01
2.3975e-02, 5.0702e-01
2.5300e-02, 4.9358e-01
2.6844e-02, 4.7920e-01
2.8387e-02, 4.6601e-01
3.1475e-02, 4.4260e-01
3.4563e-02, 4.2236e-01
3.7650e-02, 4.0466e-01
4.0738e-02, 3.8900e-01
4.3825e-02, 3.7503e-01
4.6913e-02, 3.6247e-01
5.0000e-02, 3.5109e-01
5.3125e-02, 3.4060e-01
5.6250e-02, 3.3101e-01
5.9375e-02, 3.2220e-01
6.2500e-02, 3.1406e-01
6.8750e-02, 2.9947e-01
7.5000e-02, 2.8672e-01
8.1250e-02, 2.7546e-01
8.7500e-02, 2.6543e-01
9.3750e-02, 2.5642e-01
1.0000e-01, 2.4827e-01
1.0625e-01, 2.4085e-01
1.1250e-01, 2.3407e-01
1.1875e-01, 2.2784e-01
1.2500e-01, 2.2209e-01
1.3750e-01, 2.1178e-01
1.5000e-01, 2.0276e-01
1.6250e-01, 1.9479e-01
1.7500e-01, 1.8770e-01
1.8750e-01, 1.8134e-01
2.0000e-01, 1.7559e-01
2.1875e-01, 1.6791e-01
2.3750e-01, 1.6114e-01
2.5625e-01, 1.5513e-01
2.7500e-01, 1.4975e-01
2.9375e-01, 1.4488e-01
3.1250e-01, 1.4047e-01
3.3125e-01, 1.3644e-01
3.5000e-01, 1.3276e-01
3.8750e-01, 1.2620e-01
