ebin, xs
1.0000e-05, 5.5958e+03
1.0625e-05, 5.4287e+03
1.1250e-05, 5.2758e+03
1.1875e-05, 5.1351e+03
1.2500e-05, 5.0050e+03
1.3750e-05, 4.7721e+03
1.5000e-05, 4.5690e+03
1.6250e-05, 4.3897e+03
1.7500e-05, 4.2300e+03
1.8750e-05, 4.0866e+03
2.0000e-05, 3.9568e+03
2.1875e-05, 3.7835e+03
2.3750e-05, 3.6310e+03
2.5625e-05, 3.4957e+03
2.7500e-05, 3.3744e+03
2.9375e-05, 3.2649e+03
3.1250e-05, 3.1655e+03
3.3125e-05, 3.0746e+03
3.5000e-05, 2.9911e+03
3.8750e-05, 2.8427e+03
4.2500e-05, 2.7144e+03
4.6250e-05, 2.6020e+03
5.0000e-05, 2.5026e+03
5.3125e-05, 2.4278e+03
5.6250e-05, 2.3594e+03
5.9375e-05, 2.2965e+03
6.2500e-05, 2.2384e+03
6.8750e-05, 2.1342e+03
7.5000e-05, 2.0433e+03
8.1250e-05, 1.9632e+03
8.7500e-05, 1.8918e+03
9.3750e-05, 1.8276e+03
1.0000e-04, 1.7696e+03
1.0625e-04, 1.7168e+03
1.1250e-04, 1.6684e+03
1.1875e-04, 1.6239e+03
1.2500e-04, 1.5828e+03
1.3750e-04, 1.5091e+03
1.5000e-04, 1.4449e+03
1.6250e-04, 1.3882e+03
1.7500e-04, 1.3377e+03
1.8750e-04, 1.2924e+03
2.0000e-04, 1.2513e+03
2.1875e-04, 1.1965e+03
2.3750e-04, 1.1483e+03
2.5625e-04, 1.1055e+03
2.7500e-04, 1.0672e+03
2.9375e-04, 1.0326e+03
3.1250e-04, 1.0011e+03
3.3125e-04, 9.7237e+02
3.5000e-04, 9.4597e+02
3.8750e-04, 8.9904e+02
4.2500e-04, 8.5847e+02
4.6250e-04, 8.2294e+02
5.0000e-04, 7.9149e+02
5.3125e-04, 7.6786e+02
5.6250e-04, 7.4624e+02
5.9375e-04, 7.2634e+02
6.2500e-04, 7.0796e+02
6.8750e-04, 6.7502e+02
7.5000e-04, 6.4630e+02
8.1250e-04, 6.2096e+02
8.7500e-04, 5.9838e+02
9.3750e-04, 5.7810e+02
1.0000e-03, 5.5976e+02
1.0625e-03, 5.4305e+02
1.1250e-03, 5.2777e+02
1.1875e-03, 5.1370e+02
1.2500e-03, 5.0070e+02
1.3750e-03, 4.7742e+02
1.5000e-03, 4.5712e+02
1.6250e-03, 4.3920e+02
1.7500e-03, 4.2324e+02
1.8750e-03, 4.0891e+02
2.0000e-03, 3.9594e+02
2.1875e-03, 3.7861e+02
2.3750e-03, 3.6338e+02
2.5625e-03, 3.4986e+02
2.7500e-03, 3.3774e+02
2.9375e-03, 3.2681e+02
3.1250e-03, 3.1687e+02
3.3125e-03, 3.0779e+02
3.5000e-03, 2.9946e+02
3.8750e-03, 2.8463e+02
4.2500e-03, 2.7182e+02
4.6250e-03, 2.6059e+02
5.0000e-03, 2.5066e+02
5.3125e-03, 2.4320e+02
