ebin, xs
1.0000e-05, 6.3895e+01
1.0625e-05, 6.1988e+01
1.1250e-05, 6.0241e+01
1.1875e-05, 5.8635e+01
1.2500e-05, 5.7150e+01
1.3750e-05, 5.4490e+01
1.5000e-05, 5.2170e+01
1.6250e-05, 5.0124e+01
1.7500e-05, 4.8300e+01
1.8750e-05, 4.6663e+01
2.0000e-05, 4.5181e+01
2.1875e-05, 4.3201e+01
2.3750e-05, 4.1461e+01
2.5625e-05, 3.9915e+01
2.7500e-05, 3.8530e+01
2.9375e-05, 3.7280e+01
3.1250e-05, 3.6145e+01
3.3125e-05, 3.5107e+01
3.5000e-05, 3.4154e+01
3.8750e-05, 3.2459e+01
4.2500e-05, 3.0994e+01
4.6250e-05, 2.9711e+01
5.0000e-05, 2.8575e+01
5.3125e-05, 2.7722e+01
5.6250e-05, 2.6941e+01
5.9375e-05, 2.6222e+01
6.2500e-05, 2.5558e+01
6.8750e-05, 2.4369e+01
7.5000e-05, 2.3331e+01
8.1250e-05, 2.2416e+01
8.7500e-05, 2.1601e+01
9.3750e-05, 2.0868e+01
1.0000e-04, 2.0206e+01
1.0625e-04, 1.9602e+01
1.1250e-04, 1.9050e+01
1.1875e-04, 1.8542e+01
1.2500e-04, 1.8072e+01
1.3750e-04, 1.7231e+01
1.5000e-04, 1.6498e+01
1.6250e-04, 1.5850e+01
1.7500e-04, 1.5274e+01
1.8750e-04, 1.4756e+01
2.0000e-04, 1.4287e+01
2.1875e-04, 1.3661e+01
2.3750e-04, 1.3111e+01
2.5625e-04, 1.2622e+01
2.7500e-04, 1.2184e+01
2.9375e-04, 1.1789e+01
3.1250e-04, 1.1430e+01
3.3125e-04, 1.1102e+01
3.5000e-04, 1.0800e+01
3.8750e-04, 1.0264e+01
4.2500e-04, 9.8011e+00
4.6250e-04, 9.3953e+00
5.0000e-04, 9.0361e+00
5.3125e-04, 8.7663e+00
5.6250e-04, 8.5193e+00
5.9375e-04, 8.2921e+00
6.2500e-04, 8.0822e+00
6.8750e-04, 7.7060e+00
7.5000e-04, 7.3780e+00
8.1250e-04, 7.0885e+00
8.7500e-04, 6.8307e+00
9.3750e-04, 6.5991e+00
1.0000e-03, 6.3895e+00
1.0625e-03, 6.1987e+00
1.1250e-03, 6.0241e+00
1.1875e-03, 5.8634e+00
1.2500e-03, 5.7150e+00
1.3750e-03, 5.4490e+00
1.5000e-03, 5.2170e+00
1.6250e-03, 5.0124e+00
1.7500e-03, 4.8300e+00
1.8750e-03, 4.6663e+00
2.0000e-03, 4.5181e+00
2.1875e-03, 4.3201e+00
2.3750e-03, 4.1461e+00
2.5625e-03, 3.9915e+00
2.7500e-03, 3.8531e+00
2.9375e-03, 3.7281e+00
3.1250e-03, 3.6145e+00
3.3125e-03, 3.5107e+00
3.5000e-03, 3.4154e+00
3.8750e-03, 3.2459e+00
4.2500e-03, 3.0994e+00
4.6250e-03, 2.9711e+00
5.0000e-03, 2.8575e+00
5.3125e-03, 2.7722e+00
5.6250e-03, 2.6940e+00
5.9375e-03, 2.6222e+00
6.2500e-03, 2.5558e+00
6.8750e-03, 2.4368e+00
7.5000e-03, 2.3331e+00
8.1250e-03, 2.2415e+00
8.7500e-03, 2.1599e+00
9.3750e-03, 2.0867e+00
1.0000e-02, 2.0204e+00
1.0625e-02, 1.9601e+00
1.1250e-02, 1.9049e+00
1.1875e-02, 1.8541e+00
1.2500e-02, 1.8072e+00
1.3750e-02, 1.7231e+00
1.5000e-02, 1.6497e+00
1.6250e-02, 1.5850e+00
1.7500e-02, 1.5273e+00
1.8750e-02, 1.4754e+00
2.0000e-02, 1.4285e+00
2.1325e-02, 1.3834e+00
2.2650e-02, 1.3423e+00
2.3975e-02, 1.3047e+00
2.5300e-02, 1.2701e+00
2.6844e-02, 1.2331e+00
2.8387e-02, 1.1992e+00
3.1475e-02, 1.1389e+00
3.4563e-02, 1.0869e+00
3.7650e-02, 1.0413e+00
4.0738e-02, 1.0010e+00
4.3825e-02, 9.6502e-01
4.6913e-02, 9.3268e-01
5.0000e-02, 9.0339e-01
5.3125e-02, 8.7639e-01
5.6250e-02, 8.5171e-01
5.9375e-02, 8.2902e-01
6.2500e-02, 8.0808e-01
6.8750e-02, 7.7053e-01
7.5000e-02, 7.3770e-01
8.1250e-02, 7.0870e-01
8.7500e-02, 6.8287e-01
9.3750e-02, 6.5968e-01
1.0000e-01, 6.3870e-01
1.0625e-01, 6.1960e-01
1.1250e-01, 6.0213e-01
1.1875e-01, 5.8609e-01
1.2500e-01, 5.7130e-01
1.3750e-01, 5.4476e-01
1.5000e-01, 5.2152e-01
1.6250e-01, 5.0101e-01
1.7500e-01, 4.8275e-01
1.8750e-01, 4.6635e-01
2.0000e-01, 4.5157e-01
2.1875e-01, 4.3179e-01
2.3750e-01, 4.1435e-01
2.5625e-01, 3.9886e-01
2.7500e-01, 3.8498e-01
2.9375e-01, 3.7246e-01
3.1250e-01, 3.6109e-01
3.3125e-01, 3.5070e-01
3.5000e-01, 3.4122e-01
3.8750e-01, 3.2431e-01
4.2500e-01, 3.0962e-01
5.0000e-01, 2.8542e-01
6.2500e-01, 2.5521e-01
7.5000e-01, 2.3287e-01
8.7500e-01, 2.1556e-01
1.0000e+00, 2.0162e-01
1.2500e+00, 1.8021e-01
1.5000e+00, 1.6442e-01
1.7500e+00, 1.5219e-01
2.0000e+00, 1.4233e-01
2.3750e+00, 1.3059e-01
2.7500e+00, 1.2139e-01
3.1250e+00, 1.1393e-01
3.5000e+00, 1.0775e-01
4.2500e+00, 9.8140e-02
5.0000e+00, 9.1176e-02
5.8884e+00, 8.5706e-02
6.7767e+00, 8.3135e-02
7.2765e+00, 8.4013e-02
7.5263e+00, 8.5580e-02
7.7762e+00, 8.8347e-02
8.0260e+00, 9.2710e-02
8.1510e+00, 9.6045e-02
8.2759e+00, 1.0043e-01
8.4008e+00, 1.0624e-01
8.5257e+00, 1.1397e-01
8.6507e+00, 1.2452e-01
8.7131e+00, 1.3139e-01
8.7756e+00, 1.3965e-01
8.8450e+00, 1.5091e-01
8.9144e+00, 1.6508e-01
8.9838e+00, 1.8315e-01
9.0532e+00, 2.0662e-01
9.0879e+00, 2.2110e-01
9.1226e+00, 2.3798e-01
9.1573e+00, 2.5784e-01
9.1920e+00, 2.8142e-01
9.2267e+00, 3.0966e-01
9.2614e+00, 3.4387e-01
9.2961e+00, 3.8582e-01
9.3308e+00, 4.3809e-01
9.3586e+00, 4.8982e-01
9.3864e+00, 5.5336e-01
9.4141e+00, 6.3272e-01
9.4419e+00, 7.3381e-01
9.4558e+00, 7.9513e-01
9.4696e+00, 8.6557e-01
9.4835e+00, 9.4706e-01
9.4974e+00, 1.0420e+00
9.5113e+00, 1.1535e+00
9.5252e+00, 1.2853e+00
9.5390e+00, 1.4424e+00
9.5529e+00, 1.6306e+00
9.5691e+00, 1.8993e+00
9.5853e+00, 2.2339e+00
9.6015e+00, 2.6499e+00
9.6177e+00, 3.1636e+00
9.6339e+00, 3.7898e+00
9.6501e+00, 4.5389e+00
9.6663e+00, 5.4128e+00
9.6825e+00, 6.4006e+00
9.7262e+00, 9.3650e+00
9.7481e+00, 1.0730e+01
9.7700e+00, 1.1770e+01
9.7860e+00, 1.2227e+01
9.8020e+00, 1.2378e+01
9.8100e+00, 1.2334e+01
9.8300e+00, 1.1885e+01
9.8500e+00, 1.1013e+01
9.8728e+00, 9.6535e+00
9.8957e+00, 8.1120e+00
9.9185e+00, 6.5850e+00
9.9414e+00, 5.2137e+00
9.9560e+00, 4.4519e+00
9.9707e+00, 3.7908e+00
9.9853e+00, 3.2279e+00
1.0000e+01, 2.7559e+00
1.0013e+01, 2.4042e+00
1.0026e+01, 2.1080e+00
1.0039e+01, 1.8590e+00
1.0052e+01, 1.6495e+00
1.0065e+01, 1.4729e+00
1.0078e+01, 1.3237e+00
1.0091e+01, 1.1968e+00
