ebin, xs
1.0000e-05, 1.7613e+01
1.0625e-05, 1.7087e+01
1.1250e-05, 1.6606e+01
1.1875e-05, 1.6163e+01
1.2500e-05, 1.5754e+01
1.3750e-05, 1.5020e+01
1.5000e-05, 1.4381e+01
1.6250e-05, 1.3817e+01
1.7500e-05, 1.3314e+01
1.8750e-05, 1.2863e+01
2.0000e-05, 1.2454e+01
2.1875e-05, 1.1909e+01
2.3750e-05, 1.1429e+01
2.5625e-05, 1.1003e+01
2.7500e-05, 1.0621e+01
2.9375e-05, 1.0277e+01
3.1250e-05, 9.9635e+00
3.3125e-05, 9.6774e+00
3.5000e-05, 9.4146e+00
3.8750e-05, 8.9474e+00
4.2500e-05, 8.5436e+00
4.6250e-05, 8.1899e+00
5.0000e-05, 7.8768e+00
5.3125e-05, 7.6416e+00
5.6250e-05, 7.4263e+00
5.9375e-05, 7.2282e+00
6.2500e-05, 7.0452e+00
6.8750e-05, 6.7174e+00
7.5000e-05, 6.4314e+00
8.1250e-05, 6.1791e+00
8.7500e-05, 5.9543e+00
9.3750e-05, 5.7524e+00
1.0000e-04, 5.5697e+00
1.0625e-04, 5.4034e+00
1.1250e-04, 5.2512e+00
1.1875e-04, 5.1111e+00
1.2500e-04, 4.9817e+00
1.3750e-04, 4.7499e+00
1.5000e-04, 4.5477e+00
1.6250e-04, 4.3693e+00
1.7500e-04, 4.2103e+00
1.8750e-04, 4.0676e+00
2.0000e-04, 3.9384e+00
2.1875e-04, 3.7658e+00
2.3750e-04, 3.6141e+00
2.5625e-04, 3.4794e+00
2.7500e-04, 3.3587e+00
2.9375e-04, 3.2497e+00
3.1250e-04, 3.1507e+00
3.3125e-04, 3.0603e+00
3.5000e-04, 2.9772e+00
3.8750e-04, 2.8294e+00
4.2500e-04, 2.7017e+00
4.6250e-04, 2.5899e+00
5.0000e-04, 2.4909e+00
5.3125e-04, 2.4165e+00
5.6250e-04, 2.3484e+00
5.9375e-04, 2.2858e+00
6.2500e-04, 2.2279e+00
6.8750e-04, 2.1242e+00
7.5000e-04, 2.0338e+00
8.1250e-04, 1.9540e+00
8.7500e-04, 1.8829e+00
9.3750e-04, 1.8191e+00
1.0000e-03, 1.7613e+00
1.0625e-03, 1.7087e+00
1.1250e-03, 1.6606e+00
1.1875e-03, 1.6163e+00
1.2500e-03, 1.5754e+00
1.3750e-03, 1.5021e+00
1.5000e-03, 1.4381e+00
1.6250e-03, 1.3817e+00
1.7500e-03, 1.3314e+00
1.8750e-03, 1.2863e+00
2.0000e-03, 1.2454e+00
2.1875e-03, 1.1909e+00
2.3750e-03, 1.1429e+00
2.5625e-03, 1.1003e+00
2.7500e-03, 1.0621e+00
2.9375e-03, 1.0277e+00
3.1250e-03, 9.9635e-01
3.3125e-03, 9.6774e-01
3.5000e-03, 9.4146e-01
3.8750e-03, 8.9475e-01
4.2500e-03, 8.5436e-01
4.6250e-03, 8.1899e-01
5.0000e-03, 7.8768e-01
5.3125e-03, 7.6416e-01
5.6250e-03, 7.4263e-01
5.9375e-03, 7.2282e-01
6.2500e-03, 7.0452e-01
6.8750e-03, 6.7173e-01
7.5000e-03, 6.4313e-01
8.1250e-03, 6.1790e-01
8.7500e-03, 5.9542e-01
9.3750e-03, 5.7523e-01
1.0000e-02, 5.5696e-01
1.0625e-02, 5.4033e-01
1.1250e-02, 5.2511e-01
1.1875e-02, 5.1110e-01
1.2500e-02, 4.9816e-01
1.3750e-02, 4.7498e-01
1.5000e-02, 4.5475e-01
1.6250e-02, 4.3691e-01
1.7500e-02, 4.2101e-01
1.8750e-02, 4.0673e-01
2.0000e-02, 3.9382e-01
2.1325e-02, 3.8139e-01
2.2650e-02, 3.7007e-01
2.3975e-02, 3.5970e-01
2.5300e-02, 3.5016e-01
2.6844e-02, 3.3995e-01
2.8387e-02, 3.3058e-01
3.1475e-02, 3.1396e-01
3.4563e-02, 2.9960e-01
3.7650e-02, 2.8705e-01
4.0738e-02, 2.7595e-01
4.3825e-02, 2.6604e-01
4.6913e-02, 2.5713e-01
5.0000e-02, 2.4906e-01
5.3125e-02, 2.4163e-01
5.6250e-02, 2.3482e-01
5.9375e-02, 2.2857e-01
6.2500e-02, 2.2278e-01
6.8750e-02, 2.1242e-01
7.5000e-02, 2.0338e-01
8.1250e-02, 1.9539e-01
8.7500e-02, 1.8828e-01
9.3750e-02, 1.8189e-01
1.0000e-01, 1.7611e-01
1.0625e-01, 1.7085e-01
1.1250e-01, 1.6604e-01
1.1875e-01, 1.6161e-01
1.2500e-01, 1.5753e-01
1.3750e-01, 1.5021e-01
1.5000e-01, 1.4381e-01
1.6250e-01, 1.3816e-01
1.7500e-01, 1.3313e-01
1.8750e-01, 1.2862e-01
2.0000e-01, 1.2454e-01
2.1875e-01, 1.1908e-01
2.3750e-01, 1.1428e-01
2.5625e-01, 1.1001e-01
2.7500e-01, 1.0619e-01
2.9375e-01, 1.0274e-01
3.1250e-01, 9.9610e-02
3.3125e-01, 9.6754e-02
3.5000e-01, 9.4138e-02
3.8750e-01, 8.9478e-02
4.2500e-01, 8.5432e-02
5.0000e-01, 7.8773e-02
6.2500e-01, 7.0453e-02
7.5000e-01, 6.4299e-02
8.7500e-01, 5.9541e-02
1.0000e+00, 5.5705e-02
1.2500e+00, 4.9803e-02
1.5000e+00, 4.5451e-02
1.7500e+00, 4.2083e-02
