ebin, xs
1.0000e-05, 2.8851e+02
1.0625e-05, 2.7990e+02
1.1250e-05, 2.7201e+02
1.1875e-05, 2.6476e+02
1.2500e-05, 2.5805e+02
1.3750e-05, 2.4605e+02
1.5000e-05, 2.3557e+02
1.6250e-05, 2.2633e+02
1.7500e-05, 2.1810e+02
1.8750e-05, 2.1070e+02
2.0000e-05, 2.0401e+02
2.1875e-05, 1.9507e+02
2.3750e-05, 1.8721e+02
2.5625e-05, 1.8023e+02
2.7500e-05, 1.7398e+02
2.9375e-05, 1.6834e+02
3.1250e-05, 1.6321e+02
3.3125e-05, 1.5852e+02
3.5000e-05, 1.5422e+02
3.8750e-05, 1.4657e+02
4.2500e-05, 1.3995e+02
4.6250e-05, 1.3416e+02
5.0000e-05, 1.2903e+02
5.3125e-05, 1.2518e+02
5.6250e-05, 1.2165e+02
5.9375e-05, 1.1841e+02
6.2500e-05, 1.1541e+02
6.8750e-05, 1.1004e+02
7.5000e-05, 1.0535e+02
8.1250e-05, 1.0122e+02
8.7500e-05, 9.7537e+01
9.3750e-05, 9.4230e+01
1.0000e-04, 9.1238e+01
1.0625e-04, 8.8514e+01
1.1250e-04, 8.6020e+01
1.1875e-04, 8.3726e+01
1.2500e-04, 8.1606e+01
1.3750e-04, 7.7809e+01
1.5000e-04, 7.4497e+01
1.6250e-04, 7.1574e+01
1.7500e-04, 6.8971e+01
1.8750e-04, 6.6632e+01
2.0000e-04, 6.4517e+01
2.1875e-04, 6.1690e+01
2.3750e-04, 5.9205e+01
2.5625e-04, 5.6998e+01
2.7500e-04, 5.5021e+01
2.9375e-04, 5.3236e+01
3.1250e-04, 5.1615e+01
3.3125e-04, 5.0133e+01
3.5000e-04, 4.8772e+01
3.8750e-04, 4.6352e+01
4.2500e-04, 4.4261e+01
4.6250e-04, 4.2429e+01
5.0000e-04, 4.0807e+01
5.3125e-04, 3.9589e+01
5.6250e-04, 3.8474e+01
5.9375e-04, 3.7448e+01
6.2500e-04, 3.6500e+01
6.8750e-04, 3.4802e+01
7.5000e-04, 3.3321e+01
8.1250e-04, 3.2014e+01
8.7500e-04, 3.0850e+01
9.3750e-04, 2.9805e+01
1.0000e-03, 2.8859e+01
1.0625e-03, 2.7997e+01
1.1250e-03, 2.7209e+01
1.1875e-03, 2.6484e+01
1.2500e-03, 2.5814e+01
1.3750e-03, 2.4613e+01
1.5000e-03, 2.3566e+01
1.6250e-03, 2.2642e+01
1.7500e-03, 2.1819e+01
1.8750e-03, 2.1080e+01
2.0000e-03, 2.0411e+01
2.1875e-03, 1.9518e+01
2.3750e-03, 1.8733e+01
2.5625e-03, 1.8035e+01
2.7500e-03, 1.7410e+01
2.9375e-03, 1.6846e+01
3.1250e-03, 1.6334e+01
3.3125e-03, 1.5866e+01
3.5000e-03, 1.5436e+01
3.8750e-03, 1.4671e+01
4.2500e-03, 1.4010e+01
4.6250e-03, 1.3432e+01
5.0000e-03, 1.2919e+01
5.3125e-03, 1.2535e+01
5.6250e-03, 1.2182e+01
5.9375e-03, 1.1858e+01
6.2500e-03, 1.1559e+01
6.8750e-03, 1.1023e+01
7.5000e-03, 1.0555e+01
8.1250e-03, 1.0142e+01
8.7500e-03, 9.7750e+00
9.3750e-03, 9.4449e+00
1.0000e-02, 9.1464e+00
1.0625e-02, 8.8748e+00
1.1250e-02, 8.6262e+00
1.1875e-02, 8.3976e+00
1.2500e-02, 8.1864e+00
1.3750e-02, 7.8081e+00
1.5000e-02, 7.4781e+00
1.6250e-02, 7.1869e+00
1.7500e-02, 6.9274e+00
1.8750e-02, 6.6945e+00
2.0000e-02, 6.4838e+00
2.1325e-02, 6.2811e+00
2.2650e-02, 6.0967e+00
2.3975e-02, 5.9279e+00
2.5300e-02, 5.7728e+00
2.6844e-02, 5.6068e+00
2.8387e-02, 5.4548e+00
3.1475e-02, 5.1848e+00
3.4563e-02, 4.9517e+00
3.7650e-02, 4.7478e+00
4.0738e-02, 4.5677e+00
4.3825e-02, 4.4071e+00
4.6913e-02, 4.2629e+00
5.0000e-02, 4.1323e+00
5.3125e-02, 4.0121e+00
5.6250e-02, 3.9022e+00
5.9375e-02, 3.8014e+00
6.2500e-02, 3.7084e+00
6.8750e-02, 3.5419e+00
7.5000e-02, 3.3965e+00
8.1250e-02, 3.2683e+00
8.7500e-02, 3.1544e+00
9.3750e-02, 3.0522e+00
1.0000e-01, 2.9600e+00
1.0625e-01, 2.8762e+00
1.1250e-01, 2.7997e+00
1.1875e-01, 2.7296e+00
1.2500e-01, 2.6651e+00
1.3750e-01, 2.5497e+00
1.5000e-01, 2.4490e+00
1.6250e-01, 2.3605e+00
1.7500e-01, 2.2820e+00
1.8750e-01, 2.2119e+00
2.0000e-01, 2.1489e+00
2.1875e-01, 2.0652e+00
2.3750e-01, 1.9918e+00
2.5625e-01, 1.9270e+00
2.7500e-01, 1.8695e+00
2.9375e-01, 1.8179e+00
3.1250e-01, 1.7714e+00
3.3125e-01, 1.7293e+00
3.5000e-01, 1.6913e+00
3.8750e-01, 1.6241e+00
4.2500e-01, 1.5668e+00
5.0000e-01, 1.4752e+00
6.2500e-01, 1.3672e+00
7.5000e-01, 1.2943e+00
8.1250e-01, 1.2669e+00
8.7500e-01, 1.2442e+00
1.0000e+00, 1.2097e+00
1.2500e+00, 1.1725e+00
1.3750e+00, 1.1658e+00
1.5000e+00, 1.1655e+00
1.7500e+00, 1.1816e+00
2.0000e+00, 1.2177e+00
2.3750e+00, 1.3092e+00
2.5625e+00, 1.3736e+00
2.7500e+00, 1.4527e+00
2.9375e+00, 1.5490e+00
3.1250e+00, 1.6660e+00
3.3125e+00, 1.8083e+00
3.5000e+00, 1.9826e+00
3.6875e+00, 2.1980e+00
3.8750e+00, 2.4673e+00
4.0625e+00, 2.8093e+00
4.2500e+00, 3.2482e+00
4.3438e+00, 3.5160e+00
4.4375e+00, 3.8291e+00
4.5312e+00, 4.1945e+00
4.6250e+00, 4.6244e+00
4.7188e+00, 5.1353e+00
4.8125e+00, 5.7488e+00
4.9062e+00, 6.4947e+00
5.0000e+00, 7.4107e+00
5.0747e+00, 8.3022e+00
5.1494e+00, 9.3850e+00
5.2241e+00, 1.0714e+01
5.2988e+00, 1.2370e+01
5.3735e+00, 1.4454e+01
5.4108e+00, 1.5711e+01
5.4482e+00, 1.7156e+01
5.4855e+00, 1.8826e+01
5.5229e+00, 2.0766e+01
5.5602e+00, 2.3038e+01
5.5976e+00, 2.5722e+01
5.6349e+00, 2.8927e+01
5.6722e+00, 3.2795e+01
5.7096e+00, 3.7522e+01
5.7469e+00, 4.3380e+01
5.7843e+00, 5.0771e+01
5.8030e+00, 5.5224e+01
5.8216e+00, 6.0314e+01
5.8403e+00, 6.6175e+01
5.8590e+00, 7.2970e+01
5.8777e+00, 8.0912e+01
5.8963e+00, 9.0279e+01
5.9103e+00, 9.8457e+01
5.9243e+00, 1.0784e+02
5.9383e+00, 1.1869e+02
5.9523e+00, 1.3134e+02
5.9687e+00, 1.4895e+02
5.9850e+00, 1.7056e+02
6.0014e+00, 1.9752e+02
6.0095e+00, 2.1360e+02
6.0177e+00, 2.3182e+02
6.0259e+00, 2.5259e+02
6.0340e+00, 2.7637e+02
6.0422e+00, 3.0375e+02
6.0504e+00, 3.3540e+02
6.0586e+00, 3.7216e+02
6.0667e+00, 4.1496e+02
6.0749e+00, 4.6490e+02
6.0831e+00, 5.2318e+02
6.0912e+00, 5.9112e+02
6.0994e+00, 6.7007e+02
6.1076e+00, 7.6134e+02
6.1157e+00, 8.6609e+02
6.1239e+00, 9.8525e+02
6.1321e+00, 1.1192e+03
6.1402e+00, 1.2679e+03
6.1484e+00, 1.4303e+03
6.1615e+00, 1.7136e+03
6.1746e+00, 2.0136e+03
6.1876e+00, 2.3104e+03
6.2007e+00, 2.5793e+03
6.2105e+00, 2.7470e+03
6.2204e+00, 2.8739e+03
6.2302e+00, 2.9519e+03
6.2400e+00, 2.9757e+03
6.2456e+00, 2.9642e+03
6.2551e+00, 2.9046e+03
6.2645e+00, 2.7979e+03
6.2740e+00, 2.6508e+03
6.2834e+00, 2.4718e+03
6.3023e+00, 2.0565e+03
6.3212e+00, 1.6272e+03
6.3312e+00, 1.4152e+03
6.3411e+00, 1.2208e+03
6.3511e+00, 1.0471e+03
6.3611e+00, 8.9521e+02
6.3711e+00, 7.6467e+02
6.3810e+00, 6.5406e+02
6.3910e+00, 5.6132e+02
6.4010e+00, 4.8410e+02
6.4110e+00, 4.2002e+02
6.4210e+00, 3.6689e+02
6.4309e+00, 3.2275e+02
6.4409e+00, 2.8591e+02
6.4509e+00, 2.5498e+02
6.4609e+00, 2.2885e+02
6.4708e+00, 2.0660e+02
6.4808e+00, 1.8752e+02
6.4908e+00, 1.7102e+02
6.5008e+00, 1.5667e+02
6.5107e+00, 1.4409e+02
6.5207e+00, 1.3301e+02
6.5407e+00, 1.1444e+02
6.5606e+00, 9.9582e+01
6.5779e+00, 8.9001e+01
6.5951e+00, 8.0049e+01
6.6123e+00, 7.2402e+01
6.6296e+00, 6.5813e+01
6.6468e+00, 6.0092e+01
6.6640e+00, 5.5090e+01
6.6813e+00, 5.0688e+01
6.6985e+00, 4.6795e+01
6.7330e+00, 4.0245e+01
6.7674e+00, 3.4983e+01
6.8019e+00, 3.0693e+01
6.8364e+00, 2.7150e+01
6.8672e+00, 2.4478e+01
6.8980e+00, 2.2184e+01
6.9289e+00, 2.0202e+01
6.9597e+00, 1.8479e+01
6.9906e+00, 1.6971e+01
7.0214e+00, 1.5642e+01
7.0831e+00, 1.3410e+01
7.1447e+00, 1.1624e+01
7.2064e+00, 1.0175e+01
7.2681e+00, 8.9859e+00
7.3298e+00, 7.9975e+00
7.3878e+00, 7.2126e+00
7.4459e+00, 6.5413e+00
7.5039e+00, 5.9628e+00
7.5620e+00, 5.4611e+00
7.6200e+00, 5.0242e+00
7.6781e+00, 4.6433e+00
7.7942e+00, 4.0073e+00
7.9103e+00, 3.4993e+00
8.0264e+00, 3.0913e+00
8.1425e+00, 2.7595e+00
8.2585e+00, 2.4866e+00
8.3674e+00, 2.2731e+00
8.4762e+00, 2.0926e+00
8.5851e+00, 1.9391e+00
8.6939e+00, 1.8080e+00
8.8028e+00, 1.6961e+00
8.9116e+00, 1.6024e+00
9.1293e+00, 1.4464e+00
9.3470e+00, 1.3308e+00
9.5646e+00, 1.2463e+00
9.7823e+00, 1.1867e+00
1.0000e+01, 1.1479e+00
1.0334e+01, 1.1215e+00
1.0647e+01, 1.1289e+00
1.0960e+01, 1.1666e+00
1.1273e+01, 1.2364e+00
1.1586e+01, 1.3429e+00
1.1742e+01, 1.4094e+00
1.1899e+01, 1.4913e+00
1.2055e+01, 1.5882e+00
1.2212e+01, 1.7027e+00
1.2368e+01, 1.8381e+00
1.2525e+01, 1.9987e+00
1.2681e+01, 2.1902e+00
1.2838e+01, 2.4202e+00
1.2994e+01, 2.6988e+00
1.3151e+01, 3.0398e+00
1.3307e+01, 3.4625e+00
1.3464e+01, 3.9910e+00
1.3542e+01, 4.3039e+00
1.3620e+01, 4.6621e+00
1.3698e+01, 5.0738e+00
1.3777e+01, 5.5478e+00
1.3855e+01, 6.0970e+00
1.3933e+01, 6.7378e+00
1.4011e+01, 7.4921e+00
1.4090e+01, 8.3882e+00
1.4147e+01, 9.1571e+00
1.4204e+01, 1.0042e+01
1.4262e+01, 1.1067e+01
1.4319e+01, 1.2262e+01
1.4377e+01, 1.3666e+01
1.4434e+01, 1.5330e+01
1.4491e+01, 1.7333e+01
1.4549e+01, 1.9778e+01
1.4598e+01, 2.2351e+01
1.4648e+01, 2.5479e+01
1.4697e+01, 2.9337e+01
1.4747e+01, 3.4171e+01
1.4772e+01, 3.7062e+01
1.4796e+01, 4.0348e+01
1.4821e+01, 4.4104e+01
1.4846e+01, 4.8428e+01
1.4871e+01, 5.3449e+01
1.4896e+01, 5.9332e+01
1.4920e+01, 6.6296e+01
1.4945e+01, 7.4636e+01
1.4970e+01, 8.4772e+01
1.4995e+01, 9.7295e+01
1.5007e+01, 1.0471e+02
1.5019e+01, 1.1308e+02
1.5032e+01, 1.2260e+02
1.5044e+01, 1.3347e+02
1.5057e+01, 1.4602e+02
1.5069e+01, 1.6058e+02
1.5081e+01, 1.7762e+02
1.5094e+01, 1.9769e+02
1.5106e+01, 2.2151e+02
1.5119e+01, 2.4991e+02
1.5131e+01, 2.8392e+02
1.5143e+01, 3.2470e+02
1.5150e+01, 3.5200e+02
1.5158e+01, 3.8228e+02
1.5165e+01, 4.1588e+02
1.5172e+01, 4.5311e+02
1.5179e+01, 4.9436e+02
1.5186e+01, 5.3980e+02
1.5194e+01, 5.8980e+02
1.5201e+01, 6.4463e+02
1.5215e+01, 7.6982e+02
1.5229e+01, 9.1650e+02
1.5244e+01, 1.0849e+03
1.5258e+01, 1.2737e+03
1.5274e+01, 1.4988e+03
1.5289e+01, 1.7368e+03
1.5321e+01, 2.2077e+03
1.5338e+01, 2.4340e+03
1.5355e+01, 2.6115e+03
1.5373e+01, 2.7241e+03
1.5390e+01, 2.7609e+03
1.5396e+01, 2.7550e+03
1.5407e+01, 2.7203e+03
1.5418e+01, 2.6559e+03
1.5440e+01, 2.4490e+03
1.5461e+01, 2.1639e+03
1.5483e+01, 1.8380e+03
1.5508e+01, 1.4662e+03
1.5532e+01, 1.1278e+03
1.5544e+01, 9.7888e+02
1.5557e+01, 8.4545e+02
1.5569e+01, 7.2781e+02
1.5581e+01, 6.2553e+02
1.5592e+01, 5.4507e+02
1.5603e+01, 4.7557e+02
1.5614e+01, 4.1593e+02
1.5626e+01, 3.6506e+02
1.5637e+01, 3.2173e+02
1.5648e+01, 2.8491e+02
1.5659e+01, 2.5364e+02
1.5670e+01, 2.2706e+02
1.5681e+01, 2.0436e+02
1.5692e+01, 1.8493e+02
1.5704e+01, 1.6821e+02
1.5715e+01, 1.5376e+02
1.5726e+01, 1.4118e+02
1.5737e+01, 1.3018e+02
1.5759e+01, 1.1192e+02
1.5779e+01, 9.8754e+01
1.5799e+01, 8.7903e+01
1.5819e+01, 7.8830e+01
1.5839e+01, 7.1155e+01
1.5859e+01, 6.4586e+01
1.5880e+01, 5.8917e+01
1.5900e+01, 5.3981e+01
1.5920e+01, 4.9655e+01
1.5960e+01, 4.2452e+01
1.6000e+01, 3.6729e+01
1.6040e+01, 3.2102e+01
1.6080e+01, 2.8306e+01
1.6116e+01, 2.5474e+01
1.6151e+01, 2.3051e+01
1.6187e+01, 2.0962e+01
1.6223e+01, 1.9148e+01
1.6258e+01, 1.7562e+01
1.6294e+01, 1.6168e+01
1.6365e+01, 1.3839e+01
1.6436e+01, 1.1976e+01
1.6508e+01, 1.0465e+01
1.6579e+01, 9.2222e+00
1.6650e+01, 8.1892e+00
1.6717e+01, 7.3712e+00
1.6784e+01, 6.6704e+00
1.6851e+01, 6.0654e+00
1.6917e+01, 5.5396e+00
1.6984e+01, 5.0798e+00
1.7051e+01, 4.6760e+00
1.7185e+01, 4.0051e+00
1.7318e+01, 3.4685e+00
1.7452e+01, 3.0318e+00
1.7586e+01, 2.6736e+00
1.7719e+01, 2.3763e+00
1.7844e+01, 2.1423e+00
1.7969e+01, 1.9420e+00
1.8093e+01, 1.7694e+00
1.8218e+01, 1.6195e+00
1.8343e+01, 1.4886e+00
1.8468e+01, 1.3736e+00
1.8717e+01, 1.1823e+00
1.8967e+01, 1.0327e+00
1.9216e+01, 9.1007e-01
1.9465e+01, 8.1001e-01
1.9715e+01, 7.2769e-01
2.0000e+01, 6.5052e-01
2.0411e+01, 5.6350e-01
2.0821e+01, 4.9740e-01
2.1232e+01, 4.4699e-01
2.1642e+01, 4.0878e-01
2.2053e+01, 3.8012e-01
2.2463e+01, 3.5959e-01
2.2874e+01, 3.4612e-01
2.3285e+01, 3.3915e-01
2.3583e+01, 3.3818e-01
2.3956e+01, 3.4200e-01
2.4330e+01, 3.5193e-01
2.4703e+01, 3.6895e-01
2.5076e+01, 3.9475e-01
2.5450e+01, 4.3195e-01
2.5636e+01, 4.5592e-01
2.5823e+01, 4.8456e-01
2.6009e+01, 5.1842e-01
2.6196e+01, 5.5865e-01
2.6383e+01, 6.0614e-01
2.6569e+01, 6.6434e-01
2.6747e+01, 7.3142e-01
2.6924e+01, 8.1301e-01
2.7101e+01, 9.1337e-01
2.7278e+01, 1.0384e+00
2.7456e+01, 1.1968e+00
2.7544e+01, 1.2921e+00
2.7633e+01, 1.4006e+00
2.7722e+01, 1.5246e+00
2.7810e+01, 1.6675e+00
2.7899e+01, 1.8342e+00
2.7988e+01, 2.0303e+00
2.8086e+01, 2.2897e+00
2.8184e+01, 2.6062e+00
2.8282e+01, 2.9981e+00
2.8380e+01, 3.4915e+00
2.8429e+01, 3.7877e+00
2.8478e+01, 4.1251e+00
2.8527e+01, 4.5116e+00
2.8576e+01, 4.9572e+00
2.8625e+01, 5.4747e+00
2.8674e+01, 6.0806e+00
2.8722e+01, 6.7974e+00
2.8771e+01, 7.6553e+00
2.8820e+01, 8.6957e+00
2.8869e+01, 9.9764e+00
2.8918e+01, 1.1581e+01
2.8943e+01, 1.2541e+01
2.8967e+01, 1.3633e+01
