ebin, xs
1.0000e-05, 1.3666e+03
1.0625e-05, 1.3258e+03
1.1250e-05, 1.2884e+03
1.1875e-05, 1.2541e+03
1.2500e-05, 1.2223e+03
1.3750e-05, 1.1654e+03
1.5000e-05, 1.1158e+03
1.6250e-05, 1.0720e+03
1.7500e-05, 1.0330e+03
1.8750e-05, 9.9801e+02
2.0000e-05, 9.6632e+02
2.1875e-05, 9.2398e+02
2.3750e-05, 8.8675e+02
2.5625e-05, 8.5370e+02
2.7500e-05, 8.2408e+02
2.9375e-05, 7.9735e+02
3.1250e-05, 7.7305e+02
3.3125e-05, 7.5086e+02
3.5000e-05, 7.3047e+02
3.8750e-05, 6.9422e+02
4.2500e-05, 6.6289e+02
4.6250e-05, 6.3545e+02
5.0000e-05, 6.1115e+02
5.3125e-05, 5.9291e+02
5.6250e-05, 5.7620e+02
5.9375e-05, 5.6083e+02
6.2500e-05, 5.4663e+02
6.8750e-05, 5.2119e+02
7.5000e-05, 4.9900e+02
8.1250e-05, 4.7943e+02
8.7500e-05, 4.6199e+02
9.3750e-05, 4.4632e+02
1.0000e-04, 4.3215e+02
1.0625e-04, 4.1925e+02
1.1250e-04, 4.0744e+02
1.1875e-04, 3.9657e+02
1.2500e-04, 3.8653e+02
1.3750e-04, 3.6854e+02
1.5000e-04, 3.5285e+02
1.6250e-04, 3.3901e+02
1.7500e-04, 3.2668e+02
1.8750e-04, 3.1560e+02
2.0000e-04, 3.0558e+02
2.1875e-04, 2.9219e+02
2.3750e-04, 2.8042e+02
2.5625e-04, 2.6996e+02
2.7500e-04, 2.6060e+02
2.9375e-04, 2.5214e+02
3.1250e-04, 2.4446e+02
3.3125e-04, 2.3744e+02
3.5000e-04, 2.3099e+02
3.8750e-04, 2.1953e+02
4.2500e-04, 2.0962e+02
4.6250e-04, 2.0095e+02
5.0000e-04, 1.9326e+02
5.3125e-04, 1.8749e+02
5.6250e-04, 1.8221e+02
5.9375e-04, 1.7735e+02
6.2500e-04, 1.7286e+02
6.8750e-04, 1.6482e+02
7.5000e-04, 1.5780e+02
8.1250e-04, 1.5161e+02
8.7500e-04, 1.4609e+02
9.3750e-04, 1.4114e+02
1.0000e-03, 1.3666e+02
1.0625e-03, 1.3258e+02
1.1250e-03, 1.2884e+02
1.1875e-03, 1.2541e+02
1.2500e-03, 1.2223e+02
1.3750e-03, 1.1654e+02
1.5000e-03, 1.1158e+02
1.6250e-03, 1.0720e+02
1.7500e-03, 1.0330e+02
1.8750e-03, 9.9801e+01
2.0000e-03, 9.6632e+01
2.1875e-03, 9.2398e+01
2.3750e-03, 8.8676e+01
2.5625e-03, 8.5370e+01
2.7500e-03, 8.2408e+01
2.9375e-03, 7.9735e+01
3.1250e-03, 7.7306e+01
3.3125e-03, 7.5086e+01
3.5000e-03, 7.3047e+01
3.8750e-03, 6.9422e+01
4.2500e-03, 6.6289e+01
4.6250e-03, 6.3544e+01
5.0000e-03, 6.1115e+01
5.3125e-03, 5.9290e+01
5.6250e-03, 5.7619e+01
5.9375e-03, 5.6082e+01
6.2500e-03, 5.4662e+01
6.8750e-03, 5.2118e+01
7.5000e-03, 4.9899e+01
8.1250e-03, 4.7941e+01
8.7500e-03, 4.6197e+01
9.3750e-03, 4.4630e+01
1.0000e-02, 4.3213e+01
1.0625e-02, 4.1922e+01
1.1250e-02, 4.0741e+01
1.1875e-02, 3.9655e+01
1.2500e-02, 3.8651e+01
1.3750e-02, 3.6852e+01
1.5000e-02, 3.5282e+01
1.6250e-02, 3.3898e+01
1.7500e-02, 3.2664e+01
1.8750e-02, 3.1556e+01
2.0000e-02, 3.0554e+01
2.1325e-02, 2.9589e+01
2.2650e-02, 2.8711e+01
2.3975e-02, 2.7906e+01
2.5300e-02, 2.7166e+01
2.6844e-02, 2.6374e+01
2.8387e-02, 2.5648e+01
3.1475e-02, 2.4358e+01
3.4563e-02, 2.3244e+01
3.7650e-02, 2.2270e+01
4.0738e-02, 2.1408e+01
4.3825e-02, 2.0639e+01
4.6913e-02, 1.9948e+01
5.0000e-02, 1.9321e+01
5.3125e-02, 1.8744e+01
5.6250e-02, 1.8216e+01
5.9375e-02, 1.7731e+01
6.2500e-02, 1.7282e+01
6.8750e-02, 1.6479e+01
7.5000e-02, 1.5777e+01
8.1250e-02, 1.5157e+01
8.7500e-02, 1.4604e+01
9.3750e-02, 1.4108e+01
1.0000e-01, 1.3660e+01
1.0625e-01, 1.3251e+01
1.1250e-01, 1.2878e+01
1.1875e-01, 1.2535e+01
1.2500e-01, 1.2218e+01
1.3750e-01, 1.1650e+01
1.5000e-01, 1.1153e+01
1.6250e-01, 1.0715e+01
1.7500e-01, 1.0324e+01
1.8750e-01, 9.9734e+00
2.0000e-01, 9.6568e+00
2.1875e-01, 9.2335e+00
2.3750e-01, 8.8606e+00
2.5625e-01, 8.5293e+00
2.7500e-01, 8.2325e+00
2.9375e-01, 7.9646e+00
3.1250e-01, 7.7213e+00
3.3125e-01, 7.4994e+00
3.5000e-01, 7.2964e+00
3.8750e-01, 6.9345e+00
4.2500e-01, 6.6201e+00
5.0000e-01, 6.1027e+00
6.2500e-01, 5.4561e+00
7.5000e-01, 4.9776e+00
8.7500e-01, 4.6074e+00
1.0000e+00, 4.3088e+00
1.2500e+00, 3.8496e+00
1.5000e+00, 3.5106e+00
1.7500e+00, 3.2479e+00
2.0000e+00, 3.0357e+00
2.3750e+00, 2.7821e+00
2.7500e+00, 2.5825e+00
3.1250e+00, 2.4192e+00
3.5000e+00, 2.2828e+00
4.2500e+00, 2.0660e+00
5.0000e+00, 1.9000e+00
6.2500e+00, 1.6922e+00
7.5000e+00, 1.5381e+00
8.7500e+00, 1.4181e+00
1.0000e+01, 1.3211e+00
1.2500e+01, 1.1716e+00
1.5000e+01, 1.0606e+00
1.7500e+01, 9.7385e-01
2.0000e+01, 9.0348e-01
2.3750e+01, 8.1893e-01
2.7500e+01, 7.5184e-01
3.1250e+01, 6.9675e-01
3.5000e+01, 6.5046e-01
