ebin, xs
1.0000e-05, 3.0692e+01
1.0625e-05, 2.9776e+01
1.1250e-05, 2.8937e+01
1.1875e-05, 2.8165e+01
1.2500e-05, 2.7452e+01
1.3750e-05, 2.6174e+01
1.5000e-05, 2.5060e+01
1.6250e-05, 2.4077e+01
1.7500e-05, 2.3201e+01
1.8750e-05, 2.2415e+01
2.0000e-05, 2.1703e+01
2.1875e-05, 2.0752e+01
2.3750e-05, 1.9916e+01
2.5625e-05, 1.9173e+01
2.7500e-05, 1.8508e+01
2.9375e-05, 1.7908e+01
3.1250e-05, 1.7362e+01
3.3125e-05, 1.6864e+01
3.5000e-05, 1.6406e+01
3.8750e-05, 1.5592e+01
4.2500e-05, 1.4888e+01
4.6250e-05, 1.4272e+01
5.0000e-05, 1.3726e+01
5.3125e-05, 1.3316e+01
5.6250e-05, 1.2941e+01
5.9375e-05, 1.2596e+01
6.2500e-05, 1.2277e+01
6.8750e-05, 1.1706e+01
7.5000e-05, 1.1207e+01
8.1250e-05, 1.0768e+01
8.7500e-05, 1.0376e+01
9.3750e-05, 1.0024e+01
1.0000e-04, 9.7058e+00
1.0625e-04, 9.4160e+00
1.1250e-04, 9.1507e+00
1.1875e-04, 8.9066e+00
1.2500e-04, 8.6811e+00
1.3750e-04, 8.2771e+00
1.5000e-04, 7.9247e+00
1.6250e-04, 7.6138e+00
1.7500e-04, 7.3369e+00
1.8750e-04, 7.0881e+00
2.0000e-04, 6.8630e+00
2.1875e-04, 6.5623e+00
2.3750e-04, 6.2979e+00
2.5625e-04, 6.0631e+00
2.7500e-04, 5.8528e+00
2.9375e-04, 5.6629e+00
3.1250e-04, 5.4904e+00
3.3125e-04, 5.3327e+00
3.5000e-04, 5.1879e+00
3.8750e-04, 4.9305e+00
4.2500e-04, 4.7080e+00
4.6250e-04, 4.5131e+00
5.0000e-04, 4.3405e+00
5.3125e-04, 4.2109e+00
5.6250e-04, 4.0923e+00
5.9375e-04, 3.9832e+00
6.2500e-04, 3.8823e+00
6.8750e-04, 3.7016e+00
7.5000e-04, 3.5440e+00
8.1250e-04, 3.4050e+00
8.7500e-04, 3.2811e+00
9.3750e-04, 3.1699e+00
1.0000e-03, 3.0692e+00
1.0625e-03, 2.9776e+00
1.1250e-03, 2.8937e+00
1.1875e-03, 2.8165e+00
1.2500e-03, 2.7452e+00
1.3750e-03, 2.6175e+00
1.5000e-03, 2.5060e+00
1.6250e-03, 2.4077e+00
1.7500e-03, 2.3201e+00
1.8750e-03, 2.2415e+00
2.0000e-03, 2.1703e+00
2.1875e-03, 2.0752e+00
2.3750e-03, 1.9916e+00
2.5625e-03, 1.9174e+00
2.7500e-03, 1.8508e+00
2.9375e-03, 1.7908e+00
3.1250e-03, 1.7362e+00
3.3125e-03, 1.6864e+00
3.5000e-03, 1.6406e+00
3.8750e-03, 1.5592e+00
4.2500e-03, 1.4888e+00
4.6250e-03, 1.4272e+00
5.0000e-03, 1.3726e+00
5.3125e-03, 1.3316e+00
5.6250e-03, 1.2941e+00
5.9375e-03, 1.2596e+00
6.2500e-03, 1.2277e+00
6.8750e-03, 1.1706e+00
7.5000e-03, 1.1207e+00
8.1250e-03, 1.0767e+00
8.7500e-03, 1.0376e+00
9.3750e-03, 1.0024e+00
1.0000e-02, 9.7054e-01
1.0625e-02, 9.4157e-01
1.1250e-02, 9.1505e-01
1.1875e-02, 8.9065e-01
1.2500e-02, 8.6810e-01
1.3750e-02, 8.2771e-01
1.5000e-02, 7.9247e-01
1.6250e-02, 7.6137e-01
1.7500e-02, 7.3366e-01
1.8750e-02, 7.0877e-01
2.0000e-02, 6.8625e-01
2.1325e-02, 6.6458e-01
2.2650e-02, 6.4485e-01
2.3975e-02, 6.2679e-01
2.5300e-02, 6.1017e-01
2.6844e-02, 5.9240e-01
2.8387e-02, 5.7609e-01
3.1475e-02, 5.4714e-01
3.4563e-02, 5.2213e-01
3.7650e-02, 5.0024e-01
4.0738e-02, 4.8088e-01
4.3825e-02, 4.6361e-01
4.6913e-02, 4.4808e-01
5.0000e-02, 4.3401e-01
5.3125e-02, 4.2105e-01
5.6250e-02, 4.0920e-01
5.9375e-02, 3.9830e-01
6.2500e-02, 3.8824e-01
6.8750e-02, 3.7020e-01
7.5000e-02, 3.5444e-01
8.1250e-02, 3.4051e-01
8.7500e-02, 3.2811e-01
9.3750e-02, 3.1697e-01
1.0000e-01, 3.0690e-01
1.0625e-01, 2.9773e-01
1.1250e-01, 2.8934e-01
1.1875e-01, 2.8164e-01
1.2500e-01, 2.7453e-01
1.3750e-01, 2.6179e-01
1.5000e-01, 2.5063e-01
1.6250e-01, 2.4078e-01
1.7500e-01, 2.3202e-01
1.8750e-01, 2.2415e-01
2.0000e-01, 2.1705e-01
2.1875e-01, 2.0755e-01
2.3750e-01, 1.9918e-01
2.5625e-01, 1.9174e-01
2.7500e-01, 1.8508e-01
2.9375e-01, 1.7907e-01
3.1250e-01, 1.7361e-01
3.3125e-01, 1.6863e-01
3.5000e-01, 1.6408e-01
3.8750e-01, 1.5597e-01
4.2500e-01, 1.4892e-01
5.0000e-01, 1.3731e-01
6.2500e-01, 1.2282e-01
7.5000e-01, 1.1210e-01
8.7500e-01, 1.0381e-01
1.0000e+00, 9.7120e-02
1.2500e+00, 8.6854e-02
1.5000e+00, 7.9282e-02
1.7500e+00, 7.3413e-02
2.0000e+00, 6.8679e-02
2.3750e+00, 6.3029e-02
2.7500e+00, 5.8586e-02
3.1250e+00, 5.4959e-02
3.5000e+00, 5.1934e-02
4.2500e+00, 4.7135e-02
5.0000e+00, 4.3466e-02
6.2500e+00, 3.8891e-02
7.5000e+00, 3.5514e-02
8.7500e+00, 3.2893e-02
1.0000e+01, 3.0781e-02
1.2500e+01, 2.7550e-02
1.5000e+01, 2.5168e-02
1.7500e+01, 2.3319e-02
2.0000e+01, 2.1830e-02
2.3750e+01, 2.0056e-02
2.7500e+01, 1.8661e-02
3.1250e+01, 1.7526e-02
3.5000e+01, 1.6580e-02
4.2500e+01, 1.5082e-02
5.0000e+01, 1.3940e-02
6.2500e+01, 1.2521e-02
7.5000e+01, 1.1480e-02
8.7500e+01, 1.0677e-02
1.0000e+02, 1.0034e-02
1.2500e+02, 9.0624e-03
1.5000e+02, 8.3581e-03
1.7500e+02, 7.8225e-03
2.0000e+02, 7.4012e-03
2.3750e+02, 6.9166e-03
2.7500e+02, 6.5547e-03
3.1250e+02, 6.2789e-03
3.5000e+02, 6.0671e-03
4.2500e+02, 5.7835e-03
5.0000e+02, 5.6367e-03
5.6250e+02, 5.5951e-03
6.2500e+02, 5.6168e-03
6.8750e+02, 5.6979e-03
7.5000e+02, 5.8385e-03
8.1250e+02, 6.0420e-03
8.7500e+02, 6.3153e-03
9.3750e+02, 6.6692e-03
1.0000e+03, 7.1195e-03
1.0523e+03, 7.5921e-03
1.1046e+03, 8.1685e-03
1.1569e+03, 8.8741e-03
1.2092e+03, 9.7458e-03
1.2354e+03, 1.0223e-02
1.2615e+03, 1.0840e-02
1.2877e+03, 1.1458e-02
1.3139e+03, 1.2197e-02
1.3400e+03, 1.3072e-02
1.3662e+03, 1.4138e-02
1.3923e+03, 1.5471e-02
1.4054e+03, 1.6416e-02
1.4185e+03, 1.7651e-02
1.4281e+03, 1.9123e-02
1.4329e+03, 2.0116e-02
1.4377e+03, 2.1537e-02
1.4426e+03, 2.3661e-02
1.4450e+03, 2.5159e-02
1.4474e+03, 2.7080e-02
1.4498e+03, 2.9670e-02
1.4522e+03, 3.3418e-02
1.4534e+03, 3.5925e-02
1.4546e+03, 3.9041e-02
1.4558e+03, 4.2970e-02
1.4570e+03, 4.7965e-02
1.4584e+03, 5.5743e-02
1.4591e+03, 6.0847e-02
1.4598e+03, 6.7055e-02
1.4605e+03, 7.4704e-02
1.4611e+03, 8.4244e-02
1.4618e+03, 9.6420e-02
1.4625e+03, 1.1239e-01
1.4630e+03, 1.2698e-01
1.4635e+03, 1.4535e-01
1.4640e+03, 1.6897e-01
1.4645e+03, 2.0011e-01
1.4647e+03, 2.1971e-01
1.4650e+03, 2.4293e-01
1.4652e+03, 2.7090e-01
1.4655e+03, 3.0523e-01
1.4657e+03, 3.4909e-01
1.4659e+03, 4.0742e-01
1.4661e+03, 4.4467e-01
1.4662e+03, 4.8950e-01
1.4663e+03, 5.4429e-01
1.4664e+03, 6.1162e-01
1.4665e+03, 6.8069e-01
1.4666e+03, 7.6381e-01
1.4667e+03, 8.6644e-01
1.4668e+03, 9.9114e-01
1.4669e+03, 1.1461e+00
1.4670e+03, 1.3348e+00
1.4671e+03, 1.5666e+00
1.4672e+03, 1.8505e+00
1.4673e+03, 2.2008e+00
1.4674e+03, 2.6220e+00
1.4675e+03, 3.1302e+00
1.4676e+03, 3.7389e+00
1.4677e+03, 4.4701e+00
1.4678e+03, 5.3237e+00
1.4679e+03, 6.3199e+00
1.4680e+03, 7.4712e+00
1.4681e+03, 9.0001e+00
1.4683e+03, 1.0758e+01
1.4684e+03, 1.2748e+01
1.4685e+03, 1.4945e+01
1.4686e+03, 1.7370e+01
1.4687e+03, 1.9976e+01
1.4689e+03, 2.5532e+01
1.4692e+03, 3.1882e+01
1.4695e+03, 3.7435e+01
1.4696e+03, 3.9962e+01
1.4698e+03, 4.1746e+01
1.4700e+03, 4.2786e+01
1.4700e+03, 4.2835e+01
1.4702e+03, 4.2082e+01
1.4703e+03, 4.0937e+01
1.4704e+03, 3.9323e+01
1.4706e+03, 3.5557e+01
1.4708e+03, 3.0951e+01
1.4712e+03, 2.2387e+01
1.4714e+03, 1.8310e+01
1.4715e+03, 1.4614e+01
1.4717e+03, 1.1402e+01
1.4718e+03, 9.9930e+00
1.4719e+03, 8.7168e+00
1.4720e+03, 7.5707e+00
1.4720e+03, 6.5502e+00
1.4721e+03, 5.6485e+00
1.4722e+03, 4.8579e+00
1.4723e+03, 4.1698e+00
1.4724e+03, 3.5747e+00
1.4725e+03, 3.0635e+00
1.4726e+03, 2.6269e+00
1.4727e+03, 2.2559e+00
1.4727e+03, 1.9421e+00
1.4728e+03, 1.6779e+00
1.4729e+03, 1.4583e+00
1.4730e+03, 1.2433e+00
1.4731e+03, 1.0705e+00
1.4732e+03, 9.2891e-01
1.4733e+03, 8.1504e-01
1.4734e+03, 7.2133e-01
1.4735e+03, 6.4534e-01
1.4736e+03, 5.8208e-01
1.4737e+03, 5.3003e-01
1.4739e+03, 4.4892e-01
1.4741e+03, 3.8947e-01
1.4743e+03, 3.4404e-01
1.4745e+03, 3.0816e-01
1.4747e+03, 2.7868e-01
1.4749e+03, 2.5403e-01
1.4754e+03, 2.1496e-01
1.4758e+03, 1.8538e-01
1.4762e+03, 1.6232e-01
1.4765e+03, 1.4685e-01
1.4768e+03, 1.3387e-01
1.4775e+03, 1.1337e-01
1.4782e+03, 9.8012e-02
1.4788e+03, 8.6189e-02
1.4795e+03, 7.6842e-02
1.4802e+03, 6.9351e-02
1.4815e+03, 5.8233e-02
1.4828e+03, 5.0571e-02
1.4842e+03, 4.5077e-02
1.4855e+03, 4.0914e-02
1.4868e+03, 3.7722e-02
1.4890e+03, 3.3905e-02
1.4912e+03, 3.1283e-02
1.4934e+03, 2.9481e-02
1.4956e+03, 2.8103e-02
1.5000e+03, 2.6300e-02
1.5044e+03, 2.5285e-02
1.5133e+03, 2.4450e-02
1.5221e+03, 2.4328e-02
1.5406e+03, 2.5223e-02
1.5499e+03, 2.5908e-02
1.5592e+03, 2.6753e-02
1.5684e+03, 2.7716e-02
1.5731e+03, 2.8234e-02
1.5777e+03, 2.8782e-02
1.5823e+03, 2.9347e-02
1.5870e+03, 2.9943e-02
1.5916e+03, 3.0566e-02
1.5962e+03, 3.1215e-02
1.5994e+03, 3.1669e-02
1.6025e+03, 3.2137e-02
1.6056e+03, 3.2617e-02
1.6088e+03, 3.3110e-02
1.6119e+03, 3.3618e-02
1.6150e+03, 3.4139e-02
1.6166e+03, 3.4405e-02
1.6182e+03, 3.4675e-02
1.6189e+03, 3.4811e-02
1.6197e+03, 3.4948e-02
1.6205e+03, 3.5087e-02
1.6213e+03, 3.5226e-02
1.6223e+03, 3.5403e-02
1.6233e+03, 3.5581e-02
1.6242e+03, 3.5761e-02
1.6252e+03, 3.5943e-02
1.6272e+03, 3.6311e-02
1.6292e+03, 3.6686e-02
1.6311e+03, 3.7067e-02
1.6331e+03, 3.7455e-02
1.6351e+03, 3.7850e-02
1.6370e+03, 3.8252e-02
1.6403e+03, 3.8931e-02
1.6435e+03, 3.9630e-02
1.6468e+03, 4.0350e-02
1.6500e+03, 4.1093e-02
1.6533e+03, 4.1860e-02
1.6565e+03, 4.2649e-02
1.6598e+03, 4.3463e-02
1.6630e+03, 4.4303e-02
1.6658e+03, 4.5045e-02
1.6686e+03, 4.5807e-02
1.6714e+03, 4.6590e-02
1.6741e+03, 4.7395e-02
1.6797e+03, 4.9075e-02
1.6853e+03, 5.0852e-02
1.6908e+03, 5.2736e-02
1.6964e+03, 5.4733e-02
1.7020e+03, 5.6871e-02
1.7075e+03, 5.9116e-02
1.7126e+03, 6.1326e-02
1.7177e+03, 6.3658e-02
1.7228e+03, 6.6111e-02
1.7279e+03, 6.8747e-02
1.7330e+03, 7.1552e-02
1.7381e+03, 7.4506e-02
1.7432e+03, 7.7684e-02
1.7483e+03, 8.1096e-02
1.7534e+03, 8.4702e-02
1.7585e+03, 8.8577e-02
1.7636e+03, 9.2781e-02
1.7687e+03, 9.7248e-02
1.7738e+03, 1.0204e-01
1.7789e+03, 1.0730e-01
1.7840e+03, 1.1292e-01
1.7891e+03, 1.1897e-01
1.7984e+03, 1.3148e-01
1.8030e+03, 1.3843e-01
1.8077e+03, 1.4610e-01
1.8123e+03, 1.5425e-01
1.8169e+03, 1.6326e-01
1.8262e+03, 1.8366e-01
1.8308e+03, 1.9556e-01
1.8355e+03, 2.0844e-01
1.8401e+03, 2.2258e-01
1.8448e+03, 2.3861e-01
1.8494e+03, 2.5591e-01
1.8540e+03, 2.7556e-01
1.8587e+03, 2.9702e-01
1.8633e+03, 3.2153e-01
1.8684e+03, 3.5220e-01
1.8735e+03, 3.8738e-01
1.8786e+03, 4.2806e-01
1.8837e+03, 4.7547e-01
1.8888e+03, 5.3089e-01
1.8939e+03, 5.9649e-01
1.8990e+03, 6.7458e-01
1.9041e+03, 7.6824e-01
1.9092e+03, 8.8217e-01
1.9118e+03, 9.4802e-01
1.9143e+03, 1.0214e+00
1.9169e+03, 1.1031e+00
1.9194e+03, 1.1937e+00
1.9220e+03, 1.2952e+00
1.9245e+03, 1.4093e+00
1.9271e+03, 1.5367e+00
1.9296e+03, 1.6801e+00
1.9322e+03, 1.8423e+00
1.9347e+03, 2.0241e+00
1.9373e+03, 2.2286e+00
1.9398e+03, 2.4598e+00
1.9424e+03, 2.7177e+00
1.9449e+03, 3.0035e+00
1.9480e+03, 3.3970e+00
1.9512e+03, 3.8325e+00
1.9575e+03, 4.7674e+00
1.9606e+03, 5.2080e+00
1.9637e+03, 5.5727e+00
1.9669e+03, 5.8117e+00
1.9700e+03, 5.8867e+00
1.9731e+03, 5.7847e+00
1.9765e+03, 5.4990e+00
1.9799e+03, 5.0803e+00
1.9866e+03, 4.0857e+00
1.9899e+03, 3.5941e+00
1.9933e+03, 3.1480e+00
1.9966e+03, 2.7515e+00
2.0000e+03, 2.4099e+00
2.0030e+03, 2.1460e+00
2.0060e+03, 1.9135e+00
2.0090e+03, 1.7104e+00
2.0121e+03, 1.5360e+00
2.0151e+03, 1.3840e+00
2.0181e+03, 1.2503e+00
2.0211e+03, 1.1346e+00
2.0241e+03, 1.0333e+00
2.0271e+03, 9.4327e-01
2.0301e+03, 8.6426e-01
2.0362e+03, 7.3214e-01
2.0422e+03, 6.2707e-01
2.0482e+03, 5.4205e-01
2.0529e+03, 4.8743e-01
2.0575e+03, 4.4046e-01
2.0622e+03, 3.9979e-01
2.0668e+03, 3.6439e-01
2.0715e+03, 3.3386e-01
2.0761e+03, 3.0698e-01
2.0808e+03, 2.8244e-01
2.0855e+03, 2.6105e-01
2.0948e+03, 2.2456e-01
2.1041e+03, 1.9514e-01
2.1134e+03, 1.7110e-01
2.1227e+03, 1.5123e-01
2.1315e+03, 1.3551e-01
2.1402e+03, 1.2211e-01
2.1490e+03, 1.1059e-01
2.1578e+03, 1.0062e-01
2.1665e+03, 9.1936e-02
2.1753e+03, 8.4348e-02
2.1928e+03, 7.1729e-02
2.2104e+03, 6.1732e-02
2.2279e+03, 5.3700e-02
2.2454e+03, 4.7152e-02
2.2630e+03, 4.1748e-02
2.2794e+03, 3.7504e-02
2.2958e+03, 3.3895e-02
2.3123e+03, 3.0795e-02
2.3287e+03, 2.8113e-02
2.3451e+03, 2.5778e-02
2.3616e+03, 2.3734e-02
2.3780e+03, 2.1935e-02
2.3944e+03, 2.0392e-02
2.4273e+03, 1.7699e-02
2.4602e+03, 1.5547e-02
2.4930e+03, 1.3804e-02
2.5259e+03, 1.2378e-02
2.5588e+03, 1.1204e-02
2.5917e+03, 1.0224e-02
2.6245e+03, 9.3966e-03
2.6574e+03, 8.6953e-03
2.6903e+03, 8.0981e-03
2.7231e+03, 7.5878e-03
2.7560e+03, 7.1509e-03
2.7889e+03, 6.7908e-03
2.8546e+03, 6.1904e-03
2.9204e+03, 5.7577e-03
2.9861e+03, 5.4574e-03
3.0518e+03, 5.2677e-03
3.1219e+03, 5.1730e-03
3.1965e+03, 5.1848e-03
3.2710e+03, 5.3107e-03
3.3455e+03, 5.5595e-03
3.4200e+03, 5.9527e-03
3.4945e+03, 6.5275e-03
3.5317e+03, 6.8874e-03
3.5690e+03, 7.3171e-03
3.6062e+03, 7.8393e-03
3.6435e+03, 8.4633e-03
3.6807e+03, 9.2133e-03
3.7180e+03, 1.0124e-02
3.7492e+03, 1.1051e-02
3.7804e+03, 1.2164e-02
3.8117e+03, 1.3508e-02
3.8429e+03, 1.5150e-02
3.8585e+03, 1.6052e-02
3.8741e+03, 1.7185e-02
3.8897e+03, 1.8326e-02
3.9053e+03, 1.9662e-02
3.9210e+03, 2.1193e-02
3.9288e+03, 2.2010e-02
3.9366e+03, 2.2936e-02
3.9444e+03, 2.3871e-02
3.9522e+03, 2.4895e-02
3.9600e+03, 2.6004e-02
3.9678e+03, 2.7186e-02
3.9727e+03, 2.7985e-02
3.9777e+03, 2.8825e-02
3.9826e+03, 2.9706e-02
3.9851e+03, 3.0164e-02
3.9875e+03, 3.0633e-02
3.9900e+03, 3.1114e-02
3.9924e+03, 3.1609e-02
3.9949e+03, 3.2115e-02
3.9974e+03, 3.2636e-02
3.9998e+03, 3.3170e-02
4.0023e+03, 3.3717e-02
4.0048e+03, 3.4279e-02
4.0060e+03, 3.4566e-02
4.0072e+03, 3.4857e-02
4.0081e+03, 3.5054e-02
4.0089e+03, 3.5252e-02
4.0097e+03, 3.5452e-02
4.0105e+03, 3.5654e-02
4.0114e+03, 3.5875e-02
4.0123e+03, 3.6098e-02
4.0132e+03, 3.6324e-02
4.0141e+03, 3.6552e-02
4.0159e+03, 3.7014e-02
4.0176e+03, 3.7487e-02
4.0212e+03, 3.8461e-02
4.0248e+03, 3.9476e-02
4.0278e+03, 4.0369e-02
4.0308e+03, 4.1295e-02
4.0338e+03, 4.2256e-02
4.0368e+03, 4.3253e-02
4.0398e+03, 4.4289e-02
4.0428e+03, 4.5365e-02
4.0459e+03, 4.6483e-02
4.0489e+03, 4.7646e-02
4.0518e+03, 4.8804e-02
4.0546e+03, 5.0005e-02
4.0575e+03, 5.1253e-02
4.0604e+03, 5.2549e-02
4.0633e+03, 5.3898e-02
4.0661e+03, 5.5304e-02
4.0690e+03, 5.6767e-02
4.0719e+03, 5.8294e-02
4.0776e+03, 6.1547e-02
4.0834e+03, 6.5096e-02
4.0891e+03, 6.8976e-02
4.0949e+03, 7.3229e-02
4.1009e+03, 7.8144e-02
4.1069e+03, 8.3588e-02
4.1130e+03, 8.9645e-02
4.1190e+03, 9.6411e-02
4.1250e+03, 1.0399e-01
4.1310e+03, 1.1254e-01
4.1371e+03, 1.2220e-01
4.1431e+03, 1.3320e-01
4.1491e+03, 1.4578e-01
4.1552e+03, 1.6025e-01
4.1612e+03, 1.7701e-01
4.1672e+03, 1.9657e-01
4.1732e+03, 2.1953e-01
4.1793e+03, 2.4677e-01
4.1823e+03, 2.6229e-01
4.1853e+03, 2.7934e-01
4.1883e+03, 2.9805e-01
4.1913e+03, 3.1865e-01
4.1965e+03, 3.5954e-01
4.2017e+03, 4.0854e-01
4.2043e+03, 4.3667e-01
4.2069e+03, 4.6777e-01
4.2095e+03, 5.0204e-01
4.2121e+03, 5.4004e-01
4.2147e+03, 5.8227e-01
4.2173e+03, 6.2913e-01
4.2199e+03, 6.8158e-01
4.2225e+03, 7.4001e-01
4.2251e+03, 8.0529e-01
4.2277e+03, 8.7773e-01
4.2303e+03, 9.5990e-01
4.2329e+03, 1.0525e+00
4.2372e+03, 1.2278e+00
4.2414e+03, 1.4385e+00
4.2456e+03, 1.6892e+00
4.2498e+03, 1.9774e+00
4.2583e+03, 2.6105e+00
4.2625e+03, 2.8862e+00
4.2646e+03, 2.9911e+00
4.2667e+03, 3.0653e+00
4.2700e+03, 3.1081e+00
4.2733e+03, 3.0585e+00
4.2757e+03, 2.9647e+00
4.2782e+03, 2.8314e+00
4.2831e+03, 2.4901e+00
4.2880e+03, 2.1170e+00
4.2929e+03, 1.7659e+00
4.2978e+03, 1.4650e+00
4.3027e+03, 1.2172e+00
4.3076e+03, 1.0173e+00
4.3126e+03, 8.5701e-01
4.3156e+03, 7.7292e-01
4.3187e+03, 6.9957e-01
4.3218e+03, 6.3540e-01
4.3249e+03, 5.7910e-01
4.3280e+03, 5.2952e-01
4.3311e+03, 4.8575e-01
4.3342e+03, 4.4707e-01
4.3373e+03, 4.1337e-01
4.3434e+03, 3.5485e-01
4.3496e+03, 3.0766e-01
4.3558e+03, 2.6921e-01
4.3619e+03, 2.3753e-01
4.3669e+03, 2.1614e-01
4.3718e+03, 1.9752e-01
4.3768e+03, 1.8115e-01
4.3817e+03, 1.6680e-01
4.3916e+03, 1.4304e-01
4.4014e+03, 1.2413e-01
4.4113e+03, 1.0902e-01
4.4212e+03, 9.6666e-02
4.4311e+03, 8.6733e-02
4.4409e+03, 7.8192e-02
4.4574e+03, 6.7156e-02
4.4656e+03, 6.2641e-02
4.4739e+03, 5.8814e-02
4.4903e+03, 5.2409e-02
4.5068e+03, 4.7542e-02
4.5233e+03, 4.3972e-02
4.5397e+03, 4.1424e-02
4.5562e+03, 3.9778e-02
4.5726e+03, 3.9060e-02
4.5837e+03, 3.9187e-02
4.5949e+03, 3.9889e-02
4.6060e+03, 4.1286e-02
4.6171e+03, 4.3425e-02
4.6282e+03, 4.6983e-02
4.6337e+03, 4.9430e-02
4.6393e+03, 5.2478e-02
4.6449e+03, 5.6316e-02
4.6504e+03, 6.1207e-02
4.6560e+03, 6.7517e-02
4.6615e+03, 7.5538e-02
4.6652e+03, 8.2470e-02
4.6689e+03, 9.0994e-02
4.6726e+03, 1.0163e-01
4.6763e+03, 1.1511e-01
4.6800e+03, 1.3256e-01
4.6819e+03, 1.4325e-01
4.6837e+03, 1.5551e-01
4.6856e+03, 1.6975e-01
4.6874e+03, 1.8659e-01
4.6893e+03, 2.0665e-01
4.6911e+03, 2.3064e-01
4.6920e+03, 2.4286e-01
4.6928e+03, 2.5622e-01
4.6936e+03, 2.7088e-01
4.6944e+03, 2.8698e-01
