ebin, xs
1.0000e-05, 5.3879e+00
1.0625e-05, 5.2271e+00
1.1250e-05, 5.0798e+00
1.1875e-05, 4.9443e+00
1.2500e-05, 4.8191e+00
1.3750e-05, 4.5948e+00
1.5000e-05, 4.3992e+00
1.6250e-05, 4.2266e+00
1.7500e-05, 4.0729e+00
1.8750e-05, 3.9348e+00
2.0000e-05, 3.8098e+00
2.1875e-05, 3.6429e+00
2.3750e-05, 3.4962e+00
2.5625e-05, 3.3658e+00
2.7500e-05, 3.2490e+00
2.9375e-05, 3.1436e+00
3.1250e-05, 3.0479e+00
3.3125e-05, 2.9604e+00
3.5000e-05, 2.8800e+00
3.8750e-05, 2.7371e+00
4.2500e-05, 2.6135e+00
4.6250e-05, 2.5053e+00
5.0000e-05, 2.4096e+00
5.3125e-05, 2.3376e+00
5.6250e-05, 2.2718e+00
5.9375e-05, 2.2112e+00
6.2500e-05, 2.1552e+00
6.8750e-05, 2.0549e+00
7.5000e-05, 1.9674e+00
8.1250e-05, 1.8902e+00
8.7500e-05, 1.8215e+00
9.3750e-05, 1.7597e+00
1.0000e-04, 1.7038e+00
1.0625e-04, 1.6529e+00
1.1250e-04, 1.6064e+00
1.1875e-04, 1.5635e+00
1.2500e-04, 1.5239e+00
1.3750e-04, 1.4530e+00
1.5000e-04, 1.3912e+00
1.6250e-04, 1.3366e+00
1.7500e-04, 1.2880e+00
1.8750e-04, 1.2443e+00
2.0000e-04, 1.2048e+00
2.1875e-04, 1.1520e+00
2.3750e-04, 1.1056e+00
2.5625e-04, 1.0644e+00
2.7500e-04, 1.0274e+00
2.9375e-04, 9.9411e-01
3.1250e-04, 9.6382e-01
3.3125e-04, 9.3615e-01
3.5000e-04, 9.1073e-01
3.8750e-04, 8.6554e-01
4.2500e-04, 8.2647e-01
4.6250e-04, 7.9226e-01
5.0000e-04, 7.6197e-01
5.3125e-04, 7.3922e-01
5.6250e-04, 7.1839e-01
5.9375e-04, 6.9923e-01
6.2500e-04, 6.8153e-01
6.8750e-04, 6.4981e-01
7.5000e-04, 6.2215e-01
8.1250e-04, 5.9774e-01
8.7500e-04, 5.7600e-01
9.3750e-04, 5.5647e-01
1.0000e-03, 5.3880e-01
1.0625e-03, 5.2271e-01
1.1250e-03, 5.0798e-01
1.1875e-03, 4.9443e-01
1.2500e-03, 4.8191e-01
1.3750e-03, 4.5949e-01
1.5000e-03, 4.3993e-01
1.6250e-03, 4.2267e-01
1.7500e-03, 4.0729e-01
1.8750e-03, 3.9348e-01
2.0000e-03, 3.8099e-01
2.1875e-03, 3.6429e-01
2.3750e-03, 3.4962e-01
2.5625e-03, 3.3658e-01
2.7500e-03, 3.2491e-01
2.9375e-03, 3.1437e-01
3.1250e-03, 3.0479e-01
3.3125e-03, 2.9604e-01
3.5000e-03, 2.8800e-01
3.8750e-03, 2.7371e-01
4.2500e-03, 2.6135e-01
4.6250e-03, 2.5053e-01
5.0000e-03, 2.4096e-01
5.3125e-03, 2.3376e-01
5.6250e-03, 2.2717e-01
5.9375e-03, 2.2112e-01
6.2500e-03, 2.1552e-01
6.8750e-03, 2.0549e-01
7.5000e-03, 1.9674e-01
8.1250e-03, 1.8902e-01
8.7500e-03, 1.8214e-01
9.3750e-03, 1.7597e-01
1.0000e-02, 1.7038e-01
1.0625e-02, 1.6529e-01
1.1250e-02, 1.6063e-01
1.1875e-02, 1.5635e-01
1.2500e-02, 1.5239e-01
1.3750e-02, 1.4530e-01
1.5000e-02, 1.3911e-01
1.6250e-02, 1.3365e-01
1.7500e-02, 1.2879e-01
1.8750e-02, 1.2442e-01
2.0000e-02, 1.2047e-01
2.1325e-02, 1.1667e-01
