ebin, xs
1.0000e-05, 1.2100e+02
1.0625e-05, 1.1739e+02
1.1250e-05, 1.1408e+02
1.1875e-05, 1.1104e+02
1.2500e-05, 1.0823e+02
1.3750e-05, 1.0319e+02
1.5000e-05, 9.8797e+01
1.6250e-05, 9.4922e+01
1.7500e-05, 9.1469e+01
1.8750e-05, 8.8367e+01
2.0000e-05, 8.5561e+01
2.1875e-05, 8.1812e+01
2.3750e-05, 7.8516e+01
2.5625e-05, 7.5589e+01
2.7500e-05, 7.2967e+01
2.9375e-05, 7.0600e+01
3.1250e-05, 6.8449e+01
3.3125e-05, 6.6483e+01
3.5000e-05, 6.4678e+01
3.8750e-05, 6.1469e+01
4.2500e-05, 5.8694e+01
4.6250e-05, 5.6265e+01
5.0000e-05, 5.4114e+01
5.3125e-05, 5.2498e+01
5.6250e-05, 5.1019e+01
5.9375e-05, 4.9658e+01
6.2500e-05, 4.8401e+01
6.8750e-05, 4.6148e+01
7.5000e-05, 4.4183e+01
8.1250e-05, 4.2450e+01
8.7500e-05, 4.0906e+01
9.3750e-05, 3.9519e+01
1.0000e-04, 3.8264e+01
1.0625e-04, 3.7121e+01
1.1250e-04, 3.6076e+01
1.1875e-04, 3.5113e+01
1.2500e-04, 3.4224e+01
1.3750e-04, 3.2631e+01
1.5000e-04, 3.1242e+01
1.6250e-04, 3.0017e+01
1.7500e-04, 2.8925e+01
1.8750e-04, 2.7944e+01
2.0000e-04, 2.7056e+01
2.1875e-04, 2.5871e+01
2.3750e-04, 2.4829e+01
2.5625e-04, 2.3903e+01
2.7500e-04, 2.3074e+01
2.9375e-04, 2.2325e+01
3.1250e-04, 2.1645e+01
3.3125e-04, 2.1023e+01
3.5000e-04, 2.0452e+01
3.8750e-04, 1.9438e+01
4.2500e-04, 1.8560e+01
4.6250e-04, 1.7792e+01
5.0000e-04, 1.7112e+01
5.3125e-04, 1.6601e+01
5.6250e-04, 1.6133e+01
5.9375e-04, 1.5702e+01
6.2500e-04, 1.5305e+01
6.8750e-04, 1.4593e+01
7.5000e-04, 1.3971e+01
8.1250e-04, 1.3423e+01
8.7500e-04, 1.2935e+01
9.3750e-04, 1.2496e+01
1.0000e-03, 1.2099e+01
1.0625e-03, 1.1738e+01
1.1250e-03, 1.1407e+01
1.1875e-03, 1.1103e+01
1.2500e-03, 1.0822e+01
1.3750e-03, 1.0318e+01
1.5000e-03, 9.8786e+00
1.6250e-03, 9.4910e+00
1.7500e-03, 9.1456e+00
1.8750e-03, 8.8355e+00
2.0000e-03, 8.5548e+00
2.1875e-03, 8.1799e+00
2.3750e-03, 7.8502e+00
2.5625e-03, 7.5575e+00
2.7500e-03, 7.2952e+00
2.9375e-03, 7.0585e+00
3.1250e-03, 6.8434e+00
3.3125e-03, 6.6468e+00
3.5000e-03, 6.4662e+00
3.8750e-03, 6.1452e+00
4.2500e-03, 5.8676e+00
4.6250e-03, 5.6245e+00
5.0000e-03, 5.4093e+00
5.3125e-03, 5.2477e+00
5.6250e-03, 5.0997e+00
5.9375e-03, 4.9636e+00
6.2500e-03, 4.8378e+00
6.8750e-03, 4.6124e+00
7.5000e-03, 4.4158e+00
8.1250e-03, 4.2423e+00
8.7500e-03, 4.0877e+00
9.3750e-03, 3.9488e+00
1.0000e-02, 3.8232e+00
1.0625e-02, 3.7089e+00
1.1250e-02, 3.6043e+00
1.1875e-02, 3.5081e+00
1.2500e-02, 3.4191e+00
1.3750e-02, 3.2598e+00
1.5000e-02, 3.1207e+00
1.6250e-02, 2.9979e+00
1.7500e-02, 2.8885e+00
1.8750e-02, 2.7902e+00
2.0000e-02, 2.7013e+00
2.1325e-02, 2.6157e+00
2.2650e-02, 2.5377e+00
2.3975e-02, 2.4663e+00
2.5300e-02, 2.4006e+00
2.6844e-02, 2.3303e+00
2.8387e-02, 2.2659e+00
2.9931e-02, 2.2065e+00
3.1475e-02, 2.1516e+00
3.4563e-02, 2.0529e+00
3.7650e-02, 1.9664e+00
4.0738e-02, 1.8899e+00
4.3825e-02, 1.8216e+00
4.6913e-02, 1.7601e+00
5.0000e-02, 1.7045e+00
