ebin, xs
1.0000e-05, 5.3837e+01
1.0625e-05, 5.2230e+01
1.1250e-05, 5.0758e+01
1.1875e-05, 4.9404e+01
1.2500e-05, 4.8153e+01
1.3750e-05, 4.5912e+01
1.5000e-05, 4.3958e+01
1.6250e-05, 4.2233e+01
1.7500e-05, 4.0697e+01
1.8750e-05, 3.9317e+01
2.0000e-05, 3.8069e+01
2.1875e-05, 3.6400e+01
2.3750e-05, 3.4934e+01
2.5625e-05, 3.3632e+01
2.7500e-05, 3.2465e+01
2.9375e-05, 3.1412e+01
3.1250e-05, 3.0455e+01
3.3125e-05, 2.9580e+01
3.5000e-05, 2.8777e+01
3.8750e-05, 2.7349e+01
4.2500e-05, 2.6115e+01
4.6250e-05, 2.5034e+01
5.0000e-05, 2.4077e+01
5.3125e-05, 2.3358e+01
5.6250e-05, 2.2700e+01
5.9375e-05, 2.2094e+01
6.2500e-05, 2.1535e+01
6.8750e-05, 2.0533e+01
7.5000e-05, 1.9659e+01
8.1250e-05, 1.8887e+01
8.7500e-05, 1.8200e+01
9.3750e-05, 1.7583e+01
1.0000e-04, 1.7025e+01
1.0625e-04, 1.6516e+01
1.1250e-04, 1.6051e+01
1.1875e-04, 1.5623e+01
1.2500e-04, 1.5227e+01
1.3750e-04, 1.4519e+01
1.5000e-04, 1.3901e+01
1.6250e-04, 1.3355e+01
1.7500e-04, 1.2870e+01
1.8750e-04, 1.2433e+01
2.0000e-04, 1.2038e+01
2.1875e-04, 1.1511e+01
2.3750e-04, 1.1047e+01
2.5625e-04, 1.0635e+01
2.7500e-04, 1.0266e+01
2.9375e-04, 9.9333e+00
3.1250e-04, 9.6307e+00
3.3125e-04, 9.3542e+00
3.5000e-04, 9.1001e+00
3.8750e-04, 8.6486e+00
4.2500e-04, 8.2583e+00
4.6250e-04, 7.9164e+00
5.0000e-04, 7.6137e+00
5.3125e-04, 7.3864e+00
5.6250e-04, 7.1783e+00
5.9375e-04, 6.9869e+00
6.2500e-04, 6.8099e+00
6.8750e-04, 6.4930e+00
7.5000e-04, 6.2166e+00
8.1250e-04, 5.9727e+00
8.7500e-04, 5.7555e+00
9.3750e-04, 5.5603e+00
1.0000e-03, 5.3838e+00
1.0625e-03, 5.2230e+00
1.1250e-03, 5.0759e+00
1.1875e-03, 4.9405e+00
1.2500e-03, 4.8154e+00
1.3750e-03, 4.5913e+00
1.5000e-03, 4.3959e+00
1.6250e-03, 4.2234e+00
1.7500e-03, 4.0698e+00
1.8750e-03, 3.9318e+00
2.0000e-03, 3.8070e+00
2.1875e-03, 3.6402e+00
2.3750e-03, 3.4936e+00
2.5625e-03, 3.3634e+00
2.7500e-03, 3.2467e+00
2.9375e-03, 3.1414e+00
3.1250e-03, 3.0457e+00
3.3125e-03, 2.9583e+00
3.5000e-03, 2.8779e+00
3.8750e-03, 2.7352e+00
4.2500e-03, 2.6117e+00
4.6250e-03, 2.5036e+00
5.0000e-03, 2.4079e+00
5.3125e-03, 2.3360e+00
5.6250e-03, 2.2702e+00
5.9375e-03, 2.2097e+00
6.2500e-03, 2.1537e+00
6.8750e-03, 2.0535e+00
7.5000e-03, 1.9661e+00
8.1250e-03, 1.8890e+00
8.7500e-03, 1.8203e+00
9.3750e-03, 1.7585e+00
1.0000e-02, 1.7027e+00
1.0625e-02, 1.6519e+00
1.1250e-02, 1.6054e+00
1.1875e-02, 1.5626e+00
1.2500e-02, 1.5231e+00
1.3750e-02, 1.4523e+00
1.5000e-02, 1.3905e+00
1.6250e-02, 1.3359e+00
1.7500e-02, 1.2873e+00
1.8750e-02, 1.2437e+00
2.0000e-02, 1.2042e+00
2.1325e-02, 1.1662e+00
2.2650e-02, 1.1316e+00
2.3975e-02, 1.0999e+00
2.5300e-02, 1.0708e+00
2.6844e-02, 1.0396e+00
2.8387e-02, 1.0111e+00
3.1475e-02, 9.6034e-01
3.4563e-02, 9.1649e-01
3.7650e-02, 8.7812e-01
4.0738e-02, 8.4419e-01
4.3825e-02, 8.1393e-01
4.6913e-02, 7.8671e-01
5.0000e-02, 7.6207e-01
5.3125e-02, 7.3936e-01
5.6250e-02, 7.1859e-01
5.9375e-02, 6.9951e-01
6.2500e-02, 6.8190e-01
6.8750e-02, 6.5033e-01
7.5000e-02, 6.2272e-01
8.1250e-02, 5.9835e-01
8.7500e-02, 5.7666e-01
9.3750e-02, 5.5718e-01
1.0000e-01, 5.3956e-01
1.0625e-01, 5.2353e-01
1.1250e-01, 5.0887e-01
1.1875e-01, 4.9542e-01
1.2500e-01, 4.8303e-01
1.3750e-01, 4.6080e-01
1.5000e-01, 4.4134e-01
1.6250e-01, 4.2420e-01
1.7500e-01, 4.0894e-01
1.8750e-01, 3.9527e-01
2.0000e-01, 3.8296e-01
2.1875e-01, 3.6652e-01
2.3750e-01, 3.5206e-01
2.5625e-01, 3.3925e-01
2.7500e-01, 3.2782e-01
2.9375e-01, 3.1755e-01
3.1250e-01, 3.0825e-01
3.3125e-01, 2.9980e-01
3.5000e-01, 2.9214e-01
3.8750e-01, 2.7861e-01
4.2500e-01, 2.6703e-01
5.0000e-01, 2.4862e-01
5.6250e-01, 2.3701e-01
6.2500e-01, 2.2809e-01
6.8750e-01, 2.2171e-01
7.5000e-01, 2.1793e-01
8.1250e-01, 2.1719e-01
8.7500e-01, 2.2050e-01
9.3750e-01, 2.2957e-01
9.6875e-01, 2.3739e-01
1.0000e+00, 2.4876e-01
1.0257e+00, 2.6154e-01
1.0514e+00, 2.7846e-01
1.0771e+00, 3.0112e-01
1.1028e+00, 3.3230e-01
1.1156e+00, 3.5223e-01
1.1285e+00, 3.7591e-01
1.1413e+00, 4.0419e-01
1.1542e+00, 4.3817e-01
1.1670e+00, 4.7921e-01
1.1799e+00, 5.2904e-01
1.1927e+00, 5.8983e-01
1.2056e+00, 6.6422e-01
1.2161e+00, 7.3766e-01
1.2267e+00, 8.2402e-01
1.2372e+00, 9.2464e-01
1.2478e+00, 1.0399e+00
1.2900e+00, 1.5865e+00
1.2993e+00, 1.6919e+00
1.3085e+00, 1.7752e+00
1.3177e+00, 1.8293e+00
1.3270e+00, 1.8491e+00
1.3340e+00, 1.8402e+00
1.3409e+00, 1.8115e+00
1.3549e+00, 1.7025e+00
1.3688e+00, 1.5446e+00
1.3827e+00, 1.3649e+00
1.3966e+00, 1.1861e+00
1.4106e+00, 1.0231e+00
1.4245e+00, 8.8244e-01
1.4384e+00, 7.6512e-01
1.4490e+00, 6.9065e-01
1.4595e+00, 6.2690e-01
1.4700e+00, 5.7236e-01
