ebin, xs
1.0000e-05, 4.3729e-01
1.0625e-05, 4.2424e-01
1.1250e-05, 4.1228e-01
1.1875e-05, 4.0129e-01
1.2500e-05, 3.9113e-01
1.3750e-05, 3.7292e-01
1.5000e-05, 3.5705e-01
1.6250e-05, 3.4304e-01
1.7500e-05, 3.3056e-01
1.8750e-05, 3.1935e-01
2.0000e-05, 3.0921e-01
2.1875e-05, 2.9566e-01
2.3750e-05, 2.8375e-01
2.5625e-05, 2.7317e-01
2.7500e-05, 2.6370e-01
2.9375e-05, 2.5514e-01
3.1250e-05, 2.4737e-01
3.3125e-05, 2.4027e-01
3.5000e-05, 2.3374e-01
3.8750e-05, 2.2214e-01
4.2500e-05, 2.1212e-01
4.6250e-05, 2.0334e-01
5.0000e-05, 1.9556e-01
5.3125e-05, 1.8972e-01
5.6250e-05, 1.8438e-01
5.9375e-05, 1.7946e-01
6.2500e-05, 1.7492e-01
6.8750e-05, 1.6678e-01
7.5000e-05, 1.5968e-01
8.1250e-05, 1.5341e-01
8.7500e-05, 1.4783e-01
9.3750e-05, 1.4282e-01
1.0000e-04, 1.3828e-01
1.0625e-04, 1.3415e-01
1.1250e-04, 1.3038e-01
1.1875e-04, 1.2690e-01
1.2500e-04, 1.2368e-01
1.3750e-04, 1.1793e-01
1.5000e-04, 1.1291e-01
1.6250e-04, 1.0848e-01
1.7500e-04, 1.0453e-01
1.8750e-04, 1.0099e-01
2.0000e-04, 9.7781e-02
2.1875e-04, 9.3497e-02
2.3750e-04, 8.9730e-02
2.5625e-04, 8.6385e-02
2.7500e-04, 8.3388e-02
2.9375e-04, 8.0683e-02
3.1250e-04, 7.8225e-02
3.3125e-04, 7.5979e-02
3.5000e-04, 7.3916e-02
3.8750e-04, 7.0248e-02
4.2500e-04, 6.7077e-02
4.6250e-04, 6.4300e-02
5.0000e-04, 6.1842e-02
5.3125e-04, 5.9996e-02
5.6250e-04, 5.8305e-02
5.9375e-04, 5.6750e-02
6.2500e-04, 5.5313e-02
6.8750e-04, 5.2739e-02
7.5000e-04, 5.0494e-02
8.1250e-04, 4.8513e-02
8.7500e-04, 4.6748e-02
9.3750e-04, 4.5163e-02
1.0000e-03, 4.3729e-02
1.0625e-03, 4.2423e-02
1.1250e-03, 4.1228e-02
1.1875e-03, 4.0129e-02
1.2500e-03, 3.9113e-02
1.3750e-03, 3.7292e-02
1.5000e-03, 3.5705e-02
1.6250e-03, 3.4304e-02
1.7500e-03, 3.3056e-02
1.8750e-03, 3.1935e-02
2.0000e-03, 3.0921e-02
2.1875e-03, 2.9567e-02
2.3750e-03, 2.8375e-02
2.5625e-03, 2.7318e-02
2.7500e-03, 2.6370e-02
2.9375e-03, 2.5515e-02
3.1250e-03, 2.4737e-02
3.3125e-03, 2.4027e-02
3.5000e-03, 2.3375e-02
3.8750e-03, 2.2215e-02
4.2500e-03, 2.1212e-02
4.6250e-03, 2.0334e-02
5.0000e-03, 1.9556e-02
5.3125e-03, 1.8973e-02
5.6250e-03, 1.8438e-02
