ebin, xs
1.0000e-05, 3.8811e+04
1.0625e-05, 3.7656e+04
1.1250e-05, 3.6599e+04
1.1875e-05, 3.5626e+04
1.2500e-05, 3.4728e+04
1.3750e-05, 3.3118e+04
1.5000e-05, 3.1715e+04
1.6250e-05, 3.0476e+04
1.7500e-05, 2.9374e+04
1.8750e-05, 2.8383e+04
2.0000e-05, 2.7487e+04
2.1875e-05, 2.6291e+04
2.3750e-05, 2.5239e+04
2.5625e-05, 2.4305e+04
2.7500e-05, 2.3468e+04
2.9375e-05, 2.2713e+04
3.1250e-05, 2.2027e+04
3.3125e-05, 2.1401e+04
3.5000e-05, 2.0825e+04
3.8750e-05, 1.9803e+04
4.2500e-05, 1.8919e+04
4.6250e-05, 1.8145e+04
5.0000e-05, 1.7460e+04
5.3125e-05, 1.6946e+04
5.6250e-05, 1.6475e+04
5.9375e-05, 1.6042e+04
6.2500e-05, 1.5642e+04
6.8750e-05, 1.4925e+04
7.5000e-05, 1.4299e+04
8.1250e-05, 1.3748e+04
8.7500e-05, 1.3256e+04
9.3750e-05, 1.2814e+04
1.0000e-04, 1.2414e+04
1.0625e-04, 1.2050e+04
1.1250e-04, 1.1716e+04
1.1875e-04, 1.1409e+04
1.2500e-04, 1.1125e+04
1.3750e-04, 1.0615e+04
1.5000e-04, 1.0168e+04
1.6250e-04, 9.7734e+03
1.7500e-04, 9.4203e+03
1.8750e-04, 9.1019e+03
2.0000e-04, 8.8125e+03
2.1875e-04, 8.4236e+03
2.3750e-04, 8.0791e+03
2.5625e-04, 7.7706e+03
2.7500e-04, 7.4918e+03
2.9375e-04, 7.2379e+03
3.1250e-04, 7.0051e+03
3.3125e-04, 6.7904e+03
3.5000e-04, 6.5914e+03
3.8750e-04, 6.2330e+03
4.2500e-04, 5.9179e+03
4.6250e-04, 5.6377e+03
5.0000e-04, 5.3865e+03
5.3125e-04, 5.1959e+03
5.6250e-04, 5.0203e+03
5.9375e-04, 4.8579e+03
6.2500e-04, 4.7075e+03
6.5625e-04, 4.5678e+03
6.8750e-04, 4.4379e+03
7.5000e-04, 4.2044e+03
8.1250e-04, 4.0014e+03
8.7500e-04, 3.8245e+03
9.3750e-04, 3.6702e+03
1.0000e-03, 3.5355e+03
1.0625e-03, 3.4177e+03
1.1250e-03, 3.3147e+03
1.1875e-03, 3.2244e+03
1.2500e-03, 3.1452e+03
1.3125e-03, 3.0755e+03
1.3750e-03, 3.0141e+03
1.4375e-03, 2.9597e+03
1.5000e-03, 2.9114e+03
1.6250e-03, 2.8296e+03
