ebin, xs
1.0000e-05, 1.1723e+03
1.0625e-05, 1.1373e+03
1.1250e-05, 1.1053e+03
1.1875e-05, 1.0758e+03
1.2500e-05, 1.0486e+03
1.3750e-05, 9.9976e+02
1.5000e-05, 9.5720e+02
1.6250e-05, 9.1965e+02
1.7500e-05, 8.8619e+02
1.8750e-05, 8.5614e+02
2.0000e-05, 8.2896e+02
2.1875e-05, 7.9264e+02
2.3750e-05, 7.6070e+02
2.5625e-05, 7.3235e+02
2.7500e-05, 7.0694e+02
2.9375e-05, 6.8401e+02
3.1250e-05, 6.6317e+02
3.3125e-05, 6.4413e+02
3.5000e-05, 6.2663e+02
3.8750e-05, 5.9554e+02
4.2500e-05, 5.6866e+02
4.6250e-05, 5.4512e+02
5.0000e-05, 5.2428e+02
5.3125e-05, 5.0863e+02
5.6250e-05, 4.9430e+02
5.9375e-05, 4.8111e+02
6.2500e-05, 4.6893e+02
6.8750e-05, 4.4711e+02
7.5000e-05, 4.2808e+02
8.1250e-05, 4.1128e+02
8.7500e-05, 3.9632e+02
9.3750e-05, 3.8288e+02
1.0000e-04, 3.7072e+02
1.0625e-04, 3.5966e+02
1.1250e-04, 3.4952e+02
1.1875e-04, 3.4020e+02
1.2500e-04, 3.3159e+02
1.3750e-04, 3.1616e+02
1.5000e-04, 3.0270e+02
1.6250e-04, 2.9082e+02
1.7500e-04, 2.8024e+02
1.8750e-04, 2.7074e+02
2.0000e-04, 2.6214e+02
2.1875e-04, 2.5066e+02
2.3750e-04, 2.4056e+02
2.5625e-04, 2.3159e+02
2.7500e-04, 2.2356e+02
2.9375e-04, 2.1631e+02
3.1250e-04, 2.0972e+02
3.3125e-04, 2.0370e+02
3.5000e-04, 1.9816e+02
3.8750e-04, 1.8833e+02
4.2500e-04, 1.7983e+02
4.6250e-04, 1.7239e+02
5.0000e-04, 1.6580e+02
5.3125e-04, 1.6085e+02
5.6250e-04, 1.5632e+02
5.9375e-04, 1.5215e+02
6.2500e-04, 1.4830e+02
6.8750e-04, 1.4140e+02
7.5000e-04, 1.3538e+02
8.1250e-04, 1.3007e+02
8.7500e-04, 1.2534e+02
9.3750e-04, 1.2109e+02
1.0000e-03, 1.1724e+02
1.0625e-03, 1.1374e+02
1.1250e-03, 1.1054e+02
1.1875e-03, 1.0759e+02
1.2500e-03, 1.0487e+02
1.3750e-03, 9.9988e+01
1.5000e-03, 9.5733e+01
1.6250e-03, 9.1978e+01
1.7500e-03, 8.8633e+01
1.8750e-03, 8.5629e+01
2.0000e-03, 8.2911e+01
2.1875e-03, 7.9279e+01
2.3750e-03, 7.6087e+01
2.5625e-03, 7.3252e+01
2.7500e-03, 7.0712e+01
2.9375e-03, 6.8419e+01
3.1250e-03, 6.6336e+01
3.3125e-03, 6.4433e+01
3.5000e-03, 6.2684e+01
3.8750e-03, 5.9576e+01
4.2500e-03, 5.6889e+01
4.6250e-03, 5.4535e+01
5.0000e-03, 5.2452e+01
5.3125e-03, 5.0887e+01
5.6250e-03, 4.9455e+01
5.9375e-03, 4.8137e+01
6.2500e-03, 4.6920e+01
6.8750e-03, 4.4739e+01
7.5000e-03, 4.2836e+01
8.1250e-03, 4.1157e+01
8.7500e-03, 3.9661e+01
9.3750e-03, 3.8318e+01
1.0000e-02, 3.7103e+01
1.0625e-02, 3.5997e+01
1.1250e-02, 3.4986e+01
1.1875e-02, 3.4055e+01
1.2500e-02, 3.3196e+01
1.3750e-02, 3.1655e+01
1.5000e-02, 3.0311e+01
1.6250e-02, 2.9125e+01
1.7500e-02, 2.8067e+01
1.8750e-02, 2.7118e+01
2.0000e-02, 2.6259e+01
2.1325e-02, 2.5433e+01
2.2650e-02, 2.4680e+01
2.3975e-02, 2.3992e+01
2.5300e-02, 2.3359e+01
2.6844e-02, 2.2682e+01
2.8387e-02, 2.2061e+01
3.1475e-02, 2.0959e+01
3.4563e-02, 2.0007e+01
3.7650e-02, 1.9173e+01
4.0738e-02, 1.8436e+01
4.3825e-02, 1.7779e+01
4.6913e-02, 1.7189e+01
