ebin, xs
1.0000e-05, 4.6674e+01
1.0625e-05, 4.5281e+01
1.1250e-05, 4.4005e+01
1.1875e-05, 4.2831e+01
1.2500e-05, 4.1747e+01
1.3741e-05, 3.9817e+01
1.4982e-05, 3.8133e+01
1.5000e-05, 3.8109e+01
1.5039e-05, 3.8060e+01
1.5078e-05, 3.8011e+01
1.5156e-05, 3.7912e+01
1.5312e-05, 3.7718e+01
1.5625e-05, 3.7339e+01
1.6250e-05, 3.6614e+01
1.7500e-05, 3.5282e+01
1.8750e-05, 3.4086e+01
2.0000e-05, 3.3004e+01
2.1868e-05, 3.1562e+01
2.3737e-05, 3.0295e+01
2.5605e-05, 2.9169e+01
2.7473e-05, 2.8159e+01
2.7500e-05, 2.8146e+01
2.7559e-05, 2.8116e+01
2.7617e-05, 2.8086e+01
2.7848e-05, 2.7969e+01
2.8079e-05, 2.7854e+01
2.8540e-05, 2.7628e+01
2.9463e-05, 2.7192e+01
3.1309e-05, 2.6378e+01
3.3154e-05, 2.5633e+01
3.5000e-05, 2.4948e+01
3.8750e-05, 2.3711e+01
4.2500e-05, 2.2640e+01
4.6250e-05, 2.1703e+01
5.0000e-05, 2.0873e+01
5.3125e-05, 2.0250e+01
5.6250e-05, 1.9680e+01
5.9375e-05, 1.9155e+01
6.2500e-05, 1.8670e+01
6.8750e-05, 1.7801e+01
7.5000e-05, 1.7043e+01
8.1250e-05, 1.6374e+01
8.7500e-05, 1.5779e+01
9.3750e-05, 1.5244e+01
1.0000e-04, 1.4760e+01
1.0625e-04, 1.4319e+01
1.1250e-04, 1.3916e+01
1.1875e-04, 1.3544e+01
1.2500e-04, 1.3201e+01
1.3750e-04, 1.2587e+01
1.5000e-04, 1.2051e+01
1.6250e-04, 1.1578e+01
1.7500e-04, 1.1157e+01
1.8750e-04, 1.0779e+01
2.0000e-04, 1.0437e+01
2.1875e-04, 9.9793e+00
2.3750e-04, 9.5773e+00
2.5625e-04, 9.2202e+00
2.7500e-04, 8.9004e+00
2.9375e-04, 8.6116e+00
3.1250e-04, 8.3493e+00
3.3125e-04, 8.1095e+00
3.5000e-04, 7.8893e+00
3.8750e-04, 7.4979e+00
4.2500e-04, 7.1594e+00
4.6250e-04, 6.8631e+00
5.0000e-04, 6.6007e+00
5.3125e-04, 6.4036e+00
5.6250e-04, 6.2232e+00
5.9375e-04, 6.0572e+00
6.2500e-04, 5.9038e+00
