ebin, xs
1.0000e-05, 3.1856e+02
1.0625e-05, 3.0905e+02
1.1250e-05, 3.0035e+02
1.1875e-05, 2.9234e+02
1.2500e-05, 2.8493e+02
1.3750e-05, 2.7167e+02
1.5000e-05, 2.6011e+02
1.6250e-05, 2.4990e+02
1.7500e-05, 2.4081e+02
1.8750e-05, 2.3265e+02
2.0000e-05, 2.2526e+02
2.1875e-05, 2.1539e+02
2.3750e-05, 2.0671e+02
2.5625e-05, 1.9901e+02
2.7500e-05, 1.9210e+02
2.9375e-05, 1.8587e+02
3.1250e-05, 1.8021e+02
3.3125e-05, 1.7503e+02
3.5000e-05, 1.7028e+02
3.8750e-05, 1.6183e+02
4.2500e-05, 1.5453e+02
4.6250e-05, 1.4813e+02
5.0000e-05, 1.4247e+02
5.3125e-05, 1.3821e+02
5.6250e-05, 1.3432e+02
5.9375e-05, 1.3074e+02
6.2500e-05, 1.2743e+02
6.8750e-05, 1.2150e+02
7.5000e-05, 1.1632e+02
8.1250e-05, 1.1176e+02
8.7500e-05, 1.0769e+02
9.3750e-05, 1.0404e+02
1.0000e-04, 1.0074e+02
1.0625e-04, 9.7731e+01
1.1250e-04, 9.4977e+01
1.1875e-04, 9.2444e+01
1.2500e-04, 9.0103e+01
1.3750e-04, 8.5910e+01
1.5000e-04, 8.2252e+01
1.6250e-04, 7.9026e+01
1.7500e-04, 7.6151e+01
1.8750e-04, 7.3569e+01
2.0000e-04, 7.1233e+01
2.1875e-04, 6.8111e+01
2.3750e-04, 6.5367e+01
2.5625e-04, 6.2930e+01
2.7500e-04, 6.0747e+01
2.9375e-04, 5.8776e+01
3.1250e-04, 5.6986e+01
3.3125e-04, 5.5349e+01
3.5000e-04, 5.3846e+01
3.8750e-04, 5.1174e+01
4.2500e-04, 4.8864e+01
4.6250e-04, 4.6841e+01
5.0000e-04, 4.5050e+01
5.3125e-04, 4.3705e+01
5.6250e-04, 4.2474e+01
5.9375e-04, 4.1341e+01
6.2500e-04, 4.0294e+01
6.8750e-04, 3.8419e+01
7.5000e-04, 3.6783e+01
8.1250e-04, 3.5340e+01
8.7500e-04, 3.4054e+01
9.3750e-04, 3.2899e+01
1.0000e-03, 3.1855e+01
1.0625e-03, 3.0903e+01
1.1250e-03, 3.0033e+01
1.1875e-03, 2.9232e+01
1.2500e-03, 2.8491e+01
1.3750e-03, 2.7165e+01
1.5000e-03, 2.6009e+01
1.6250e-03, 2.4988e+01
1.7500e-03, 2.4079e+01
