ebin, xs
1.0000e-05, 1.1455e+03
1.0625e-05, 1.1113e+03
1.1250e-05, 1.0800e+03
1.1875e-05, 1.0512e+03
1.2500e-05, 1.0246e+03
1.3750e-05, 9.7690e+02
1.5000e-05, 9.3531e+02
1.6250e-05, 8.9862e+02
1.7500e-05, 8.6593e+02
1.8750e-05, 8.3657e+02
2.0000e-05, 8.1001e+02
2.1875e-05, 7.7452e+02
2.3750e-05, 7.4332e+02
2.5625e-05, 7.1561e+02
2.7500e-05, 6.9078e+02
2.9375e-05, 6.6837e+02
3.1250e-05, 6.4801e+02
3.3125e-05, 6.2941e+02
3.5000e-05, 6.1232e+02
3.8750e-05, 5.8194e+02
4.2500e-05, 5.5567e+02
4.6250e-05, 5.3267e+02
5.0000e-05, 5.1231e+02
5.3125e-05, 4.9702e+02
5.6250e-05, 4.8302e+02
5.9375e-05, 4.7013e+02
6.2500e-05, 4.5823e+02
6.8750e-05, 4.3691e+02
7.5000e-05, 4.1831e+02
8.1250e-05, 4.0190e+02
8.7500e-05, 3.8729e+02
9.3750e-05, 3.7416e+02
1.0000e-04, 3.6228e+02
1.0625e-04, 3.5147e+02
1.1250e-04, 3.4157e+02
1.1875e-04, 3.3246e+02
1.2500e-04, 3.2404e+02
1.3750e-04, 3.0897e+02
1.5000e-04, 2.9582e+02
1.6250e-04, 2.8422e+02
1.7500e-04, 2.7388e+02
1.8750e-04, 2.6460e+02
2.0000e-04, 2.5620e+02
2.1875e-04, 2.4498e+02
2.3750e-04, 2.3511e+02
2.5625e-04, 2.2635e+02
2.7500e-04, 2.1850e+02
2.9375e-04, 2.1142e+02
3.1250e-04, 2.0498e+02
3.3125e-04, 1.9910e+02
3.5000e-04, 1.9370e+02
3.8750e-04, 1.8410e+02
4.2500e-04, 1.7579e+02
4.6250e-04, 1.6852e+02
5.0000e-04, 1.6209e+02
5.3125e-04, 1.5725e+02
5.6250e-04, 1.5283e+02
5.9375e-04, 1.4875e+02
6.2500e-04, 1.4499e+02
6.8750e-04, 1.3825e+02
7.5000e-04, 1.3238e+02
8.1250e-04, 1.2719e+02
8.7500e-04, 1.2257e+02
9.3750e-04, 1.1843e+02
1.0000e-03, 1.1467e+02
1.0625e-03, 1.1126e+02
1.1250e-03, 1.0813e+02
1.1875e-03, 1.0525e+02
1.2500e-03, 1.0259e+02
1.3750e-03, 9.7834e+01
1.5000e-03, 9.3682e+01
1.6250e-03, 9.0019e+01
1.7500e-03, 8.6756e+01
1.8750e-03, 8.3825e+01
2.0000e-03, 8.1174e+01
2.1875e-03, 7.7633e+01
2.3750e-03, 7.4521e+01
2.5625e-03, 7.1757e+01
2.7500e-03, 6.9282e+01
2.9375e-03, 6.7049e+01
3.1250e-03, 6.5020e+01
3.3125e-03, 6.3166e+01
3.5000e-03, 6.1464e+01
3.8750e-03, 5.8438e+01
4.2500e-03, 5.5823e+01
4.6250e-03, 5.3533e+01
5.0000e-03, 5.1506e+01
5.3125e-03, 4.9985e+01
5.6250e-03, 4.8593e+01
5.9375e-03, 4.7313e+01
6.2500e-03, 4.6131e+01
6.8750e-03, 4.4015e+01
7.5000e-03, 4.2170e+01
8.1250e-03, 4.0542e+01
8.7500e-03, 3.9093e+01
9.3750e-03, 3.7792e+01
1.0000e-02, 3.6616e+01
1.0625e-02, 3.5547e+01
1.1250e-02, 3.4570e+01
1.1875e-02, 3.3672e+01
1.2500e-02, 3.2843e+01
1.3750e-02, 3.1359e+01
1.5000e-02, 3.0065e+01
1.6250e-02, 2.8924e+01
1.7500e-02, 2.7909e+01
1.8750e-02, 2.6999e+01
2.0000e-02, 2.6177e+01
2.1325e-02, 2.5387e+01
2.2650e-02, 2.4669e+01
2.3975e-02, 2.4013e+01
2.5300e-02, 2.3410e+01
2.6844e-02, 2.2768e+01
2.8387e-02, 2.2180e+01
3.1475e-02, 2.1140e+01
3.4563e-02, 2.0242e+01
3.7650e-02, 1.9460e+01
4.0738e-02, 1.8773e+01
4.3825e-02, 1.8162e+01
4.6913e-02, 1.7615e+01
5.0000e-02, 1.7122e+01
5.3125e-02, 1.6670e+01
5.6250e-02, 1.6258e+01
5.9375e-02, 1.5882e+01
6.2500e-02, 1.5538e+01
6.8750e-02, 1.4924e+01
7.5000e-02, 1.4393e+01
8.1250e-02, 1.3929e+01
8.7500e-02, 1.3522e+01
9.3750e-02, 1.3161e+01
1.0000e-01, 1.2838e+01
1.0625e-01, 1.2549e+01
1.1250e-01, 1.2289e+01
1.1875e-01, 1.2053e+01
1.2500e-01, 1.1841e+01
1.3750e-01, 1.1469e+01
1.5000e-01, 1.1155e+01
1.6250e-01, 1.0891e+01
1.7500e-01, 1.0666e+01
1.8750e-01, 1.0476e+01
2.0000e-01, 1.0316e+01
2.1875e-01, 1.0120e+01
2.3750e-01, 9.9696e+00
2.5625e-01, 9.8577e+00
2.7500e-01, 9.7791e+00
2.9375e-01, 9.7296e+00
3.1250e-01, 9.7063e+00
3.3125e-01, 9.7069e+00
3.5000e-01, 9.7294e+00
3.6875e-01, 9.7728e+00
3.8750e-01, 9.8378e+00
4.2500e-01, 1.0023e+01
5.0000e-01, 1.0622e+01
5.6250e-01, 1.1371e+01
6.2500e-01, 1.2386e+01
6.8750e-01, 1.3738e+01
7.5000e-01, 1.5521e+01
7.8125e-01, 1.6622e+01
8.1250e-01, 1.7915e+01
8.4375e-01, 1.9426e+01
8.7500e-01, 2.1206e+01
9.0625e-01, 2.3317e+01
9.3750e-01, 2.5844e+01
9.6875e-01, 2.8902e+01
1.0000e+00, 3.2635e+01
1.0261e+00, 3.6429e+01
1.0521e+00, 4.1040e+01
1.0782e+00, 4.6707e+01
1.1042e+00, 5.3773e+01
1.1303e+00, 6.2674e+01
1.1433e+00, 6.8044e+01
1.1564e+00, 7.4223e+01
1.1694e+00, 8.1369e+01
1.1824e+00, 8.9678e+01
1.1955e+00, 9.9414e+01
1.2085e+00, 1.1093e+02
1.2215e+00, 1.2469e+02
1.2346e+00, 1.4132e+02
1.2476e+00, 1.6167e+02
1.2606e+00, 1.8695e+02
1.2737e+00, 2.1890e+02
1.2802e+00, 2.3819e+02
1.2867e+00, 2.6027e+02
1.2932e+00, 2.8575e+02
1.2997e+00, 3.1534e+02
1.3062e+00, 3.5000e+02
1.3128e+00, 3.9096e+02
1.3201e+00, 4.4671e+02
1.3237e+00, 4.7938e+02
1.3274e+00, 5.1596e+02
1.3311e+00, 5.5711e+02
1.3347e+00, 6.0369e+02
1.3366e+00, 6.2934e+02
1.3384e+00, 6.5674e+02
1.3402e+00, 6.8610e+02
1.3421e+00, 7.1758e+02
1.3441e+00, 7.5537e+02
1.3461e+00, 7.9641e+02
1.3482e+00, 8.4112e+02
1.3502e+00, 8.8996e+02
1.3525e+00, 9.4912e+02
1.3536e+00, 9.8108e+02
1.3547e+00, 1.0148e+03
1.3558e+00, 1.0503e+03
1.3569e+00, 1.0879e+03
1.3581e+00, 1.1277e+03
1.3592e+00, 1.1697e+03
1.3603e+00, 1.2142e+03
1.3614e+00, 1.2615e+03
1.3625e+00, 1.3116e+03
1.3637e+00, 1.3648e+03
1.3648e+00, 1.4214e+03
1.3659e+00, 1.4817e+03
1.3670e+00, 1.5458e+03
1.3681e+00, 1.6140e+03
1.3693e+00, 1.6868e+03
1.3704e+00, 1.7645e+03
1.3715e+00, 1.8473e+03
1.3726e+00, 1.9356e+03
1.3749e+00, 2.1306e+03
1.3771e+00, 2.3527e+03
1.3793e+00, 2.6055e+03
1.3816e+00, 2.8926e+03
1.3838e+00, 3.2177e+03
1.3861e+00, 3.5843e+03
1.3883e+00, 3.9957e+03
1.3905e+00, 4.4543e+03
1.3928e+00, 4.9619e+03
1.3950e+00, 5.5185e+03
1.3973e+00, 6.1235e+03
1.3995e+00, 6.7735e+03
1.4017e+00, 7.4642e+03
1.4040e+00, 8.1876e+03
1.4085e+00, 9.7252e+03
1.4131e+00, 1.1251e+04
1.4177e+00, 1.2629e+04
1.4223e+00, 1.3716e+04
1.4266e+00, 1.4369e+04
1.4310e+00, 1.4568e+04
1.4327e+00, 1.4513e+04
1.4354e+00, 1.4290e+04
1.4380e+00, 1.3907e+04
1.4415e+00, 1.3175e+04
1.4444e+00, 1.2418e+04
1.4473e+00, 1.1556e+04
1.4530e+00, 9.6622e+03
1.4588e+00, 7.7566e+03
1.4645e+00, 6.0356e+03
1.4683e+00, 5.0561e+03
1.4721e+00, 4.2138e+03
1.4759e+00, 3.5062e+03
1.4797e+00, 2.9225e+03
1.4827e+00, 2.5409e+03
1.4856e+00, 2.2180e+03
1.4886e+00, 1.9457e+03
1.4916e+00, 1.7162e+03
1.4946e+00, 1.5226e+03
1.4976e+00, 1.3589e+03
1.5006e+00, 1.2198e+03
1.5035e+00, 1.1011e+03
1.5065e+00, 9.9909e+02
1.5095e+00, 9.1097e+02
1.5125e+00, 8.3434e+02
1.5155e+00, 7.6728e+02
1.5214e+00, 6.5601e+02
1.5274e+00, 5.6795e+02
1.5325e+00, 5.0577e+02
1.5377e+00, 4.5349e+02
1.5428e+00, 4.0907e+02
1.5480e+00, 3.7096e+02
1.5531e+00, 3.3801e+02
1.5583e+00, 3.0929e+02
1.5634e+00, 2.8410e+02
1.5686e+00, 2.6187e+02
1.5789e+00, 2.2458e+02
1.5892e+00, 1.9471e+02
1.5995e+00, 1.7042e+02
1.6098e+00, 1.5040e+02
1.6190e+00, 1.3532e+02
1.6282e+00, 1.2240e+02
1.6374e+00, 1.1125e+02
1.6466e+00, 1.0155e+02
1.6558e+00, 9.3074e+01
1.6650e+00, 8.5605e+01
1.6835e+00, 7.3092e+01
1.7019e+00, 6.3086e+01
1.7203e+00, 5.4976e+01
1.7388e+00, 4.8319e+01
1.7572e+00, 4.2790e+01
1.7724e+00, 3.8911e+01
1.7875e+00, 3.5530e+01
1.8027e+00, 3.2567e+01
1.8179e+00, 2.9955e+01
1.8482e+00, 2.5595e+01
1.8786e+00, 2.2133e+01
1.9089e+00, 1.9303e+01
1.9393e+00, 1.6971e+01
1.9696e+00, 1.5033e+01
2.0000e+00, 1.3402e+01
2.0293e+00, 1.2068e+01
2.0586e+00, 1.0936e+01
2.0879e+00, 9.9512e+00
2.1172e+00, 9.0883e+00
2.1465e+00, 8.3321e+00
2.1758e+00, 7.6671e+00
2.2344e+00, 6.5560e+00
2.2930e+00, 5.6720e+00
2.3516e+00, 4.9577e+00
2.4102e+00, 4.3726e+00
2.4688e+00, 3.8877e+00
2.5391e+00, 3.4092e+00
2.6094e+00, 3.0250e+00
2.6797e+00, 2.6964e+00
2.7500e+00, 2.4222e+00
2.8438e+00, 2.1223e+00
2.9375e+00, 1.8792e+00
3.0312e+00, 1.6796e+00
3.1250e+00, 1.5139e+00
3.2188e+00, 1.3748e+00
3.3125e+00, 1.2570e+00
3.4062e+00, 1.1565e+00
3.5000e+00, 1.0707e+00
