ebin, xs
1.0000e-05, 9.3714e+01
1.0625e-05, 9.0916e+01
1.1250e-05, 8.8354e+01
1.1875e-05, 8.5998e+01
1.2500e-05, 8.3820e+01
1.3750e-05, 7.9919e+01
1.5000e-05, 7.6517e+01
1.6250e-05, 7.3515e+01
1.7500e-05, 7.0841e+01
1.8750e-05, 6.8439e+01
2.0000e-05, 6.6266e+01
2.1875e-05, 6.3362e+01
2.3750e-05, 6.0810e+01
2.5625e-05, 5.8543e+01
2.7500e-05, 5.6512e+01
2.9375e-05, 5.4678e+01
3.1250e-05, 5.3013e+01
3.3125e-05, 5.1490e+01
3.5000e-05, 5.0092e+01
3.8750e-05, 4.7607e+01
4.2500e-05, 4.5458e+01
4.6250e-05, 4.3576e+01
5.0000e-05, 4.1910e+01
5.3125e-05, 4.0659e+01
5.6250e-05, 3.9513e+01
5.9375e-05, 3.8459e+01
6.2500e-05, 3.7486e+01
6.8750e-05, 3.5741e+01
7.5000e-05, 3.4219e+01
8.1250e-05, 3.2877e+01
8.7500e-05, 3.1681e+01
9.3750e-05, 3.0607e+01
1.0000e-04, 2.9635e+01
1.0625e-04, 2.8750e+01
1.1250e-04, 2.7940e+01
1.1875e-04, 2.7195e+01
1.2500e-04, 2.6506e+01
1.3750e-04, 2.5273e+01
1.5000e-04, 2.4197e+01
1.6250e-04, 2.3248e+01
1.7500e-04, 2.2402e+01
1.8750e-04, 2.1642e+01
2.0000e-04, 2.0955e+01
2.1875e-04, 2.0037e+01
2.3750e-04, 1.9230e+01
2.5625e-04, 1.8513e+01
2.7500e-04, 1.7871e+01
2.9375e-04, 1.7291e+01
3.1250e-04, 1.6764e+01
3.3125e-04, 1.6283e+01
3.5000e-04, 1.5841e+01
3.8750e-04, 1.5055e+01
4.2500e-04, 1.4375e+01
4.6250e-04, 1.3780e+01
5.0000e-04, 1.3253e+01
5.3125e-04, 1.2857e+01
5.6250e-04, 1.2495e+01
5.9375e-04, 1.2162e+01
6.2500e-04, 1.1854e+01
6.8750e-04, 1.1302e+01
7.5000e-04, 1.0821e+01
8.1250e-04, 1.0397e+01
8.7500e-04, 1.0018e+01
9.3750e-04, 9.6787e+00
1.0000e-03, 9.3714e+00
1.0625e-03, 9.0916e+00
1.1250e-03, 8.8354e+00
1.1875e-03, 8.5998e+00
1.2500e-03, 8.3820e+00
1.3750e-03, 7.9919e+00
1.5000e-03, 7.6517e+00
1.6250e-03, 7.3515e+00
1.7500e-03, 7.0841e+00
1.8750e-03, 6.8439e+00
2.0000e-03, 6.6266e+00
2.1875e-03, 6.3362e+00
2.3750e-03, 6.0810e+00
2.5625e-03, 5.8543e+00
2.7500e-03, 5.6512e+00
2.9375e-03, 5.4678e+00
3.1250e-03, 5.3013e+00
3.3125e-03, 5.1490e+00
3.5000e-03, 5.0092e+00
3.8750e-03, 4.7607e+00
4.2500e-03, 4.5458e+00
4.6250e-03, 4.3576e+00
5.0000e-03, 4.1910e+00
5.3125e-03, 4.0658e+00
5.6250e-03, 3.9512e+00
5.9375e-03, 3.8458e+00
6.2500e-03, 3.7484e+00
6.8750e-03, 3.5740e+00
7.5000e-03, 3.4218e+00
8.1250e-03, 3.2875e+00
8.7500e-03, 3.1679e+00
9.3750e-03, 3.0605e+00
1.0000e-02, 2.9633e+00
1.0625e-02, 2.8748e+00
1.1250e-02, 2.7938e+00
1.1875e-02, 2.7193e+00
1.2500e-02, 2.6505e+00
1.3750e-02, 2.5271e+00
1.5000e-02, 2.4195e+00
1.6250e-02, 2.3245e+00
1.7500e-02, 2.2399e+00
1.8750e-02, 2.1639e+00
2.0000e-02, 2.0952e+00
2.1325e-02, 2.0291e+00
2.2650e-02, 1.9688e+00
2.3975e-02, 1.9137e+00
2.5300e-02, 1.8629e+00
2.6844e-02, 1.8086e+00
2.8387e-02, 1.7588e+00
3.1475e-02, 1.6703e+00
3.4563e-02, 1.5940e+00
3.7650e-02, 1.5271e+00
4.0738e-02, 1.4680e+00
4.3825e-02, 1.4153e+00
4.6913e-02, 1.3679e+00
5.0000e-02, 1.3249e+00
5.3125e-02, 1.2854e+00
5.6250e-02, 1.2492e+00
5.9375e-02, 1.2159e+00
6.2500e-02, 1.1851e+00
6.8750e-02, 1.1300e+00
7.5000e-02, 1.0818e+00
8.1250e-02, 1.0393e+00
8.7500e-02, 1.0015e+00
9.3750e-02, 9.6744e-01
1.0000e-01, 9.3666e-01
1.0625e-01, 9.0866e-01
1.1250e-01, 8.8305e-01
1.1875e-01, 8.5952e-01
1.2500e-01, 8.3779e-01
1.3750e-01, 7.9883e-01
1.5000e-01, 7.6477e-01
1.6250e-01, 7.3469e-01
1.7500e-01, 7.0790e-01
1.8750e-01, 6.8386e-01
2.0000e-01, 6.6214e-01
2.1875e-01, 6.3312e-01
2.3750e-01, 6.0754e-01
2.5625e-01, 5.8481e-01
2.7500e-01, 5.6446e-01
2.9375e-01, 5.4609e-01
3.1250e-01, 5.2940e-01
3.3125e-01, 5.1418e-01
3.5000e-01, 5.0026e-01
3.8750e-01, 4.7544e-01
4.2500e-01, 4.5387e-01
5.0000e-01, 4.1837e-01
6.2500e-01, 3.7402e-01
7.5000e-01, 3.4120e-01
8.7500e-01, 3.1580e-01
1.0000e+00, 2.9531e-01
1.2500e+00, 2.6380e-01
1.5000e+00, 2.4054e-01
1.7500e+00, 2.2250e-01
2.0000e+00, 2.0794e-01
2.3750e+00, 1.9053e-01
2.7500e+00, 1.7682e-01
3.1250e+00, 1.6561e-01
3.5000e+00, 1.5624e-01
4.2500e+00, 1.4135e-01
5.0000e+00, 1.2994e-01
6.2500e+00, 1.1565e-01
7.5000e+00, 1.0506e-01
8.7500e+00, 9.6800e-02
1.0000e+01, 9.0120e-02
1.2500e+01, 7.9833e-02
1.5000e+01, 7.2189e-02
1.7500e+01, 6.6215e-02
2.0000e+01, 6.1370e-02
2.3750e+01, 5.5551e-02
2.7500e+01, 5.0937e-02
3.1250e+01, 4.7151e-02
3.5000e+01, 4.3974e-02
4.2500e+01, 3.8898e-02
5.0000e+01, 3.4986e-02
5.6250e+01, 3.2330e-02
6.2500e+01, 3.0076e-02
7.5000e+01, 2.6440e-02
8.7500e+01, 2.3618e-02
1.0000e+02, 2.1353e-02
1.1250e+02, 1.9490e-02
1.2500e+02, 1.7928e-02
1.3750e+02, 1.6600e-02
1.5000e+02, 1.5456e-02
1.7500e+02, 1.3589e-02
2.0000e+02, 1.2131e-02
2.1875e+02, 1.1233e-02
2.3750e+02, 1.0466e-02
2.7500e+02, 9.2257e-03
3.1250e+02, 8.2733e-03
3.5000e+02, 7.5247e-03
3.8750e+02, 6.9253e-03
4.2500e+02, 6.4382e-03
4.6250e+02, 6.0375e-03
5.0000e+02, 5.7047e-03
5.6250e+02, 5.2651e-03
6.2500e+02, 4.9328e-03
6.8750e+02, 4.6794e-03
7.5000e+02, 4.4858e-03
8.1250e+02, 4.3387e-03
8.7500e+02, 4.2289e-03
1.0000e+03, 4.0959e-03
1.1250e+03, 4.0520e-03
1.2500e+03, 4.0791e-03
1.3750e+03, 4.1679e-03
1.5000e+03, 4.3157e-03
1.6250e+03, 4.5240e-03
1.7500e+03, 4.7986e-03
1.8125e+03, 4.9638e-03
1.8750e+03, 5.1499e-03
1.9375e+03, 5.3591e-03
