ebin, xs
1.0000e-05, 6.5646e+00
1.0625e-05, 6.3686e+00
1.1250e-05, 6.1892e+00
1.1875e-05, 6.0241e+00
1.2500e-05, 5.8716e+00
1.3750e-05, 5.5983e+00
1.5000e-05, 5.3600e+00
1.6250e-05, 5.1497e+00
1.7500e-05, 4.9624e+00
1.8750e-05, 4.7941e+00
2.0000e-05, 4.6419e+00
2.1875e-05, 4.4385e+00
2.3750e-05, 4.2597e+00
2.5625e-05, 4.1009e+00
2.7500e-05, 3.9586e+00
2.9375e-05, 3.8302e+00
3.1250e-05, 3.7135e+00
3.3125e-05, 3.6069e+00
3.5000e-05, 3.5090e+00
3.8750e-05, 3.3348e+00
4.2500e-05, 3.1843e+00
4.6250e-05, 3.0525e+00
5.0000e-05, 2.9358e+00
5.3125e-05, 2.8481e+00
5.6250e-05, 2.7679e+00
5.9375e-05, 2.6941e+00
6.2500e-05, 2.6259e+00
6.8750e-05, 2.5037e+00
7.5000e-05, 2.3971e+00
8.1250e-05, 2.3030e+00
8.7500e-05, 2.2193e+00
9.3750e-05, 2.1440e+00
1.0000e-04, 2.0759e+00
1.0625e-04, 2.0139e+00
1.1250e-04, 1.9572e+00
1.1875e-04, 1.9050e+00
1.2500e-04, 1.8568e+00
1.3750e-04, 1.7704e+00
1.5000e-04, 1.6950e+00
1.6250e-04, 1.6285e+00
1.7500e-04, 1.5693e+00
1.8750e-04, 1.5160e+00
2.0000e-04, 1.4679e+00
2.1875e-04, 1.4036e+00
2.3750e-04, 1.3470e+00
2.5625e-04, 1.2968e+00
2.7500e-04, 1.2518e+00
2.9375e-04, 1.2112e+00
3.1250e-04, 1.1743e+00
3.3125e-04, 1.1406e+00
3.5000e-04, 1.1096e+00
3.8750e-04, 1.0546e+00
4.2500e-04, 1.0070e+00
4.6250e-04, 9.6528e-01
5.0000e-04, 9.2838e-01
5.3125e-04, 9.0066e-01
5.6250e-04, 8.7528e-01
5.9375e-04, 8.5194e-01
6.2500e-04, 8.3037e-01
6.8750e-04, 7.9172e-01
7.5000e-04, 7.5802e-01
8.1250e-04, 7.2828e-01
8.7500e-04, 7.0179e-01
9.3750e-04, 6.7799e-01
1.0000e-03, 6.5646e-01
1.0625e-03, 6.3686e-01
1.1250e-03, 6.1892e-01
1.1875e-03, 6.0241e-01
1.2500e-03, 5.8716e-01
1.3750e-03, 5.5984e-01
1.5000e-03, 5.3600e-01
1.6250e-03, 5.1498e-01
1.7500e-03, 4.9624e-01
1.8750e-03, 4.7942e-01
2.0000e-03, 4.6419e-01
2.1875e-03, 4.4385e-01
2.3750e-03, 4.2597e-01
2.5625e-03, 4.1009e-01
2.7500e-03, 3.9587e-01
2.9375e-03, 3.8303e-01
3.1250e-03, 3.7136e-01
