ebin, xs
1.0000e-05, 5.2346e+03
1.0625e-05, 5.0783e+03
1.1250e-05, 4.9352e+03
1.1875e-05, 4.8036e+03
1.2500e-05, 4.6820e+03
1.3750e-05, 4.4641e+03
1.5000e-05, 4.2740e+03
1.6250e-05, 4.1064e+03
1.7500e-05, 3.9570e+03
1.8750e-05, 3.8228e+03
2.0000e-05, 3.7014e+03
2.1875e-05, 3.5392e+03
2.3750e-05, 3.3967e+03
2.5625e-05, 3.2700e+03
2.7500e-05, 3.1566e+03
2.9375e-05, 3.0542e+03
3.1250e-05, 2.9612e+03
3.3125e-05, 2.8761e+03
3.5000e-05, 2.7980e+03
3.8750e-05, 2.6592e+03
4.2500e-05, 2.5392e+03
4.6250e-05, 2.4341e+03
5.0000e-05, 2.3410e+03
5.3125e-05, 2.2711e+03
5.6250e-05, 2.2071e+03
5.9375e-05, 2.1483e+03
6.2500e-05, 2.0939e+03
6.8750e-05, 1.9964e+03
7.5000e-05, 1.9114e+03
8.1250e-05, 1.8365e+03
8.7500e-05, 1.7697e+03
9.3750e-05, 1.7097e+03
1.0000e-04, 1.6554e+03
1.0625e-04, 1.6060e+03
1.1250e-04, 1.5607e+03
1.1875e-04, 1.5191e+03
1.2500e-04, 1.4806e+03
1.3750e-04, 1.4117e+03
1.5000e-04, 1.3516e+03
1.6250e-04, 1.2986e+03
1.7500e-04, 1.2514e+03
1.8750e-04, 1.2090e+03
2.0000e-04, 1.1706e+03
2.1875e-04, 1.1193e+03
2.3750e-04, 1.0742e+03
2.5625e-04, 1.0342e+03
2.7500e-04, 9.9830e+02
2.9375e-04, 9.6592e+02
3.1250e-04, 9.3650e+02
3.3125e-04, 9.0961e+02
3.5000e-04, 8.8492e+02
3.8750e-04, 8.4102e+02
4.2500e-04, 8.0307e+02
4.6250e-04, 7.6984e+02
5.0000e-04, 7.4041e+02
5.3125e-04, 7.1831e+02
5.6250e-04, 6.9808e+02
5.9375e-04, 6.7947e+02
6.2500e-04, 6.6227e+02
6.8750e-04, 6.3147e+02
7.5000e-04, 6.0460e+02
8.1250e-04, 5.8089e+02
8.7500e-04, 5.5978e+02
9.3750e-04, 5.4081e+02
1.0000e-03, 5.2365e+02
1.0625e-03, 5.0802e+02
1.1250e-03, 4.9372e+02
1.1875e-03, 4.8057e+02
1.2500e-03, 4.6841e+02
1.3750e-03, 4.4663e+02
1.5000e-03, 4.2764e+02
1.6250e-03, 4.1088e+02
1.7500e-03, 3.9595e+02
1.8750e-03, 3.8254e+02
2.0000e-03, 3.7041e+02
2.1875e-03, 3.5421e+02
2.3750e-03, 3.3996e+02
2.5625e-03, 3.2731e+02
2.7500e-03, 3.1598e+02
2.9375e-03, 3.0575e+02
3.1250e-03, 2.9646e+02
3.3125e-03, 2.8797e+02
3.5000e-03, 2.8017e+02
3.8750e-03, 2.6630e+02
4.2500e-03, 2.5432e+02
4.6250e-03, 2.4382e+02
5.0000e-03, 2.3453e+02
5.3125e-03, 2.2755e+02
5.6250e-03, 2.2117e+02
5.9375e-03, 2.1529e+02
6.2500e-03, 2.0987e+02
6.8750e-03, 2.0015e+02
7.5000e-03, 1.9167e+02
8.1250e-03, 1.8419e+02
8.7500e-03, 1.7753e+02
9.3750e-03, 1.7154e+02
1.0000e-02, 1.6613e+02
1.0625e-02, 1.6121e+02
1.1250e-02, 1.5671e+02
1.1875e-02, 1.5257e+02
1.2500e-02, 1.4874e+02
1.3750e-02, 1.4189e+02
1.5000e-02, 1.3591e+02
1.6250e-02, 1.3064e+02
1.7500e-02, 1.2594e+02
1.8750e-02, 1.2172e+02
2.0000e-02, 1.1791e+02
2.1325e-02, 1.1424e+02
2.2650e-02, 1.1090e+02
2.3975e-02, 1.0785e+02
2.5300e-02, 1.0504e+02
2.6844e-02, 1.0204e+02
2.8387e-02, 9.9292e+01
3.1475e-02, 9.4415e+01
3.4563e-02, 9.0201e+01
3.7650e-02, 8.6517e+01
4.0738e-02, 8.3265e+01
4.3825e-02, 8.0368e+01
4.6913e-02, 7.7766e+01
5.0000e-02, 7.5412e+01
5.3125e-02, 7.3245e+01
5.6250e-02, 7.1265e+01
5.9375e-02, 6.9450e+01
6.2500e-02, 6.7778e+01
6.8750e-02, 6.4785e+01
7.5000e-02, 6.2171e+01
8.1250e-02, 5.9871e+01
8.7500e-02, 5.7829e+01
9.3750e-02, 5.6000e+01
1.0000e-01, 5.4351e+01
1.0625e-01, 5.2857e+01
1.1250e-01, 5.1501e+01
1.2500e-01, 4.9103e+01
1.3750e-01, 4.7043e+01
1.5000e-01, 4.5259e+01
1.6250e-01, 4.3696e+01
1.7500e-01, 4.2314e+01
1.8750e-01, 4.1083e+01
2.0000e-01, 3.9982e+01
2.1875e-01, 3.8524e+01
2.3750e-01, 3.7254e+01
2.5625e-01, 3.6142e+01
2.7500e-01, 3.5159e+01
2.9375e-01, 3.4285e+01
3.1250e-01, 3.3504e+01
3.3125e-01, 3.2803e+01
3.5000e-01, 3.2175e+01
3.8750e-01, 3.1085e+01
4.2500e-01, 3.0176e+01
5.0000e-01, 2.8786e+01
6.2500e-01, 2.7321e+01
7.5000e-01, 2.6555e+01
8.7500e-01, 2.6280e+01
1.0000e+00, 2.6383e+01
1.1250e+00, 2.6806e+01
1.2500e+00, 2.7534e+01
1.3750e+00, 2.8568e+01
1.5000e+00, 2.9928e+01
1.6250e+00, 3.1653e+01
1.7500e+00, 3.3800e+01
1.8750e+00, 3.6453e+01
2.0000e+00, 3.9724e+01
2.1157e+00, 4.3444e+01
2.2314e+00, 4.8012e+01
2.3471e+00, 5.3674e+01
2.4628e+00, 6.0779e+01
2.5785e+00, 6.9764e+01
2.6363e+00, 7.5176e+01
2.6942e+00, 8.1434e+01
2.7520e+00, 8.8651e+01
2.8099e+00, 9.7029e+01
2.8677e+00, 1.0683e+02
2.9255e+00, 1.1833e+02
2.9689e+00, 1.2835e+02
3.0123e+00, 1.3990e+02
3.0431e+00, 1.4916e+02
3.0738e+00, 1.5944e+02
3.1045e+00, 1.7091e+02
3.1352e+00, 1.8376e+02
3.1506e+00, 1.9077e+02
3.1660e+00, 1.9821e+02
3.1813e+00, 2.0611e+02
3.1967e+00, 2.1453e+02
3.2121e+00, 2.2350e+02
3.2274e+00, 2.3310e+02
3.2428e+00, 2.4336e+02
3.2582e+00, 2.5437e+02
3.2781e+00, 2.6981e+02
3.2979e+00, 2.8678e+02
3.3178e+00, 3.0548e+02
3.3377e+00, 3.2616e+02
3.3576e+00, 3.4911e+02
3.3775e+00, 3.7468e+02
3.3974e+00, 4.0327e+02
3.4172e+00, 4.3540e+02
3.4371e+00, 4.7168e+02
3.4570e+00, 5.1285e+02
3.4769e+00, 5.5985e+02
3.4968e+00, 6.1382e+02
3.5167e+00, 6.7623e+02
3.5366e+00, 7.4895e+02
3.5564e+00, 8.3438e+02
3.5763e+00, 9.3570e+02
3.5944e+00, 1.0451e+03
3.6125e+00, 1.1753e+03
3.6215e+00, 1.2499e+03
3.6306e+00, 1.3319e+03
3.6396e+00, 1.4225e+03
3.6486e+00, 1.5226e+03
3.6577e+00, 1.6339e+03
3.6667e+00, 1.7579e+03
3.6758e+00, 1.8967e+03
3.6848e+00, 2.0527e+03
3.6938e+00, 2.2288e+03
