ebin, xs
1.0000e-05, 2.5710e+02
1.0625e-05, 2.4943e+02
1.1250e-05, 2.4240e+02
1.1875e-05, 2.3593e+02
1.2500e-05, 2.2996e+02
1.3750e-05, 2.1926e+02
1.5000e-05, 2.0992e+02
1.6250e-05, 2.0169e+02
1.7500e-05, 1.9435e+02
1.8750e-05, 1.8776e+02
2.0000e-05, 1.8180e+02
2.1875e-05, 1.7383e+02
2.3750e-05, 1.6683e+02
2.5625e-05, 1.6061e+02
2.7500e-05, 1.5504e+02
2.9375e-05, 1.5001e+02
3.1250e-05, 1.4544e+02
3.3125e-05, 1.4126e+02
3.5000e-05, 1.3743e+02
3.8750e-05, 1.3061e+02
4.2500e-05, 1.2471e+02
4.6250e-05, 1.1955e+02
5.0000e-05, 1.1498e+02
5.3125e-05, 1.1155e+02
5.6250e-05, 1.0841e+02
5.9375e-05, 1.0551e+02
6.2500e-05, 1.0284e+02
6.8750e-05, 9.8057e+01
7.5000e-05, 9.3882e+01
8.1250e-05, 9.0200e+01
8.7500e-05, 8.6919e+01
9.3750e-05, 8.3971e+01
1.0000e-04, 8.1305e+01
1.0625e-04, 7.8878e+01
1.1250e-04, 7.6655e+01
1.1875e-04, 7.4611e+01
1.2500e-04, 7.2722e+01
1.3750e-04, 6.9338e+01
1.5000e-04, 6.6386e+01
1.6250e-04, 6.3782e+01
1.7500e-04, 6.1462e+01
1.8750e-04, 5.9378e+01
2.0000e-04, 5.7493e+01
2.1875e-04, 5.4974e+01
2.3750e-04, 5.2759e+01
2.5625e-04, 5.0792e+01
2.7500e-04, 4.9030e+01
2.9375e-04, 4.7440e+01
3.1250e-04, 4.5995e+01
3.3125e-04, 4.4674e+01
3.5000e-04, 4.3461e+01
3.8750e-04, 4.1305e+01
4.2500e-04, 3.9441e+01
4.6250e-04, 3.7808e+01
5.0000e-04, 3.6363e+01
5.3125e-04, 3.5278e+01
5.6250e-04, 3.4284e+01
5.9375e-04, 3.3369e+01
6.2500e-04, 3.2525e+01
6.8750e-04, 3.1011e+01
7.5000e-04, 2.9691e+01
8.1250e-04, 2.8527e+01
8.7500e-04, 2.7489e+01
9.3750e-04, 2.6558e+01
1.0000e-03, 2.5715e+01
1.0625e-03, 2.4947e+01
1.1250e-03, 2.4245e+01
1.1875e-03, 2.3598e+01
1.2500e-03, 2.3001e+01
1.3750e-03, 2.1931e+01
1.5000e-03, 2.0998e+01
1.6250e-03, 2.0175e+01
1.7500e-03, 1.9441e+01
1.8750e-03, 1.8782e+01
2.0000e-03, 1.8186e+01
2.1875e-03, 1.7390e+01
2.3750e-03, 1.6690e+01
2.5625e-03, 1.6068e+01
2.7500e-03, 1.5511e+01
2.9375e-03, 1.5009e+01
3.1250e-03, 1.4552e+01
3.3125e-03, 1.4135e+01
3.5000e-03, 1.3751e+01
3.8750e-03, 1.3070e+01
4.2500e-03, 1.2481e+01
4.6250e-03, 1.1965e+01
5.0000e-03, 1.1508e+01
5.3125e-03, 1.1165e+01
5.6250e-03, 1.0851e+01
5.9375e-03, 1.0562e+01
6.2500e-03, 1.0295e+01
6.8750e-03, 9.8174e+00
7.5000e-03, 9.4004e+00
8.1250e-03, 9.0324e+00
8.7500e-03, 8.7045e+00
9.3750e-03, 8.4100e+00
1.0000e-02, 8.1436e+00
1.0625e-02, 7.9013e+00
1.1250e-02, 7.6797e+00
1.1875e-02, 7.4759e+00
1.2500e-02, 7.2877e+00
1.3750e-02, 6.9504e+00
1.5000e-02, 6.6559e+00
1.6250e-02, 6.3959e+00
1.7500e-02, 6.1643e+00
1.8750e-02, 5.9564e+00
2.0000e-02, 5.7683e+00
2.1325e-02, 5.5874e+00
2.2650e-02, 5.4227e+00
2.3975e-02, 5.2719e+00
2.5300e-02, 5.1333e+00
2.6844e-02, 4.9852e+00
2.8387e-02, 4.8496e+00
3.1475e-02, 4.6086e+00
3.4563e-02, 4.4001e+00
3.7650e-02, 4.2178e+00
4.0738e-02, 4.0568e+00
4.3825e-02, 3.9132e+00
4.6913e-02, 3.7842e+00
5.0000e-02, 3.6674e+00
5.3125e-02, 3.5598e+00
5.6250e-02, 3.4613e+00
5.9375e-02, 3.3710e+00
6.2500e-02, 3.2879e+00
6.8750e-02, 3.1388e+00
7.5000e-02, 3.0084e+00
8.1250e-02, 2.8934e+00
8.7500e-02, 2.7912e+00
9.3750e-02, 2.6995e+00
1.0000e-01, 2.6167e+00
1.0625e-01, 2.5414e+00
1.1250e-01, 2.4726e+00
1.1875e-01, 2.4095e+00
1.2500e-01, 2.3516e+00
1.3750e-01, 2.2477e+00
1.5000e-01, 2.1569e+00
1.6250e-01, 2.0771e+00
1.7500e-01, 2.0062e+00
1.8750e-01, 1.9428e+00
2.0000e-01, 1.8859e+00
2.1875e-01, 1.8100e+00
2.3750e-01, 1.7435e+00
2.5625e-01, 1.6848e+00
2.7500e-01, 1.6325e+00
2.9375e-01, 1.5856e+00
3.1250e-01, 1.5433e+00
3.3125e-01, 1.5049e+00
3.5000e-01, 1.4701e+00
3.8750e-01, 1.4087e+00
4.2500e-01, 1.3563e+00
5.0000e-01, 1.2721e+00
6.2500e-01, 1.1728e+00
7.5000e-01, 1.1057e+00
8.7500e-01, 1.0598e+00
1.0000e+00, 1.0286e+00
1.1250e+00, 1.0084e+00
1.2500e+00, 9.9722e-01
1.3750e+00, 9.9358e-01
1.5000e+00, 9.9666e-01
1.7500e+00, 1.0214e+00
2.0000e+00, 1.0702e+00
2.1875e+00, 1.1235e+00
2.3750e+00, 1.1934e+00
2.5625e+00, 1.2830e+00
2.7500e+00, 1.3966e+00
2.9375e+00, 1.5407e+00
3.1250e+00, 1.7245e+00
3.3125e+00, 1.9602e+00
3.4062e+00, 2.1035e+00
3.5000e+00, 2.2692e+00
3.5938e+00, 2.4610e+00
3.6875e+00, 2.6844e+00
3.7812e+00, 2.9465e+00
3.8750e+00, 3.2568e+00
3.9688e+00, 3.6275e+00
4.0625e+00, 4.0754e+00
4.1562e+00, 4.6236e+00
4.2500e+00, 5.3043e+00
4.3203e+00, 5.9272e+00
4.3906e+00, 6.6660e+00
4.4609e+00, 7.5787e+00
4.5312e+00, 8.7081e+00
4.6016e+00, 1.0128e+01
4.6367e+00, 1.0980e+01
4.6719e+00, 1.1950e+01
4.7070e+00, 1.3060e+01
4.7422e+00, 1.4340e+01
4.7773e+00, 1.5827e+01
4.8125e+00, 1.7567e+01
4.8594e+00, 2.0387e+01
4.9062e+00, 2.3946e+01
4.9297e+00, 2.6097e+01
4.9531e+00, 2.8571e+01
4.9766e+00, 3.1436e+01
5.0000e+00, 3.4773e+01
5.0209e+00, 3.8229e+01
5.0418e+00, 4.2239e+01
5.0627e+00, 4.6924e+01
5.0835e+00, 5.2443e+01
5.1044e+00, 5.9011e+01
5.1149e+00, 6.2779e+01
5.1253e+00, 6.6930e+01
5.1358e+00, 7.1522e+01
5.1462e+00, 7.6622e+01
5.1514e+00, 7.9386e+01
5.1567e+00, 8.2308e+01
5.1619e+00, 8.5401e+01
5.1671e+00, 8.8677e+01
5.1731e+00, 9.2667e+01
5.1760e+00, 9.4767e+01
5.1790e+00, 9.6941e+01
5.1820e+00, 9.9194e+01
5.1850e+00, 1.0153e+02
5.1880e+00, 1.0395e+02
5.1910e+00, 1.0646e+02
5.1944e+00, 1.0945e+02
5.1967e+00, 1.1158e+02
5.1991e+00, 1.1377e+02
5.2014e+00, 1.1604e+02
5.2038e+00, 1.1837e+02
5.2084e+00, 1.2326e+02
5.2131e+00, 1.2847e+02
5.2168e+00, 1.3274e+02
5.2204e+00, 1.3723e+02
5.2240e+00, 1.4196e+02
5.2276e+00, 1.4695e+02
5.2312e+00, 1.5222e+02
5.2349e+00, 1.5779e+02
5.2385e+00, 1.6368e+02
5.2421e+00, 1.6993e+02
5.2468e+00, 1.7860e+02
5.2515e+00, 1.8797e+02
5.2562e+00, 1.9816e+02
5.2609e+00, 2.0924e+02
5.2656e+00, 2.2135e+02
5.2702e+00, 2.3462e+02
5.2749e+00, 2.4923e+02
5.2796e+00, 2.6537e+02
5.2843e+00, 2.8329e+02
5.2890e+00, 3.0331e+02
5.2937e+00, 3.2581e+02
5.2984e+00, 3.5125e+02
5.3031e+00, 3.8025e+02
5.3078e+00, 4.1359e+02
5.3125e+00, 4.5224e+02
5.3171e+00, 4.9744e+02
5.3218e+00, 5.5081e+02
5.3242e+00, 5.8117e+02
5.3265e+00, 6.1435e+02
5.3289e+00, 6.5070e+02
5.3312e+00, 6.9057e+02
5.3335e+00, 7.3440e+02
5.3359e+00, 7.8261e+02
5.3382e+00, 8.3572e+02
5.3406e+00, 8.9425e+02
5.3429e+00, 9.5883e+02
5.3453e+00, 1.0301e+03
5.3476e+00, 1.1087e+03
5.3500e+00, 1.1954e+03
5.3523e+00, 1.2909e+03
5.3546e+00, 1.3962e+03
5.3570e+00, 1.5121e+03
5.3593e+00, 1.6394e+03
5.3617e+00, 1.7791e+03
5.3640e+00, 1.9321e+03
5.3664e+00, 2.0993e+03
5.3687e+00, 2.2815e+03
5.3734e+00, 2.6946e+03
5.3781e+00, 3.1773e+03
5.3828e+00, 3.7340e+03
5.3875e+00, 4.3663e+03
5.3922e+00, 5.0728e+03
5.3986e+00, 6.1455e+03
5.4049e+00, 7.3182e+03
5.4177e+00, 9.7704e+03
5.4271e+00, 1.1409e+04
5.4318e+00, 1.2092e+04
5.4365e+00, 1.2648e+04
5.4432e+00, 1.3180e+04
5.4500e+00, 1.3352e+04
5.4556e+00, 1.3210e+04
5.4612e+00, 1.2819e+04
5.4668e+00, 1.2205e+04
5.4724e+00, 1.1405e+04
5.4785e+00, 1.0374e+04
5.4846e+00, 9.2426e+03
5.4967e+00, 6.9221e+03
5.5026e+00, 5.8840e+03
5.5084e+00, 4.9345e+03
5.5142e+00, 4.0914e+03
5.5200e+00, 3.3624e+03
5.5258e+00, 2.7465e+03
5.5287e+00, 2.4791e+03
5.5316e+00, 2.2369e+03
5.5345e+00, 2.0185e+03
5.5374e+00, 1.8224e+03
5.5404e+00, 1.6468e+03
5.5433e+00, 1.4900e+03
5.5482e+00, 1.2603e+03
5.5532e+00, 1.0730e+03
5.5582e+00, 9.2057e+02
5.5632e+00, 7.9664e+02
5.5682e+00, 6.9563e+02
5.5732e+00, 6.1292e+02
5.5782e+00, 5.4477e+02
5.5831e+00, 4.8815e+02
5.5881e+00, 4.4066e+02
5.5931e+00, 4.0045e+02
5.5981e+00, 3.6606e+02
5.6031e+00, 3.3638e+02
5.6081e+00, 3.1051e+02
5.6130e+00, 2.8779e+02
5.6230e+00, 2.4978e+02
5.6319e+00, 2.2235e+02
5.6407e+00, 1.9944e+02
5.6496e+00, 1.8004e+02
5.6584e+00, 1.6344e+02
5.6673e+00, 1.4911e+02
5.6762e+00, 1.3664e+02
5.6850e+00, 1.2570e+02
5.6939e+00, 1.1606e+02
5.7116e+00, 9.9859e+01
5.7293e+00, 8.6858e+01
5.7471e+00, 7.6252e+01
5.7648e+00, 6.7483e+01
5.7814e+00, 6.0572e+01
5.7980e+00, 5.4673e+01
5.8146e+00, 4.9599e+01
5.8312e+00, 4.5201e+01
5.8478e+00, 4.1367e+01
5.8644e+00, 3.8005e+01
5.8977e+00, 3.2411e+01
5.9309e+00, 2.7962e+01
5.9641e+00, 2.4356e+01
5.9974e+00, 2.1397e+01
6.0306e+00, 1.8942e+01
6.0616e+00, 1.7011e+01
6.0926e+00, 1.5358e+01
6.1236e+00, 1.3934e+01
6.1546e+00, 1.2697e+01
6.1856e+00, 1.1616e+01
6.2166e+00, 1.0666e+01
6.2787e+00, 9.0855e+00
6.3407e+00, 7.8383e+00
6.4027e+00, 6.8224e+00
6.4647e+00, 5.9865e+00
6.5268e+00, 5.2937e+00
6.5755e+00, 4.8294e+00
6.6242e+00, 4.4229e+00
6.6730e+00, 4.0651e+00
6.7217e+00, 3.7485e+00
6.8191e+00, 3.2157e+00
6.9166e+00, 2.7878e+00
7.0141e+00, 2.4391e+00
7.1115e+00, 2.1512e+00
7.2090e+00, 1.9110e+00
7.3065e+00, 1.7099e+00
7.4039e+00, 1.5398e+00
7.5014e+00, 1.3915e+00
7.5989e+00, 1.2629e+00
7.6963e+00, 1.1521e+00
7.7938e+00, 1.0551e+00
7.8912e+00, 9.6925e-01
8.0862e+00, 8.2701e-01
8.2811e+00, 7.1356e-01
8.4760e+00, 6.2217e-01
8.6710e+00, 5.4741e-01
8.8659e+00, 4.8536e-01
9.0076e+00, 4.4676e-01
9.1494e+00, 4.1288e-01
9.4329e+00, 3.5583e-01
9.7165e+00, 3.0993e-01
1.0000e+01, 2.7267e-01
1.0312e+01, 2.3918e-01
1.0625e+01, 2.1178e-01
1.0938e+01, 1.8911e-01
1.1250e+01, 1.7014e-01
1.1562e+01, 1.5412e-01
1.1875e+01, 1.4048e-01
1.2188e+01, 1.2878e-01
1.2500e+01, 1.1866e-01
1.2812e+01, 1.0987e-01
1.3125e+01, 1.0221e-01
1.3750e+01, 8.9518e-02
1.4375e+01, 7.9524e-02
1.5000e+01, 7.1567e-02
1.5625e+01, 6.5160e-02
1.6250e+01, 5.9961e-02
1.6875e+01, 5.5718e-02
1.7500e+01, 5.2251e-02
1.8125e+01, 4.9423e-02
1.8750e+01, 4.7142e-02
2.0000e+01, 4.3918e-02
2.1224e+01, 4.2234e-02
2.2448e+01, 4.1922e-02
2.3078e+01, 4.2345e-02
2.3709e+01, 4.3255e-02
2.4340e+01, 4.4763e-02
2.4971e+01, 4.7073e-02
2.5602e+01, 5.0552e-02
2.6233e+01, 5.5742e-02
2.6549e+01, 5.9458e-02
2.6864e+01, 6.4287e-02
2.7180e+01, 7.0743e-02
2.7338e+01, 7.4678e-02
2.7495e+01, 7.9441e-02
2.7648e+01, 8.5064e-02
2.7801e+01, 9.1913e-02
2.7954e+01, 1.0040e-01
2.8107e+01, 1.1113e-01
2.8260e+01, 1.2487e-01
2.8337e+01, 1.3331e-01
2.8413e+01, 1.4319e-01
2.8490e+01, 1.5483e-01
2.8566e+01, 1.6865e-01
2.8643e+01, 1.8525e-01
2.8719e+01, 2.0547e-01
2.8786e+01, 2.2703e-01
2.8853e+01, 2.5329e-01
2.8920e+01, 2.8573e-01
2.8987e+01, 3.2662e-01
2.9020e+01, 3.5129e-01
2.9054e+01, 3.7949e-01
2.9087e+01, 4.1197e-01
2.9121e+01, 4.4965e-01
