ebin, xs
1.0000e-05, 2.2478e+03
1.0625e-05, 2.1807e+03
1.1250e-05, 2.1192e+03
1.1875e-05, 2.0627e+03
1.2500e-05, 2.0105e+03
1.3750e-05, 1.9169e+03
1.5000e-05, 1.8353e+03
1.6250e-05, 1.7633e+03
1.7500e-05, 1.6992e+03
1.8750e-05, 1.6415e+03
2.0000e-05, 1.5894e+03
2.1875e-05, 1.5198e+03
2.3750e-05, 1.4586e+03
2.5625e-05, 1.4042e+03
2.7500e-05, 1.3555e+03
2.9375e-05, 1.3115e+03
3.1250e-05, 1.2715e+03
3.3125e-05, 1.2350e+03
3.5000e-05, 1.2015e+03
3.8750e-05, 1.1419e+03
4.2500e-05, 1.0903e+03
4.6250e-05, 1.0452e+03
5.0000e-05, 1.0052e+03
5.3125e-05, 9.7522e+02
5.6250e-05, 9.4775e+02
5.9375e-05, 9.2247e+02
6.2500e-05, 8.9911e+02
6.8750e-05, 8.5727e+02
7.5000e-05, 8.2077e+02
8.1250e-05, 7.8857e+02
8.7500e-05, 7.5989e+02
9.3750e-05, 7.3412e+02
1.0000e-04, 7.1081e+02
1.0625e-04, 6.8959e+02
1.1250e-04, 6.7016e+02
1.1875e-04, 6.5228e+02
1.2500e-04, 6.3577e+02
1.3750e-04, 6.0618e+02
1.5000e-04, 5.8037e+02
1.6250e-04, 5.5761e+02
1.7500e-04, 5.3732e+02
1.8750e-04, 5.1910e+02
2.0000e-04, 5.0262e+02
2.1875e-04, 4.8060e+02
2.3750e-04, 4.6123e+02
2.5625e-04, 4.4404e+02
2.7500e-04, 4.2863e+02
2.9375e-04, 4.1473e+02
3.1250e-04, 4.0210e+02
3.3125e-04, 3.9055e+02
3.5000e-04, 3.7994e+02
3.8750e-04, 3.6109e+02
4.2500e-04, 3.4479e+02
4.6250e-04, 3.3052e+02
5.0000e-04, 3.1788e+02
5.3125e-04, 3.0839e+02
5.6250e-04, 2.9970e+02
5.9375e-04, 2.9171e+02
6.2500e-04, 2.8432e+02
6.8750e-04, 2.7109e+02
7.5000e-04, 2.5955e+02
8.1250e-04, 2.4937e+02
8.7500e-04, 2.4030e+02
9.3750e-04, 2.3215e+02
1.0000e-03, 2.2478e+02
1.0625e-03, 2.1807e+02
1.1250e-03, 2.1192e+02
1.1875e-03, 2.0627e+02
1.2500e-03, 2.0105e+02
1.3750e-03, 1.9169e+02
1.5000e-03, 1.8353e+02
1.6250e-03, 1.7633e+02
1.7500e-03, 1.6992e+02
1.8750e-03, 1.6416e+02
2.0000e-03, 1.5894e+02
2.1875e-03, 1.5198e+02
2.3750e-03, 1.4586e+02
2.5625e-03, 1.4042e+02
2.7500e-03, 1.3555e+02
2.9375e-03, 1.3115e+02
3.1250e-03, 1.2716e+02
3.3125e-03, 1.2350e+02
3.5000e-03, 1.2015e+02
3.8750e-03, 1.1419e+02
4.2500e-03, 1.0903e+02
4.6250e-03, 1.0452e+02
5.0000e-03, 1.0052e+02
5.3125e-03, 9.7523e+01
5.6250e-03, 9.4775e+01
5.9375e-03, 9.2247e+01
6.2500e-03, 8.9911e+01
6.8750e-03, 8.5727e+01
7.5000e-03, 8.2077e+01
8.1250e-03, 7.8856e+01
8.7500e-03, 7.5988e+01
9.3750e-03, 7.3411e+01
1.0000e-02, 7.1080e+01
1.0625e-02, 6.8958e+01
1.1250e-02, 6.7015e+01
1.1875e-02, 6.5228e+01
1.2500e-02, 6.3577e+01
1.3750e-02, 6.0618e+01
1.5000e-02, 5.8037e+01
1.6250e-02, 5.5760e+01
1.7500e-02, 5.3731e+01
1.8750e-02, 5.1908e+01
2.0000e-02, 5.0260e+01
2.1325e-02, 4.8673e+01
2.2650e-02, 4.7228e+01
2.3975e-02, 4.5906e+01
2.5300e-02, 4.4688e+01
2.6844e-02, 4.3386e+01
2.8387e-02, 4.2191e+01
3.1475e-02, 4.0070e+01
3.4563e-02, 3.8238e+01
3.7650e-02, 3.6636e+01
4.0738e-02, 3.5219e+01
4.3825e-02, 3.3954e+01
4.6913e-02, 3.2817e+01
5.0000e-02, 3.1787e+01
5.3125e-02, 3.0838e+01
5.6250e-02, 2.9970e+01
5.9375e-02, 2.9172e+01
6.2500e-02, 2.8434e+01
6.8750e-02, 2.7113e+01
7.5000e-02, 2.5958e+01
8.1250e-02, 2.4939e+01
8.7500e-02, 2.4031e+01
9.3750e-02, 2.3215e+01
1.0000e-01, 2.2477e+01
1.0625e-01, 2.1806e+01
1.1250e-01, 2.1192e+01
1.1875e-01, 2.0628e+01
1.2500e-01, 2.0107e+01
1.3750e-01, 1.9173e+01
1.5000e-01, 1.8357e+01
1.6250e-01, 1.7636e+01
1.7500e-01, 1.6994e+01
1.8750e-01, 1.6418e+01
2.0000e-01, 1.5898e+01
2.1875e-01, 1.5202e+01
2.3750e-01, 1.4589e+01
2.5625e-01, 1.4045e+01
2.7500e-01, 1.3557e+01
2.9375e-01, 1.3117e+01
3.1250e-01, 1.2717e+01
3.3125e-01, 1.2353e+01
3.5000e-01, 1.2020e+01
3.8750e-01, 1.1425e+01
4.2500e-01, 1.0909e+01
5.0000e-01, 1.0060e+01
6.2500e-01, 8.9988e+00
7.5000e-01, 8.2142e+00
8.7500e-01, 7.6073e+00
1.0000e+00, 7.1182e+00
