ebin, xs
1.0000e-05, 1.5011e+03
1.0625e-05, 1.4563e+03
1.1250e-05, 1.4152e+03
1.1875e-05, 1.3775e+03
1.2500e-05, 1.3426e+03
1.3750e-05, 1.2801e+03
1.5000e-05, 1.2256e+03
1.6250e-05, 1.1776e+03
1.7500e-05, 1.1347e+03
1.8750e-05, 1.0962e+03
2.0000e-05, 1.0614e+03
2.1875e-05, 1.0149e+03
2.3750e-05, 9.7404e+02
2.5625e-05, 9.3772e+02
2.7500e-05, 9.0519e+02
2.9375e-05, 8.7582e+02
3.1250e-05, 8.4914e+02
3.3125e-05, 8.2476e+02
3.5000e-05, 8.0236e+02
3.8750e-05, 7.6255e+02
4.2500e-05, 7.2813e+02
4.6250e-05, 6.9799e+02
5.0000e-05, 6.7130e+02
5.3125e-05, 6.5126e+02
5.6250e-05, 6.3291e+02
5.9375e-05, 6.1603e+02
6.2500e-05, 6.0043e+02
6.8750e-05, 5.7249e+02
7.5000e-05, 5.4811e+02
8.1250e-05, 5.2661e+02
8.7500e-05, 5.0745e+02
9.3750e-05, 4.9025e+02
1.0000e-04, 4.7468e+02
1.0625e-04, 4.6051e+02
1.1250e-04, 4.4753e+02
1.1875e-04, 4.3559e+02
1.2500e-04, 4.2456e+02
1.3750e-04, 4.0480e+02
1.5000e-04, 3.8757e+02
1.6250e-04, 3.7236e+02
1.7500e-04, 3.5882e+02
1.8750e-04, 3.4665e+02
2.0000e-04, 3.3564e+02
2.1875e-04, 3.2093e+02
2.3750e-04, 3.0800e+02
2.5625e-04, 2.9652e+02
2.7500e-04, 2.8623e+02
2.9375e-04, 2.7694e+02
3.1250e-04, 2.6850e+02
3.3125e-04, 2.6079e+02
3.5000e-04, 2.5371e+02
3.8750e-04, 2.4112e+02
4.2500e-04, 2.3023e+02
4.6250e-04, 2.2070e+02
5.0000e-04, 2.1226e+02
5.3125e-04, 2.0592e+02
5.6250e-04, 2.0012e+02
5.9375e-04, 1.9478e+02
6.2500e-04, 1.8985e+02
6.8750e-04, 1.8101e+02
7.5000e-04, 1.7330e+02
8.1250e-04, 1.6650e+02
8.7500e-04, 1.6044e+02
9.3750e-04, 1.5500e+02
1.0000e-03, 1.5007e+02
1.0625e-03, 1.4559e+02
1.1250e-03, 1.4149e+02
1.1875e-03, 1.3771e+02
1.2500e-03, 1.3422e+02
1.3750e-03, 1.2797e+02
1.5000e-03, 1.2252e+02
1.6250e-03, 1.1771e+02
1.7500e-03, 1.1342e+02
1.8750e-03, 1.0957e+02
2.0000e-03, 1.0609e+02
2.1875e-03, 1.0144e+02
2.3750e-03, 9.7347e+01
2.5625e-03, 9.3714e+01
2.7500e-03, 9.0459e+01
2.9375e-03, 8.7521e+01
3.1250e-03, 8.4851e+01
3.3125e-03, 8.2411e+01
3.5000e-03, 8.0170e+01
3.8750e-03, 7.6185e+01
4.2500e-03, 7.2739e+01
4.6250e-03, 6.9721e+01
5.0000e-03, 6.7049e+01
5.3125e-03, 6.5041e+01
5.6250e-03, 6.3204e+01
5.9375e-03, 6.1514e+01
6.2500e-03, 5.9952e+01
6.8750e-03, 5.7153e+01
7.5000e-03, 5.4711e+01
8.1250e-03, 5.2556e+01
8.7500e-03, 5.0635e+01
9.3750e-03, 4.8909e+01
1.0000e-02, 4.7348e+01
1.0625e-02, 4.5928e+01
1.1250e-02, 4.4628e+01
1.1875e-02, 4.3432e+01
1.2500e-02, 4.2327e+01
1.3750e-02, 4.0346e+01
1.5000e-02, 3.8616e+01
1.6250e-02, 3.7089e+01
1.7500e-02, 3.5727e+01
1.8750e-02, 3.4504e+01
2.0000e-02, 3.3397e+01
2.1325e-02, 3.2332e+01
2.2650e-02, 3.1361e+01
2.3975e-02, 3.0472e+01
2.5300e-02, 2.9653e+01
2.6844e-02, 2.8777e+01
2.8387e-02, 2.7974e+01
2.9931e-02, 2.7234e+01
3.1475e-02, 2.6549e+01
3.4563e-02, 2.5319e+01
3.7650e-02, 2.4240e+01
4.0738e-02, 2.3284e+01
4.3825e-02, 2.2431e+01
4.6913e-02, 2.1663e+01
5.0000e-02, 2.0967e+01
5.3125e-02, 2.0325e+01
5.6250e-02, 1.9737e+01
5.9375e-02, 1.9197e+01
6.2500e-02, 1.8699e+01
6.8750e-02, 1.7804e+01
7.5000e-02, 1.7019e+01
8.1250e-02, 1.6325e+01
8.7500e-02, 1.5707e+01
9.3750e-02, 1.5151e+01
1.0000e-01, 1.4647e+01
1.0625e-01, 1.4188e+01
1.1250e-01, 1.3767e+01
1.1875e-01, 1.3380e+01
1.2500e-01, 1.3024e+01
1.3750e-01, 1.2383e+01
1.5000e-01, 1.1819e+01
1.6250e-01, 1.1321e+01
1.7500e-01, 1.0876e+01
1.8750e-01, 1.0476e+01
2.0000e-01, 1.0115e+01
2.1875e-01, 9.6297e+00
2.3750e-01, 9.2007e+00
2.5625e-01, 8.8187e+00
2.7500e-01, 8.4755e+00
2.9375e-01, 8.1649e+00
3.1250e-01, 7.8819e+00
3.3125e-01, 7.6227e+00
3.5000e-01, 7.3841e+00
3.6875e-01, 7.1634e+00
3.8750e-01, 6.9596e+00
4.2500e-01, 6.5910e+00
5.0000e-01, 5.9775e+00
5.6250e-01, 5.5606e+00
6.2500e-01, 5.2050e+00
7.5000e-01, 4.6291e+00
8.7500e-01, 4.1800e+00
1.0000e+00, 3.8169e+00
1.1250e+00, 3.5148e+00
1.2500e+00, 3.2596e+00
1.5000e+00, 2.8504e+00
1.7500e+00, 2.5364e+00
2.0000e+00, 2.2873e+00
2.1875e+00, 2.1317e+00
2.3750e+00, 1.9979e+00
2.7500e+00, 1.7794e+00
3.1250e+00, 1.6098e+00
3.5000e+00, 1.4766e+00
3.8750e+00, 1.3710e+00
4.2500e+00, 1.2873e+00
4.6250e+00, 1.2212e+00
5.0000e+00, 1.1701e+00
5.6250e+00, 1.1122e+00
6.2500e+00, 1.0833e+00
6.8750e+00, 1.0808e+00
7.5000e+00, 1.1042e+00
