ebin, xs
1.0000e-05, 2.2674e+01
1.0625e-05, 2.1997e+01
1.1250e-05, 2.1377e+01
1.1875e-05, 2.0807e+01
1.2500e-05, 2.0280e+01
1.3750e-05, 1.9336e+01
1.5000e-05, 1.8513e+01
1.6250e-05, 1.7787e+01
1.7500e-05, 1.7140e+01
1.8750e-05, 1.6559e+01
2.0000e-05, 1.6033e+01
2.1875e-05, 1.5330e+01
2.3750e-05, 1.4713e+01
2.5625e-05, 1.4164e+01
2.7500e-05, 1.3673e+01
2.9375e-05, 1.3229e+01
3.1250e-05, 1.2826e+01
3.3125e-05, 1.2458e+01
3.5000e-05, 1.2120e+01
3.8750e-05, 1.1518e+01
4.2500e-05, 1.0998e+01
4.6250e-05, 1.0543e+01
5.0000e-05, 1.0140e+01
5.3125e-05, 9.8372e+00
5.6250e-05, 9.5601e+00
5.9375e-05, 9.3051e+00
6.2500e-05, 9.0695e+00
6.8750e-05, 8.6474e+00
7.5000e-05, 8.2793e+00
8.1250e-05, 7.9545e+00
8.7500e-05, 7.6651e+00
9.3750e-05, 7.4052e+00
1.0000e-04, 7.1701e+00
1.0625e-04, 6.9560e+00
1.1250e-04, 6.7600e+00
1.1875e-04, 6.5797e+00
1.2500e-04, 6.4131e+00
1.3750e-04, 6.1146e+00
1.5000e-04, 5.8543e+00
1.6250e-04, 5.6247e+00
1.7500e-04, 5.4201e+00
1.8750e-04, 5.2363e+00
2.0000e-04, 5.0700e+00
2.1875e-04, 4.8478e+00
2.3750e-04, 4.6525e+00
2.5625e-04, 4.4791e+00
2.7500e-04, 4.3237e+00
2.9375e-04, 4.1834e+00
3.1250e-04, 4.0560e+00
3.3125e-04, 3.9395e+00
3.5000e-04, 3.8325e+00
3.8750e-04, 3.6424e+00
4.2500e-04, 3.4780e+00
4.6250e-04, 3.3340e+00
5.0000e-04, 3.2065e+00
5.3125e-04, 3.1108e+00
5.6250e-04, 3.0231e+00
5.9375e-04, 2.9425e+00
6.2500e-04, 2.8680e+00
6.8750e-04, 2.7345e+00
7.5000e-04, 2.6181e+00
8.1250e-04, 2.5154e+00
8.7500e-04, 2.4239e+00
9.3750e-04, 2.3417e+00
1.0000e-03, 2.2673e+00
1.0625e-03, 2.1996e+00
1.1250e-03, 2.1377e+00
1.1875e-03, 2.0807e+00
1.2500e-03, 2.0280e+00
1.3750e-03, 1.9336e+00
1.5000e-03, 1.8513e+00
1.6250e-03, 1.7787e+00
1.7500e-03, 1.7140e+00
1.8750e-03, 1.6558e+00
2.0000e-03, 1.6033e+00
2.1875e-03, 1.5330e+00
2.3750e-03, 1.4712e+00
2.5625e-03, 1.4164e+00
2.7500e-03, 1.3673e+00
2.9375e-03, 1.3229e+00
3.1250e-03, 1.2826e+00
3.3125e-03, 1.2458e+00
3.5000e-03, 1.2120e+00
3.8750e-03, 1.1518e+00
4.2500e-03, 1.0998e+00
4.6250e-03, 1.0543e+00
