ebin, xs
1.0000e-05, 6.4331e+01
1.0625e-05, 6.2410e+01
1.1250e-05, 6.0652e+01
1.1875e-05, 5.9034e+01
1.2500e-05, 5.7539e+01
1.3750e-05, 5.4861e+01
1.5000e-05, 5.2526e+01
1.6250e-05, 5.0465e+01
1.7500e-05, 4.8630e+01
1.8750e-05, 4.6981e+01
2.0000e-05, 4.5489e+01
2.1875e-05, 4.3496e+01
2.3750e-05, 4.1743e+01
2.5625e-05, 4.0187e+01
2.7500e-05, 3.8793e+01
2.9375e-05, 3.7534e+01
3.1250e-05, 3.6391e+01
3.3125e-05, 3.5346e+01
3.5000e-05, 3.4386e+01
3.8750e-05, 3.2680e+01
4.2500e-05, 3.1205e+01
4.6250e-05, 2.9913e+01
5.0000e-05, 2.8770e+01
5.3125e-05, 2.7911e+01
5.6250e-05, 2.7124e+01
5.9375e-05, 2.6401e+01
6.2500e-05, 2.5732e+01
6.8750e-05, 2.4535e+01
7.5000e-05, 2.3490e+01
8.1250e-05, 2.2569e+01
8.7500e-05, 2.1748e+01
9.3750e-05, 2.1010e+01
1.0000e-04, 2.0343e+01
1.0625e-04, 1.9736e+01
1.1250e-04, 1.9180e+01
1.1875e-04, 1.8668e+01
1.2500e-04, 1.8195e+01
1.3750e-04, 1.7349e+01
1.5000e-04, 1.6610e+01
1.6250e-04, 1.5958e+01
1.7500e-04, 1.5378e+01
1.8750e-04, 1.4857e+01
2.0000e-04, 1.4385e+01
2.1875e-04, 1.3754e+01
2.3750e-04, 1.3200e+01
2.5625e-04, 1.2708e+01
2.7500e-04, 1.2267e+01
2.9375e-04, 1.1869e+01
3.1250e-04, 1.1508e+01
3.3125e-04, 1.1177e+01
3.5000e-04, 1.0874e+01
3.8750e-04, 1.0334e+01
4.2500e-04, 9.8678e+00
4.6250e-04, 9.4593e+00
5.0000e-04, 9.0977e+00
5.3125e-04, 8.8260e+00
5.6250e-04, 8.5774e+00
5.9375e-04, 8.3486e+00
6.2500e-04, 8.1372e+00
6.8750e-04, 7.7585e+00
7.5000e-04, 7.4282e+00
