ebin, xs
1.0000e-05, 4.9766e+02
1.0625e-05, 4.8280e+02
1.1250e-05, 4.6920e+02
1.1875e-05, 4.5668e+02
1.2500e-05, 4.4512e+02
1.3750e-05, 4.2441e+02
1.5000e-05, 4.0634e+02
1.6250e-05, 3.9040e+02
1.7500e-05, 3.7620e+02
1.8750e-05, 3.6344e+02
2.0000e-05, 3.5190e+02
2.1875e-05, 3.3648e+02
2.3750e-05, 3.2292e+02
2.5625e-05, 3.1089e+02
2.7500e-05, 3.0010e+02
2.9375e-05, 2.9036e+02
3.1250e-05, 2.8152e+02
3.3125e-05, 2.7344e+02
3.5000e-05, 2.6601e+02
3.8750e-05, 2.5281e+02
4.2500e-05, 2.4140e+02
4.6250e-05, 2.3141e+02
5.0000e-05, 2.2256e+02
5.3125e-05, 2.1592e+02
5.6250e-05, 2.0983e+02
5.9375e-05, 2.0424e+02
6.2500e-05, 1.9906e+02
6.8750e-05, 1.8980e+02
7.5000e-05, 1.8172e+02
8.1250e-05, 1.7459e+02
8.7500e-05, 1.6824e+02
9.3750e-05, 1.6254e+02
1.0000e-04, 1.5738e+02
1.0625e-04, 1.5268e+02
1.1250e-04, 1.4838e+02
1.1875e-04, 1.4442e+02
1.2500e-04, 1.4076e+02
1.3750e-04, 1.3421e+02
1.5000e-04, 1.2850e+02
1.6250e-04, 1.2346e+02
1.7500e-04, 1.1897e+02
1.8750e-04, 1.1493e+02
2.0000e-04, 1.1128e+02
2.1875e-04, 1.0641e+02
2.3750e-04, 1.0212e+02
2.5625e-04, 9.8313e+01
2.7500e-04, 9.4902e+01
2.9375e-04, 9.1824e+01
3.1250e-04, 8.9026e+01
3.3125e-04, 8.6470e+01
3.5000e-04, 8.4122e+01
3.8750e-04, 7.9948e+01
4.2500e-04, 7.6340e+01
4.6250e-04, 7.3180e+01
5.0000e-04, 7.0382e+01
5.3125e-04, 6.8281e+01
5.6250e-04, 6.6357e+01
5.9375e-04, 6.4588e+01
6.2500e-04, 6.2953e+01
6.8750e-04, 6.0023e+01
7.5000e-04, 5.7468e+01
8.1250e-04, 5.5214e+01
8.7500e-04, 5.3206e+01
9.3750e-04, 5.1402e+01
1.0000e-03, 4.9770e+01
1.0625e-03, 4.8284e+01
1.1250e-03, 4.6924e+01
1.1875e-03, 4.5673e+01
1.2500e-03, 4.4517e+01
1.3750e-03, 4.2446e+01
1.5000e-03, 4.0639e+01
1.6250e-03, 3.9045e+01
