ebin, xs
1.0000e-05, 3.9603e+01
1.0625e-05, 3.8421e+01
1.1250e-05, 3.7338e+01
1.1875e-05, 3.6342e+01
1.2500e-05, 3.5422e+01
1.3750e-05, 3.3774e+01
1.5000e-05, 3.2336e+01
1.6250e-05, 3.1067e+01
1.7500e-05, 2.9937e+01
1.8750e-05, 2.8922e+01
2.0000e-05, 2.8004e+01
2.1875e-05, 2.6777e+01
2.3750e-05, 2.5698e+01
2.5625e-05, 2.4740e+01
2.7500e-05, 2.3881e+01
2.9375e-05, 2.3107e+01
3.1250e-05, 2.2403e+01
3.3125e-05, 2.1760e+01
3.5000e-05, 2.1169e+01
3.8750e-05, 2.0118e+01
4.2500e-05, 1.9210e+01
4.6250e-05, 1.8415e+01
5.0000e-05, 1.7711e+01
5.3125e-05, 1.7182e+01
5.6250e-05, 1.6698e+01
5.9375e-05, 1.6253e+01
6.2500e-05, 1.5841e+01
6.8750e-05, 1.5104e+01
7.5000e-05, 1.4461e+01
8.1250e-05, 1.3894e+01
8.7500e-05, 1.3388e+01
9.3750e-05, 1.2934e+01
1.0000e-04, 1.2524e+01
1.0625e-04, 1.2150e+01
1.1250e-04, 1.1807e+01
1.1875e-04, 1.1492e+01
1.2500e-04, 1.1201e+01
1.3750e-04, 1.0680e+01
1.5000e-04, 1.0225e+01
1.6250e-04, 9.8243e+00
1.7500e-04, 9.4669e+00
1.8750e-04, 9.1459e+00
2.0000e-04, 8.8555e+00
2.1875e-04, 8.4675e+00
2.3750e-04, 8.1263e+00
2.5625e-04, 7.8234e+00
2.7500e-04, 7.5520e+00
2.9375e-04, 7.3070e+00
3.1250e-04, 7.0844e+00
3.3125e-04, 6.8810e+00
3.5000e-04, 6.6941e+00
3.8750e-04, 6.3620e+00
4.2500e-04, 6.0748e+00
4.6250e-04, 5.8233e+00
5.0000e-04, 5.6007e+00
5.3125e-04, 5.4335e+00
5.6250e-04, 5.2804e+00
5.9375e-04, 5.1395e+00
6.2500e-04, 5.0094e+00
6.8750e-04, 4.7763e+00
7.5000e-04, 4.5729e+00
8.1250e-04, 4.3935e+00
8.7500e-04, 4.2337e+00
9.3750e-04, 4.0901e+00
1.0000e-03, 3.9603e+00
1.0625e-03, 3.8420e+00
1.1250e-03, 3.7338e+00
1.1875e-03, 3.6342e+00
1.2500e-03, 3.5422e+00
1.3750e-03, 3.3773e+00
1.5000e-03, 3.2335e+00
1.6250e-03, 3.1067e+00
1.7500e-03, 2.9937e+00
1.8750e-03, 2.8922e+00
2.0000e-03, 2.8003e+00
2.1875e-03, 2.6776e+00
2.3750e-03, 2.5697e+00
2.5625e-03, 2.4739e+00
2.7500e-03, 2.3881e+00
2.9375e-03, 2.3106e+00
3.1250e-03, 2.2403e+00
3.3125e-03, 2.1759e+00
3.5000e-03, 2.1168e+00
