ebin, xs
1.0000e-05, 6.0641e+01
1.0625e-05, 5.8831e+01
1.1250e-05, 5.7173e+01
1.1875e-05, 5.5648e+01
1.2500e-05, 5.4239e+01
1.3750e-05, 5.1715e+01
1.5000e-05, 4.9513e+01
1.6250e-05, 4.7571e+01
1.7500e-05, 4.5840e+01
1.8750e-05, 4.4286e+01
2.0000e-05, 4.2880e+01
2.1875e-05, 4.1001e+01
2.3750e-05, 3.9349e+01
2.5625e-05, 3.7882e+01
2.7500e-05, 3.6568e+01
2.9375e-05, 3.5382e+01
3.1250e-05, 3.4304e+01
3.3125e-05, 3.3319e+01
3.5000e-05, 3.2414e+01
3.8750e-05, 3.0806e+01
4.2500e-05, 2.9415e+01
4.6250e-05, 2.8198e+01
5.0000e-05, 2.7120e+01
5.3125e-05, 2.6310e+01
5.6250e-05, 2.5569e+01
5.9375e-05, 2.4887e+01
6.2500e-05, 2.4256e+01
6.8750e-05, 2.3128e+01
7.5000e-05, 2.2143e+01
8.1250e-05, 2.1274e+01
8.7500e-05, 2.0500e+01
9.3750e-05, 1.9805e+01
1.0000e-04, 1.9176e+01
1.0625e-04, 1.8604e+01
1.1250e-04, 1.8080e+01
1.1875e-04, 1.7597e+01
1.2500e-04, 1.7152e+01
1.3750e-04, 1.6354e+01
1.5000e-04, 1.5657e+01
1.6250e-04, 1.5043e+01
1.7500e-04, 1.4496e+01
1.8750e-04, 1.4004e+01
2.0000e-04, 1.3560e+01
2.1875e-04, 1.2966e+01
2.3750e-04, 1.2443e+01
2.5625e-04, 1.1979e+01
2.7500e-04, 1.1564e+01
2.9375e-04, 1.1189e+01
3.1250e-04, 1.0848e+01
3.3125e-04, 1.0536e+01
3.5000e-04, 1.0250e+01
3.8750e-04, 9.7416e+00
4.2500e-04, 9.3019e+00
4.6250e-04, 8.9168e+00
5.0000e-04, 8.5759e+00
5.3125e-04, 8.3199e+00
5.6250e-04, 8.0854e+00
5.9375e-04, 7.8698e+00
6.2500e-04, 7.6705e+00
6.8750e-04, 7.3136e+00
7.5000e-04, 7.0022e+00
8.1250e-04, 6.7275e+00
8.7500e-04, 6.4828e+00
9.3750e-04, 6.2630e+00
1.0000e-03, 6.0641e+00
1.0625e-03, 5.8830e+00
1.1250e-03, 5.7173e+00
